BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;532328;147718;147718;0
150;492016;149722;149722;0
250;312169;149903;149903;0
350;142219;149661;149661;0
450;55262;152194;152194;0
550;20497;155563;155563;0
650;8408;155305;155305;0
750;3982;154331;154331;0
850;2317;155746;155746;0
950;1608;157314;157314;0
1050;1303;155825;155825;0
1150;1043;154364;154364;0
1250;894;153249;153249;0
1350;836;157095;157095;0
1450;740;158110;158110;0
1550;681;157246;157246;0
1650;626;162149;162149;0
1750;639;208624;208624;0
1850;580;383318;383318;0
1950;597;788977;788977;0
2050;554;1298123;1298123;0
2150;513;1417711;1417711;0
2250;536;1038195;1038195;0
2350;516;683803;683803;0
2450;463;771583;771583;0
2550;474;1707913;1707913;0
2650;480;3500809;3500809;0
2750;447;5092645;5092645;0
2850;485;5638017;5638017;0
2950;470;5256441;5256441;0
3050;455;4624693;4624693;0
3150;450;4690367;4690367;0
3250;482;5889525;5889525;0
3350;460;7248912;7248912;0
3450;485;7254666;7254666;0
3550;486;5517342;5517342;0
3650;494;3160119;3160119;0
3750;423;1466918;1466918;0
3850;466;654152;654152;0
3950;426;345006;345006;0
4050;423;233979;233979;0
4150;466;191938;191938;0
4250;493;175063;175063;0
4350;481;166784;166784;0
4450;470;160448;160448;0
4550;481;157798;157798;0
4650;438;154953;154953;0
4750;431;152085;152085;0
4850;449;151731;151731;0
4950;450;151570;151570;0
5050;444;150408;150408;0
5150;503;149850;149850;0
5250;469;148439;148439;0
5350;460;148646;148646;0
5450;473;146219;146219;0
5550;495;146582;146582;0
5650;434;146288;146288;0
5750;454;146504;146504;0
5850;449;145476;145476;0
5950;434;143776;143776;0
6050;487;143029;143029;0
6150;416;141115;141115;0
6250;443;137538;137538;0
6350;438;139366;139366;0
6450;404;139808;139808;0
6550;466;140500;140500;0
6650;454;139050;139050;0
6750;393;139842;139842;0
6850;450;140335;140335;0
6950;486;139615;139615;0
7050;461;137784;137784;0
7150;425;137446;137446;0
7250;441;138344;138344;0
7350;476;140466;140466;0
7450;465;140194;140194;0
7550;461;140269;140269;0
7650;483;139929;139929;0
7750;456;142691;142691;0
7850;434;143805;143805;0
7950;424;141421;141421;0
8050;466;138959;138959;0
8150;446;139271;139271;0
8250;426;140664;140664;0
8350;446;138183;138183;0
8450;424;136498;136498;0
8550;471;137289;137289;0
8650;454;138651;138651;0
8750;455;139903;139903;0
8850;471;140790;140790;0
8950;458;143321;143321;0
9050;440;140052;140052;0
9150;489;134424;134424;0
9250;476;135036;135036;0
9350;461;138186;138186;0
9450;455;138476;138476;0
9550;502;135611;135611;0
9650;436;134705;134705;0
9750;422;139250;139250;0
9850;464;143587;143587;0
9950;500;144520;144520;0
10050;465;143686;143686;0
10150;483;145607;145607;0
10250;486;146939;146939;0
10350;492;147538;147538;0
10450;448;143855;143855;0
10550;479;142793;142793;0
10650;479;146304;146304;0
10750;468;148570;148570;0
10850;453;148808;148808;0
10950;489;150025;150025;0
11050;498;152814;152814;0
11150;500;153747;153747;0
11250;478;151491;151491;0
11350;496;149626;149626;0
11450;468;149175;149175;0
11550;469;148064;148064;0
11650;495;145536;145536;0
11750;498;135103;135103;0
11850;601;122037;122037;0
11950;736;118360;118360;0
12050;970;117252;117252;0
12150;1869;118515;118515;0
12250;3782;118674;118674;0
12350;7938;118079;118079;0
12450;14009;112726;112726;0
12550;18004;95999;95999;0
12650;16893;58810;58810;0
12750;10930;28773;28773;0
12850;5551;16432;16432;0
12950;2389;12380;12380;0
13050;1169;11312;11312;0
13150;715;10813;10813;0
13250;589;10738;10738;0
13350;581;9999;9999;0
13450;534;9069;9069;0
13550;480;6581;6581;0
13650;480;2293;2293;0
13750;485;259;259;0
13850;500;29;29;0
13950;496;17;17;0
14050;492;10;10;0
14150;491;11;11;0
14250;465;9;9;0
14350;499;8;8;0
14450;425;7;7;0
14550;438;1;1;0
14650;487;1;1;0
14750;450;0;0;0
14850;474;0;0;0
14950;473;0;0;0
15050;499;0;0;0
15150;461;0;0;0
15250;494;0;0;0
15350;452;0;0;0
15450;480;0;0;0
15550;455;0;0;0
15650;460;0;0;0
15750;473;0;0;0
15850;444;0;0;0
15950;428;0;0;0
16050;487;0;0;0
16150;475;0;0;0
16250;426;0;0;0
16350;475;0;0;0
16450;454;0;0;0
16550;453;0;0;0
16650;495;0;0;0
16750;492;0;0;0
16850;423;0;0;0
16950;437;0;0;0
17050;490;0;0;0
17150;440;0;0;0
17250;452;0;0;0
17350;478;0;0;0
17450;460;0;0;0
17550;477;0;0;0
17650;458;0;0;0
17750;458;0;0;0
17850;438;0;0;0
17950;478;0;0;0
18050;400;0;0;0
18150;430;0;0;0
18250;447;0;0;0
18350;459;0;0;0
18450;488;0;0;0
18550;434;0;0;0
18650;435;0;0;0
18750;429;0;0;0
18850;484;0;0;0
18950;453;0;0;0
19050;471;0;0;0
19150;466;0;0;0
19250;455;0;0;0
19350;457;0;0;0
19450;452;0;0;0
19550;460;0;0;0
19650;483;0;0;0
19750;477;0;0;0
19850;412;0;0;0
19950;454;0;0;0
20050;487;0;0;0
20150;467;0;0;0
20250;471;0;0;0
20350;460;0;0;0
20450;492;0;0;0
20550;466;0;0;0
20650;451;0;0;0
20750;440;0;0;0
20850;429;0;0;0
20950;452;0;0;0
21050;440;0;0;0
21150;449;0;0;0
21250;421;0;0;0
21350;423;0;0;0
21450;469;0;0;0
21550;457;0;0;0
21650;466;0;0;0
21750;436;0;0;0
21850;451;0;0;0
21950;470;0;0;0
22050;462;0;0;0
22150;487;0;0;0
22250;465;0;0;0
22350;459;0;0;0
22450;512;0;0;0
22550;484;0;0;0
22650;487;0;0;0
22750;499;0;0;0
22850;517;0;0;0
22950;447;0;0;0
23050;487;0;0;0
23150;452;0;0;0
23250;453;0;0;0
23350;494;0;0;0
23450;493;0;0;0
23550;493;0;0;0
23650;490;0;0;0
23750;484;0;0;0
23850;456;0;0;0
23950;467;0;0;0
24050;467;0;0;0
24150;492;0;0;0
24250;471;0;0;0
24350;573;0;0;0
24450;723;0;0;0
24550;1015;0;0;0
24650;1780;0;0;0
24750;3807;0;0;0
24850;8069;0;0;0
24950;13823;0;0;0
25050;18106;0;0;0
25150;16711;0;0;0
25250;11006;0;0;0
25350;5520;0;0;0
25450;2453;0;0;0
25550;1172;0;0;0
25650;717;0;0;0
25750;580;0;0;0
25850;559;0;0;0
25950;498;0;0;0
26050;499;0;0;0
26150;516;0;0;0
26250;489;0;0;0
26350;497;0;0;0
26450;499;0;0;0
26550;473;0;0;0
26650;481;0;0;0
26750;502;0;0;0
26850;503;0;0;0
26950;481;0;0;0
27050;518;0;0;0
27150;479;0;0;0
27250;465;0;0;0
27350;476;0;0;0
27450;484;0;0;0
27550;457;0;0;0
27650;471;0;0;0
27750;453;0;0;0
27850;495;0;0;0
27950;472;0;0;0
28050;442;0;0;0
28150;454;0;0;0
28250;473;0;0;0
28350;476;0;0;0
28450;506;0;0;0
28550;424;0;0;0
28650;455;0;0;0
28750;461;0;0;0
28850;469;0;0;0
28950;463;0;0;0
29050;483;0;0;0
29150;452;0;0;0
29250;509;0;0;0
29350;471;0;0;0
29450;470;0;0;0
29550;472;0;0;0
29650;468;0;0;0
29750;499;0;0;0
29850;495;0;0;0
29950;485;0;0;0
30050;501;0;0;0
30150;475;0;0;0
30250;428;0;0;0
30350;447;0;0;0
30450;446;0;0;0
30550;463;0;0;0
30650;447;0;0;0
30750;439;0;0;0
30850;464;0;0;0
30950;431;0;0;0
31050;473;0;0;0
31150;473;0;0;0
31250;462;0;0;0
31350;432;0;0;0
31450;464;0;0;0
31550;426;0;0;0
31650;419;0;0;0
31750;453;0;0;0
31850;466;0;0;0
31950;468;0;0;0
32050;472;0;0;0
32150;418;0;0;0
32250;445;0;0;0
32350;458;0;0;0
32450;440;0;0;0
32550;425;0;0;0
32650;480;0;0;0
32750;434;0;0;0
32850;485;0;0;0
32950;454;0;0;0
33050;447;0;0;0
33150;476;0;0;0
33250;455;0;0;0
33350;455;0;0;0
33450;431;0;0;0
33550;442;0;0;0
33650;481;0;0;0
33750;504;0;0;0
33850;436;0;0;0
33950;494;0;0;0
34050;446;0;0;0
34150;439;0;0;0
34250;447;0;0;0
34350;452;0;0;0
34450;460;0;0;0
34550;431;0;0;0
34650;484;0;0;0
34750;467;0;0;0
34850;444;0;0;0
34950;514;0;0;0
35050;461;0;0;0
35150;440;0;0;0
35250;460;0;0;0
35350;463;0;0;0
35450;534;0;0;0
35550;485;0;0;0
35650;502;0;0;0
35750;501;0;0;0
35850;538;0;0;0
35950;510;0;0;0
36050;495;0;0;0
36150;476;0;0;0
36250;475;0;0;0
36350;468;0;0;0
36450;494;0;0;0
36550;495;0;0;0
36650;515;0;0;0
36750;578;0;0;0
36850;594;0;0;0
36950;726;0;0;0
37050;1041;0;0;0
37150;1755;0;0;0
37250;3714;0;0;0
37350;7721;0;0;0
37450;13743;0;0;0
37550;17934;0;0;0
37650;16864;0;0;0
37750;11041;0;0;0
37850;5632;0;0;0
37950;2491;0;0;0
38050;1183;0;0;0
38150;723;0;0;0
38250;579;0;0;0
38350;525;0;0;0
38450;517;0;0;0
38550;511;0;0;0
38650;473;0;0;0
38750;439;0;0;0
38850;531;0;0;0
38950;433;0;0;0
39050;550;0;0;0
39150;481;0;0;0
39250;473;0;0;0
39350;471;0;0;0
39450;495;0;0;0
39550;460;0;0;0
39650;476;0;0;0
39750;460;0;0;0
39850;471;0;0;0
39950;446;0;0;0
40050;467;0;0;0
40150;472;0;0;0
40250;480;0;0;0
40350;476;0;0;0
40450;466;0;0;0
40550;444;0;0;0
40650;470;0;0;0
40750;495;0;0;0
40850;420;0;0;0
40950;457;0;0;0
41050;451;0;0;0
41150;457;0;0;0
41250;434;0;0;0
41350;472;0;0;0
41450;447;0;0;0
41550;452;0;0;0
41650;463;0;0;0
41750;468;0;0;0
41850;420;0;0;0
41950;452;0;0;0
42050;463;0;0;0
42150;475;0;0;0
42250;439;0;0;0
42350;494;0;0;0
42450;409;0;0;0
42550;467;0;0;0
42650;494;0;0;0
42750;467;0;0;0
42850;469;0;0;0
42950;476;0;0;0
43050;485;0;0;0
43150;436;0;0;0
43250;444;0;0;0
43350;433;0;0;0
43450;427;0;0;0
43550;452;0;0;0
43650;466;0;0;0
43750;447;0;0;0
43850;453;0;0;0
43950;441;0;0;0
44050;423;0;0;0
44150;432;0;0;0
44250;478;0;0;0
44350;447;0;0;0
44450;478;0;0;0
44550;425;0;0;0
44650;454;0;0;0
44750;433;0;0;0
44850;483;0;0;0
44950;502;0;0;0
45050;506;0;0;0
45150;456;0;0;0
45250;480;0;0;0
45350;467;0;0;0
45450;484;0;0;0
45550;523;0;0;0
45650;439;0;0;0
45750;462;0;0;0
45850;510;0;0;0
45950;454;0;0;0
46050;427;0;0;0
46150;464;0;0;0
46250;482;0;0;0
46350;452;0;0;0
46450;504;0;0;0
46550;450;0;0;0
46650;449;0;0;0
46750;487;0;0;0
46850;458;0;0;0
46950;438;0;0;0
47050;486;0;0;0
47150;449;0;0;0
47250;452;0;0;0
47350;437;0;0;0
47450;472;0;0;0
47550;489;0;0;0
47650;461;0;0;0
47750;511;0;0;0
47850;467;0;0;0
47950;510;0;0;0
48050;515;0;0;0
48150;494;0;0;0
48250;499;0;0;0
48350;506;0;0;0
48450;471;0;0;0
48550;506;0;0;0
48650;500;0;0;0
48750;456;0;0;0
48850;455;0;0;0
48950;441;0;0;0
49050;488;0;0;0
49150;520;0;0;0
49250;507;0;0;0
