BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;88524;1122787;1122787;0
150;131573;764876;764876;0
250;222460;630405;630405;0
350;295584;579206;579206;0
450;263710;559854;559854;0
550;161805;549072;549072;0
650;73547;543240;543240;0
750;29477;536497;536497;0
850;11931;532224;532224;0
950;5328;528552;528552;0
1050;2763;528152;528152;0
1150;1767;526141;526141;0
1250;1427;523736;523736;0
1350;1339;517019;517019;0
1450;1188;514328;514328;0
1550;1145;510721;510721;0
1650;1066;509216;509216;0
1750;1077;507407;507407;0
1850;1042;507914;507914;0
1950;1016;507533;507533;0
2050;1003;506155;506155;0
2150;1056;506672;506672;0
2250;937;507047;507047;0
2350;976;504498;504498;0
2450;1016;502794;502794;0
2550;989;501852;501852;0
2650;988;504587;504587;0
2750;915;503829;503829;0
2850;919;504500;504500;0
2950;915;505885;505885;0
3050;913;506162;506162;0
3150;935;505476;505476;0
3250;986;505395;505395;0
3350;946;507318;507318;0
3450;944;504952;504952;0
3550;905;504385;504385;0
3650;949;503114;503114;0
3750;943;503374;503374;0
3850;921;500829;500829;0
3950;960;498870;498870;0
4050;918;499037;499037;0
4150;924;497720;497720;0
4250;886;498371;498371;0
4350;939;497643;497643;0
4450;949;500260;500260;0
4550;938;500091;500091;0
4650;928;500647;500647;0
4750;916;501437;501437;0
4850;942;500107;500107;0
4950;915;498316;498316;0
5050;905;501001;501001;0
5150;862;504021;504021;0
5250;968;509483;509483;0
5350;920;512441;512441;0
5450;902;516461;516461;0
5550;859;518114;518114;0
5650;876;521192;521192;0
5750;862;519888;519888;0
5850;881;524395;524395;0
5950;843;525608;525608;0
6050;875;526245;526245;0
6150;848;527261;527261;0
6250;851;529803;529803;0
6350;910;532173;532173;0
6450;884;533137;533137;0
6550;885;532801;532801;0
6650;850;534827;534827;0
6750;915;537150;537150;0
6850;853;539925;539925;0
6950;932;540840;540840;0
7050;1025;539751;539751;0
7150;950;538576;538576;0
7250;902;543847;543847;0
7350;898;541615;541615;0
7450;922;539622;539622;0
7550;870;538695;538695;0
7650;870;541408;541408;0
7750;899;543051;543051;0
7850;959;542202;542202;0
7950;951;541664;541664;0
8050;897;543030;543030;0
8150;904;540494;540494;0
8250;948;540187;540187;0
8350;953;539956;539956;0
8450;917;541386;541386;0
8550;901;541563;541563;0
8650;925;545993;545993;0
8750;894;549593;549593;0
8850;919;548415;548415;0
8950;948;552509;552509;0
9050;885;556545;556545;0
9150;928;557177;557177;0
9250;946;559205;559205;0
9350;1011;558713;558713;0
9450;899;556177;556177;0
9550;1001;550770;550770;0
9650;909;546623;546623;0
9750;972;542255;542255;0
9850;943;540899;540899;0
9950;952;546399;546399;0
10050;1014;684446;684446;0
10150;948;1508014;1508014;0
10250;929;3702909;3702909;0
10350;965;6559352;6559352;0
10450;973;8847652;8847652;0
10550;948;11464979;11464979;0
10650;937;16207833;16207833;0
10750;973;21320230;21320230;0
10850;951;22897056;22897056;0
10950;997;20646931;20646931;0
11050;976;18516679;18516679;0
11150;949;17251154;17251154;0
11250;1002;14233220;14233220;0
11350;1032;9107158;9107158;0
11450;1052;5006503;5006503;0
11550;1032;3690483;3690483;0
11650;1162;4950141;4950141;0
11750;1573;6984915;6984915;0
11850;2654;7595645;7595645;0
11950;5245;7279327;7279327;0
12050;9596;7796202;7796202;0
12150;13498;8151922;8151922;0
12250;16159;6403054;6403054;0
12350;19669;3698194;3698194;0
12450;23745;1846365;1846365;0
12550;25204;874322;874322;0
12650;21873;409984;409984;0
12750;17944;183386;183386;0
12850;15381;109136;109136;0
12950;11796;93575;93575;0
13050;7221;88577;88577;0
13150;4017;85343;85343;0
13250;2150;82559;82559;0
13350;1515;73806;73806;0
13450;1113;43288;43288;0
13550;1046;7617;7617;0
13650;983;97;97;0
13750;992;0;0;0
13850;1003;0;0;0
13950;958;0;0;0
14050;962;0;0;0
14150;964;0;0;0
14250;1072;0;0;0
14350;939;0;0;0
14450;943;0;0;0
14550;928;0;0;0
14650;952;0;0;0
14750;952;0;0;0
14850;946;0;0;0
14950;1018;0;0;0
15050;915;0;0;0
15150;920;0;0;0
15250;952;0;0;0
15350;979;0;0;0
15450;917;0;0;0
15550;921;0;0;0
15650;907;0;0;0
15750;962;0;0;0
15850;956;0;0;0
15950;949;0;0;0
16050;879;0;0;0
16150;938;0;0;0
16250;991;0;0;0
16350;944;0;0;0
16450;878;0;0;0
16550;945;0;0;0
16650;945;0;0;0
16750;986;0;0;0
16850;938;0;0;0
16950;908;0;0;0
17050;931;0;0;0
17150;945;0;0;0
17250;908;0;0;0
17350;884;0;0;0
17450;957;0;0;0
17550;960;0;0;0
17650;923;0;0;0
17750;928;0;0;0
17850;890;0;0;0
17950;931;0;0;0
18050;947;0;0;0
18150;899;0;0;0
18250;893;0;0;0
18350;860;0;0;0
18450;886;0;0;0
18550;960;0;0;0
18650;890;0;0;0
18750;884;0;0;0
18850;852;0;0;0
18950;878;0;0;0
19050;855;0;0;0
19150;876;0;0;0
19250;896;0;0;0
19350;964;0;0;0
19450;891;0;0;0
19550;914;0;0;0
19650;912;0;0;0
19750;896;0;0;0
19850;898;0;0;0
19950;951;0;0;0
20050;911;0;0;0
20150;938;0;0;0
20250;941;0;0;0
20350;959;0;0;0
20450;919;0;0;0
20550;966;0;0;0
20650;923;0;0;0
20750;911;0;0;0
20850;905;0;0;0
20950;950;0;0;0
21050;941;0;0;0
21150;903;0;0;0
21250;916;0;0;0
21350;928;0;0;0
21450;925;0;0;0
21550;933;0;0;0
21650;925;0;0;0
21750;919;0;0;0
21850;938;0;0;0
21950;966;0;0;0
22050;945;0;0;0
22150;970;0;0;0
22250;988;0;0;0
22350;957;0;0;0
22450;901;0;0;0
22550;946;0;0;0
22650;927;0;0;0
22750;1009;0;0;0
22850;968;0;0;0
22950;942;0;0;0
23050;989;0;0;0
23150;909;0;0;0
23250;891;0;0;0
23350;948;0;0;0
23450;999;0;0;0
23550;959;0;0;0
23650;941;0;0;0
23750;959;0;0;0
23850;971;0;0;0
23950;990;0;0;0
24050;982;0;0;0
24150;1145;0;0;0
24250;1526;0;0;0
24350;2657;0;0;0
24450;5157;0;0;0
24550;9282;0;0;0
24650;13545;0;0;0
24750;16409;0;0;0
24850;19336;0;0;0
24950;23811;0;0;0
25050;25072;0;0;0
25150;21933;0;0;0
25250;17849;0;0;0
25350;15326;0;0;0
25450;11742;0;0;0
25550;7429;0;0;0
25650;3962;0;0;0
25750;2201;0;0;0
25850;1472;0;0;0
25950;1148;0;0;0
26050;1058;0;0;0
26150;1047;0;0;0
26250;966;0;0;0
26350;969;0;0;0
26450;960;0;0;0
26550;1005;0;0;0
26650;945;0;0;0
26750;1014;0;0;0
26850;974;0;0;0
26950;963;0;0;0
27050;946;0;0;0
27150;980;0;0;0
27250;953;0;0;0
27350;957;0;0;0
27450;954;0;0;0
27550;891;0;0;0
27650;977;0;0;0
27750;967;0;0;0
27850;895;0;0;0
27950;958;0;0;0
28050;913;0;0;0
28150;943;0;0;0
28250;925;0;0;0
28350;963;0;0;0
28450;903;0;0;0
28550;954;0;0;0
28650;908;0;0;0
28750;919;0;0;0
28850;919;0;0;0
28950;939;0;0;0
29050;907;0;0;0
29150;915;0;0;0
29250;911;0;0;0
29350;907;0;0;0
29450;977;0;0;0
29550;920;0;0;0
29650;926;0;0;0
29750;898;0;0;0
29850;926;0;0;0
29950;945;0;0;0
30050;905;0;0;0
30150;941;0;0;0
30250;918;0;0;0
30350;889;0;0;0
30450;874;0;0;0
30550;905;0;0;0
30650;948;0;0;0
30750;889;0;0;0
30850;869;0;0;0
30950;890;0;0;0
31050;899;0;0;0
31150;850;0;0;0
31250;933;0;0;0
31350;907;0;0;0
31450;895;0;0;0
31550;855;0;0;0
31650;835;0;0;0
31750;900;0;0;0
31850;899;0;0;0
31950;938;0;0;0
32050;930;0;0;0
32150;935;0;0;0
32250;889;0;0;0
32350;892;0;0;0
32450;886;0;0;0
32550;930;0;0;0
32650;963;0;0;0
32750;932;0;0;0
32850;939;0;0;0
32950;936;0;0;0
33050;921;0;0;0
33150;935;0;0;0
33250;881;0;0;0
33350;885;0;0;0
33450;932;0;0;0
33550;969;0;0;0
33650;935;0;0;0
33750;894;0;0;0
33850;944;0;0;0
33950;930;0;0;0
34050;924;0;0;0
34150;909;0;0;0
34250;931;0;0;0
34350;943;0;0;0
34450;965;0;0;0
34550;876;0;0;0
34650;964;0;0;0
34750;960;0;0;0
34850;975;0;0;0
34950;979;0;0;0
35050;930;0;0;0
35150;918;0;0;0
35250;942;0;0;0
35350;943;0;0;0
35450;995;0;0;0
35550;967;0;0;0
35650;1019;0;0;0
35750;1010;0;0;0
35850;973;0;0;0
35950;1026;0;0;0
36050;944;0;0;0
36150;999;0;0;0
36250;998;0;0;0
36350;953;0;0;0
36450;974;0;0;0
36550;1027;0;0;0
36650;1095;0;0;0
36750;1540;0;0;0
36850;2579;0;0;0
36950;5181;0;0;0
37050;9529;0;0;0
37150;13550;0;0;0
37250;16335;0;0;0
37350;19420;0;0;0
37450;23605;0;0;0
37550;25203;0;0;0
37650;21771;0;0;0
37750;18064;0;0;0
37850;15295;0;0;0
37950;11737;0;0;0
38050;7458;0;0;0
38150;4066;0;0;0
38250;2195;0;0;0
38350;1432;0;0;0
38450;1175;0;0;0
38550;1026;0;0;0
38650;979;0;0;0
38750;944;0;0;0
38850;970;0;0;0
38950;970;0;0;0
39050;941;0;0;0
39150;938;0;0;0
39250;956;0;0;0
39350;1033;0;0;0
39450;922;0;0;0
39550;976;0;0;0
39650;965;0;0;0
39750;926;0;0;0
39850;937;0;0;0
39950;982;0;0;0
40050;925;0;0;0
40150;977;0;0;0
40250;939;0;0;0
40350;961;0;0;0
40450;922;0;0;0
40550;896;0;0;0
40650;977;0;0;0
40750;849;0;0;0
40850;919;0;0;0
40950;932;0;0;0
41050;941;0;0;0
41150;912;0;0;0
41250;923;0;0;0
41350;943;0;0;0
41450;909;0;0;0
41550;966;0;0;0
41650;927;0;0;0
41750;932;0;0;0
41850;907;0;0;0
41950;911;0;0;0
42050;943;0;0;0
42150;937;0;0;0
42250;963;0;0;0
42350;922;0;0;0
42450;886;0;0;0
42550;936;0;0;0
42650;871;0;0;0
42750;966;0;0;0
42850;921;0;0;0
42950;917;0;0;0
43050;908;0;0;0
43150;851;0;0;0
43250;865;0;0;0
43350;879;0;0;0
43450;950;0;0;0
43550;903;0;0;0
43650;802;0;0;0
43750;898;0;0;0
43850;932;0;0;0
43950;878;0;0;0
44050;898;0;0;0
44150;898;0;0;0
44250;865;0;0;0
44350;905;0;0;0
44450;913;0;0;0
44550;921;0;0;0
44650;951;0;0;0
44750;919;0;0;0
44850;897;0;0;0
44950;909;0;0;0
45050;957;0;0;0
45150;860;0;0;0
45250;922;0;0;0
45350;953;0;0;0
45450;906;0;0;0
45550;931;0;0;0
45650;949;0;0;0
45750;889;0;0;0
45850;927;0;0;0
45950;894;0;0;0
46050;870;0;0;0
46150;946;0;0;0
46250;953;0;0;0
46350;951;0;0;0
46450;928;0;0;0
46550;951;0;0;0
46650;916;0;0;0
46750;934;0;0;0
46850;902;0;0;0
46950;879;0;0;0
47050;942;0;0;0
47150;923;0;0;0
47250;976;0;0;0
47350;956;0;0;0
47450;898;0;0;0
47550;975;0;0;0
47650;905;0;0;0
47750;954;0;0;0
47850;992;0;0;0
47950;940;0;0;0
48050;934;0;0;0
48150;987;0;0;0
48250;952;0;0;0
48350;1018;0;0;0
48450;935;0;0;0
48550;1012;0;0;0
48650;1005;0;0;0
48750;939;0;0;0
48850;981;0;0;0
48950;976;0;0;0
49050;1022;0;0;0
49150;1114;0;0;0
49250;1523;0;0;0
49350;2549;0;0;0
49450;5065;0;0;0
49550;9459;0;0;0
49650;13721;0;0;0
49750;16270;0;0;0
49850;19417;0;0;0
49950;23572;0;0;0
