BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;232228;59082;59082;0
150;251926;60032;60032;0
250;181454;59673;59673;0
350;90613;59005;59005;0
450;36266;59347;59347;0
550;13181;60014;60014;0
650;5088;60721;60721;0
750;2323;59742;59742;0
850;1200;59839;59839;0
950;643;59975;59975;0
1050;517;59982;59982;0
1150;430;60062;60062;0
1250;356;59175;59175;0
1350;340;58954;58954;0
1450;278;58976;58976;0
1550;282;58860;58860;0
1650;239;59014;59014;0
1750;229;59845;59845;0
1850;241;60229;60229;0
1950;198;60391;60391;0
2050;205;60370;60370;0
2150;207;61838;61838;0
2250;225;62080;62080;0
2350;177;62361;62361;0
2450;183;62316;62316;0
2550;173;62392;62392;0
2650;208;62629;62629;0
2750;171;62291;62291;0
2850;172;62767;62767;0
2950;185;62568;62568;0
3050;169;63336;63336;0
3150;203;64008;64008;0
3250;189;64779;64779;0
3350;180;65199;65199;0
3450;197;65211;65211;0
3550;190;65639;65639;0
3650;178;65659;65659;0
3750;176;65562;65562;0
3850;184;65061;65061;0
3950;165;65376;65376;0
4050;200;64965;64965;0
4150;184;64930;64930;0
4250;151;65439;65439;0
4350;163;65960;65960;0
4450;172;65491;65491;0
4550;180;64668;64668;0
4650;194;64693;64693;0
4750;159;66029;66029;0
4850;183;66165;66165;0
4950;167;65116;65116;0
5050;162;65660;65660;0
5150;177;65408;65408;0
5250;181;65785;65785;0
5350;168;66044;66044;0
5450;200;66423;66423;0
5550;183;66991;66991;0
5650;182;66662;66662;0
5750;166;67449;67449;0
5850;164;67941;67941;0
5950;179;67495;67495;0
6050;158;66638;66638;0
6150;158;67286;67286;0
6250;146;65861;65861;0
6350;161;65331;65331;0
6450;165;66013;66013;0
6550;166;64868;64868;0
6650;205;64204;64204;0
6750;175;63783;63783;0
6850;185;66413;66413;0
6950;164;70431;70431;0
7050;159;116100;116100;0
7150;174;368756;368756;0
7250;166;1001043;1001043;0
7350;170;1905596;1905596;0
7450;161;2763882;2763882;0
7550;173;2943992;2943992;0
7650;158;2248543;2248543;0
7750;188;1636386;1636386;0
7850;173;1400375;1400375;0
7950;165;1090855;1090855;0
8050;187;660445;660445;0
8150;163;370285;370285;0
8250;168;290771;290771;0
8350;165;449195;449195;0
8450;163;934208;934208;0
8550;160;1808103;1808103;0
8650;190;2611553;2611553;0
8750;177;2517681;2517681;0
8850;182;1569564;1569564;0
8950;175;730276;730276;0
9050;188;315053;315053;0
9150;183;153694;153694;0
9250;187;97613;97613;0
9350;156;79950;79950;0
9450;200;74082;74082;0
9550;179;70477;70477;0
9650;164;66991;66991;0
9750;177;67052;67052;0
9850;196;66773;66773;0
9950;191;66251;66251;0
10050;147;65116;65116;0
10150;157;63805;63805;0
10250;180;63147;63147;0
10350;175;62622;62622;0
10450;184;62008;62008;0
10550;201;62250;62250;0
10650;200;62311;62311;0
10750;171;60918;60918;0
10850;190;60620;60620;0
10950;201;60962;60962;0
11050;186;60631;60631;0
11150;166;60942;60942;0
11250;176;59211;59211;0
11350;206;58034;58034;0
11450;187;58693;58693;0
11550;170;56846;56846;0
11650;209;53837;53837;0
11750;206;50920;50920;0
11850;215;49872;49872;0
11950;234;47911;47911;0
12050;312;45507;45507;0
12150;487;44851;44851;0
12250;966;43926;43926;0
12350;2034;43069;43069;0
12450;3932;40863;40863;0
12550;5959;35065;35065;0
12650;6350;19398;19398;0
12750;4672;10846;10846;0
12850;2498;9895;9895;0
12950;1071;9484;9484;0
13050;585;9472;9472;0
13150;332;9160;9160;0
13250;236;9029;9029;0
13350;184;8564;8564;0
13450;211;6485;6485;0
13550;178;2192;2192;0
13650;209;121;121;0
13750;180;0;0;0
13850;173;0;0;0
13950;183;0;0;0
14050;176;0;0;0
14150;179;0;0;0
14250;181;0;0;0
14350;186;0;0;0
14450;179;0;0;0
14550;178;0;0;0
14650;187;0;0;0
14750;183;0;0;0
14850;176;0;0;0
14950;202;0;0;0
15050;180;0;0;0
15150;190;0;0;0
15250;188;0;0;0
15350;161;0;0;0
15450;188;0;0;0
15550;180;0;0;0
15650;150;0;0;0
15750;143;0;0;0
15850;153;0;0;0
15950;188;0;0;0
16050;183;0;0;0
16150;174;0;0;0
16250;171;0;0;0
16350;183;0;0;0
16450;170;0;0;0
16550;176;0;0;0
16650;182;0;0;0
16750;168;0;0;0
16850;170;0;0;0
16950;186;0;0;0
17050;175;0;0;0
17150;176;0;0;0
17250;177;0;0;0
17350;180;0;0;0
17450;176;0;0;0
17550;171;0;0;0
17650;198;0;0;0
17750;176;0;0;0
17850;185;0;0;0
17950;187;0;0;0
18050;168;0;0;0
18150;184;0;0;0
18250;168;0;0;0
18350;153;0;0;0
18450;167;0;0;0
18550;159;0;0;0
18650;166;0;0;0
18750;178;0;0;0
18850;170;0;0;0
18950;188;0;0;0
19050;133;0;0;0
19150;163;0;0;0
19250;164;0;0;0
19350;163;0;0;0
19450;167;0;0;0
19550;157;0;0;0
19650;160;0;0;0
19750;186;0;0;0
19850;173;0;0;0
19950;154;0;0;0
20050;164;0;0;0
20150;194;0;0;0
20250;164;0;0;0
20350;168;0;0;0
20450;166;0;0;0
20550;157;0;0;0
20650;197;0;0;0
20750;181;0;0;0
20850;198;0;0;0
20950;176;0;0;0
21050;179;0;0;0
21150;165;0;0;0
21250;181;0;0;0
21350;186;0;0;0
21450;163;0;0;0
21550;168;0;0;0
21650;160;0;0;0
21750;173;0;0;0
21850;163;0;0;0
21950;178;0;0;0
22050;151;0;0;0
22150;154;0;0;0
22250;187;0;0;0
22350;171;0;0;0
22450;176;0;0;0
22550;172;0;0;0
22650;188;0;0;0
22750;190;0;0;0
22850;186;0;0;0
22950;189;0;0;0
23050;177;0;0;0
23150;181;0;0;0
23250;165;0;0;0
23350;191;0;0;0
23450;183;0;0;0
23550;193;0;0;0
23650;184;0;0;0
23750;195;0;0;0
23850;172;0;0;0
23950;158;0;0;0
24050;183;0;0;0
24150;188;0;0;0
24250;200;0;0;0
24350;202;0;0;0
24450;219;0;0;0
24550;289;0;0;0
24650;527;0;0;0
24750;925;0;0;0
24850;2035;0;0;0
24950;3858;0;0;0
25050;5815;0;0;0
25150;6258;0;0;0
25250;4609;0;0;0
25350;2485;0;0;0
25450;1101;0;0;0
25550;577;0;0;0
25650;318;0;0;0
25750;225;0;0;0
25850;229;0;0;0
25950;211;0;0;0
26050;192;0;0;0
26150;203;0;0;0
26250;190;0;0;0
26350;173;0;0;0
26450;210;0;0;0
26550;182;0;0;0
26650;211;0;0;0
26750;196;0;0;0
26850;173;0;0;0
26950;181;0;0;0
27050;190;0;0;0
27150;176;0;0;0
27250;186;0;0;0
27350;191;0;0;0
27450;181;0;0;0
27550;187;0;0;0
27650;161;0;0;0
27750;168;0;0;0
27850;201;0;0;0
27950;174;0;0;0
28050;192;0;0;0
28150;180;0;0;0
28250;169;0;0;0
28350;183;0;0;0
28450;188;0;0;0
28550;178;0;0;0
28650;177;0;0;0
28750;186;0;0;0
28850;163;0;0;0
28950;170;0;0;0
29050;196;0;0;0
29150;195;0;0;0
29250;159;0;0;0
29350;196;0;0;0
29450;176;0;0;0
29550;200;0;0;0
29650;174;0;0;0
29750;172;0;0;0
29850;163;0;0;0
29950;167;0;0;0
30050;184;0;0;0
30150;178;0;0;0
30250;176;0;0;0
30350;177;0;0;0
30450;174;0;0;0
30550;177;0;0;0
30650;183;0;0;0
30750;182;0;0;0
30850;178;0;0;0
30950;170;0;0;0
31050;159;0;0;0
31150;150;0;0;0
31250;165;0;0;0
