BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;171490;46263;46263;0
150;171666;45914;45914;0
250;111176;45961;45961;0
350;55036;45930;45930;0
450;22517;46176;46176;0
550;9055;45746;45746;0
650;3545;45443;45443;0
750;1586;45058;45058;0
850;832;44726;44726;0
950;531;44394;44394;0
1050;367;45183;45183;0
1150;274;44179;44179;0
1250;211;44805;44805;0
1350;196;44401;44401;0
1450;184;44775;44775;0
1550;187;44827;44827;0
1650;157;45180;45180;0
1750;165;44814;44814;0
1850;155;45089;45089;0
1950;134;44629;44629;0
2050;134;44932;44932;0
2150;134;44740;44740;0
2250;124;45247;45247;0
2350;146;45077;45077;0
2450;142;46046;46046;0
2550;141;46478;46478;0
2650;121;47846;47846;0
2750;155;48641;48641;0
2850;133;49849;49849;0
2950;136;50605;50605;0
3050;136;51548;51548;0
3150;149;51603;51603;0
3250;131;52169;52169;0
3350;158;51915;51915;0
3450;132;52519;52519;0
3550;116;51478;51478;0
3650;151;51335;51335;0
3750;141;50245;50245;0
3850;148;50229;50229;0
3950;143;49432;49432;0
4050;150;49459;49459;0
4150;131;49558;49558;0
4250;163;49502;49502;0
4350;135;49194;49194;0
4450;132;49466;49466;0
4550;140;49772;49772;0
4650;145;49643;49643;0
4750;130;49779;49779;0
4850;139;49939;49939;0
4950;152;49790;49790;0
5050;140;50074;50074;0
5150;127;49781;49781;0
5250;130;49848;49848;0
5350;114;49468;49468;0
5450;134;49412;49412;0
5550;140;49400;49400;0
5650;143;49594;49594;0
5750;119;49485;49485;0
5850;147;49780;49780;0
5950;165;49874;49874;0
6050;147;50148;50148;0
6150;154;50251;50251;0
6250;130;50510;50510;0
6350;147;50310;50310;0
6450;141;50630;50630;0
6550;152;50489;50489;0
6650;160;50293;50293;0
6750;143;50397;50397;0
6850;130;50151;50151;0
6950;136;49840;49840;0
7050;140;50267;50267;0
7150;135;50663;50663;0
7250;129;50868;50868;0
7350;180;50774;50774;0
7450;140;51226;51226;0
7550;136;50951;50951;0
7650;135;51231;51231;0
7750;140;51027;51027;0
7850;119;51271;51271;0
7950;138;50354;50354;0
8050;144;50615;50615;0
8150;143;50371;50371;0
8250;146;50400;50400;0
8350;137;49688;49688;0
8450;142;50576;50576;0
8550;131;50665;50665;0
8650;137;50921;50921;0
8750;132;51164;51164;0
8850;145;51295;51295;0
8950;157;51327;51327;0
9050;145;51856;51856;0
9150;156;51488;51488;0
9250;154;52143;52143;0
9350;134;50924;50924;0
9450;148;51590;51590;0
9550;131;50917;50917;0
9650;155;51757;51757;0
9750;156;51166;51166;0
9850;151;50916;50916;0
9950;133;51114;51114;0
10050;166;51530;51530;0
10150;171;50976;50976;0
10250;140;51416;51416;0
10350;159;51310;51310;0
10450;137;51875;51875;0
10550;138;51869;51869;0
10650;172;52751;52751;0
10750;175;53313;53313;0
10850;155;54430;54430;0
10950;181;55839;55839;0
11050;182;56517;56517;0
11150;160;56114;56114;0
11250;131;56048;56048;0
11350;167;54316;54316;0
11450;156;54310;54310;0
11550;153;53515;53515;0
11650;149;54302;54302;0
11750;131;55082;55082;0
11850;173;59521;59521;0
11950;146;64400;64400;0
12050;149;76404;76404;0
12150;161;101969;101969;0
12250;121;156856;156856;0
12350;167;253713;253713;0
12450;149;389862;389862;0
12550;142;483126;483126;0
12650;162;454674;454674;0
12750;136;327720;327720;0
12850;133;205443;205443;0
12950;150;130488;130488;0
13050;128;109504;109504;0
13150;156;141911;141911;0
13250;159;268660;268660;0
13350;144;594096;594096;0
13450;133;1269186;1269186;0
13550;167;2244612;2244612;0
13650;142;3165010;3165010;0
13750;122;3652881;3652881;0
13850;148;3890134;3890134;0
13950;155;4050647;4050647;0
14050;116;4254638;4254638;0
14150;129;4183811;4183811;0
14250;155;3694988;3694988;0
14350;129;2782232;2782232;0
14450;131;1847085;1847085;0
14550;122;1098887;1098887;0
14650;160;665965;665965;0
14750;156;483300;483300;0
14850;129;446732;446732;0
14950;158;422089;422089;0
15050;172;346557;346557;0
15150;137;231531;231531;0
15250;148;139664;139664;0
15350;140;87281;87281;0
15450;161;64751;64751;0
15550;167;55042;55042;0
15650;161;51348;51348;0
15750;155;49467;49467;0
15850;134;49064;49064;0
15950;169;48373;48373;0
16050;161;48273;48273;0
16150;148;47715;47715;0
16250;154;47636;47636;0
16350;152;47929;47929;0
16450;147;48555;48555;0
16550;147;49050;49050;0
16650;145;48900;48900;0
16750;140;48843;48843;0
16850;148;48867;48867;0
16950;139;48444;48444;0
17050;152;48484;48484;0
17150;183;47896;47896;0
17250;160;48410;48410;0
17350;159;47314;47314;0
17450;156;47454;47454;0
17550;155;47621;47621;0
17650;163;47640;47640;0
17750;156;48101;48101;0
17850;167;48030;48030;0
17950;142;48016;48016;0
18050;130;48147;48147;0
18150;142;47772;47772;0
18250;123;48354;48354;0
