BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;20076;10173;10173;0
150;20733;10058;10058;0
250;14787;10204;10204;0
350;8048;10223;10223;0
450;3618;10152;10152;0
550;1699;10228;10228;0
650;715;10297;10297;0
750;441;10236;10236;0
850;217;10470;10470;0
950;141;10371;10371;0
1050;95;10125;10125;0
1150;81;10204;10204;0
1250;63;10304;10304;0
1350;38;10262;10262;0
1450;36;10314;10314;0
1550;30;10323;10323;0
1650;37;10467;10467;0
1750;25;10314;10314;0
1850;26;10554;10554;0
1950;14;10334;10334;0
2050;24;10359;10359;0
2150;20;10373;10373;0
2250;21;10353;10353;0
2350;25;10477;10477;0
2450;18;10542;10542;0
2550;22;11168;11168;0
2650;23;11413;11413;0
2750;24;11484;11484;0
2850;26;11834;11834;0
2950;22;12200;12200;0
3050;17;12663;12663;0
3150;22;12705;12705;0
3250;43;12743;12743;0
3350;17;13009;13009;0
3450;22;13040;13040;0
3550;23;13107;13107;0
3650;24;13134;13134;0
3750;26;12562;12562;0
3850;32;12513;12513;0
3950;15;12184;12184;0
4050;19;12422;12422;0
4150;31;12457;12457;0
4250;25;12314;12314;0
4350;19;12596;12596;0
4450;19;12937;12937;0
4550;28;13129;13129;0
4650;33;13439;13439;0
4750;18;13348;13348;0
4850;17;13555;13555;0
4950;25;13309;13309;0
5050;16;13445;13445;0
5150;18;13485;13485;0
5250;24;13323;13323;0
5350;19;13020;13020;0
5450;17;13176;13176;0
5550;28;12897;12897;0
5650;17;12871;12871;0
5750;26;12796;12796;0
5850;26;12817;12817;0
5950;24;12529;12529;0
6050;20;12459;12459;0
6150;28;12441;12441;0
6250;23;12315;12315;0
6350;24;11852;11852;0
6450;27;11866;11866;0
6550;21;11444;11444;0
6650;20;11650;11650;0
6750;20;11403;11403;0
6850;29;11446;11446;0
6950;21;11439;11439;0
7050;26;11365;11365;0
7150;26;11391;11391;0
7250;20;11521;11521;0
7350;20;11291;11291;0
7450;18;11386;11386;0
7550;28;11514;11514;0
7650;22;11606;11606;0
7750;22;11474;11474;0
7850;20;11350;11350;0
7950;28;11491;11491;0
8050;13;11411;11411;0
8150;15;11304;11304;0
8250;19;11464;11464;0
8350;21;11394;11394;0
8450;21;11529;11529;0
8550;24;11294;11294;0
8650;18;11315;11315;0
8750;25;11436;11436;0
8850;20;11362;11362;0
8950;23;11121;11121;0
9050;24;11479;11479;0
9150;21;11504;11504;0
9250;19;11367;11367;0
9350;25;11481;11481;0
9450;18;11375;11375;0
9550;22;11475;11475;0
9650;15;11622;11622;0
9750;24;11739;11739;0
9850;27;11543;11543;0
9950;20;11829;11829;0
10050;21;12000;12000;0
10150;30;11860;11860;0
10250;26;11810;11810;0
10350;22;12003;12003;0
10450;22;12198;12198;0
10550;28;12212;12212;0
10650;33;12851;12851;0
