time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999943;7912;21247;14737;0;0;7;0;63;0;0;0;0;0;0;0
2.00;49999944;7761;20946;14711;0;0;1;0;66;0;0;0;0;0;0;0
4.00;49999942;7799;20862;14581;0;0;8;0;69;0;0;0;0;0;0;0
6.00;49999943;7904;21259;14976;0;2;6;0;53;0;0;0;0;0;0;0
8.00;49999946;7813;20873;14668;0;0;7;0;44;0;0;0;0;0;0;0
10.00;49999946;8021;20969;15424;0;0;13;0;54;0;0;0;0;0;0;0
12.00;49999943;8188;20706;15261;0;0;7;0;71;0;0;0;0;0;0;0
14.00;49999946;8042;21369;15407;0;0;5;0;69;0;0;0;0;0;0;0
16.00;49999944;7829;21329;14635;0;0;2;0;52;0;0;0;0;0;0;0
18.00;49999944;7946;21166;14794;0;0;6;0;68;0;0;0;0;0;0;0
20.00;49999944;7812;21294;14303;0;0;4;0;54;0;0;0;0;0;0;0
22.00;49999945;8127;21220;14244;0;0;7;0;58;0;0;0;0;0;0;0
24.00;49999942;7933;20764;14593;0;0;11;0;62;0;0;0;0;0;0;0
26.00;49999945;8024;20833;14649;0;0;2;0;57;0;0;0;0;0;0;0
28.00;49999945;7882;21077;14438;0;0;5;0;59;0;0;0;0;0;0;0
30.00;49999943;7857;21082;14929;0;0;9;0;48;0;0;0;0;0;0;0
32.00;49999942;7784;20991;14413;0;0;2;0;59;0;0;0;0;0;0;0
34.00;49999939;8235;21041;14496;0;2;8;0;53;0;0;0;0;0;0;0
36.01;49999944;7730;21279;14193;0;0;6;0;57;0;0;0;0;0;0;0
38.01;49999945;8052;21121;15064;0;0;11;0;66;0;0;0;0;0;0;0
40.01;49999946;7802;20894;14647;0;1;7;0;51;0;0;0;0;0;0;0
42.01;49999944;7966;21186;14689;0;0;8;0;54;0;0;0;0;0;0;0
44.01;49999945;7788;20724;14261;0;0;7;0;54;0;0;0;0;0;0;0
46.01;49999942;8042;20993;14631;0;0;8;0;49;0;0;0;0;0;0;0
48.01;49999945;7935;21247;14357;0;1;3;0;32;0;0;0;0;0;0;0
50.01;49999943;7843;20623;14596;0;0;6;0;56;0;0;0;0;0;0;0
52.01;49999944;7719;21042;14423;0;0;5;0;62;0;0;0;0;0;0;0
54.01;49999944;8276;21044;14689;0;1;8;0;51;0;0;0;0;0;0;0
56.01;49999944;8021;21032;14796;0;0;4;0;52;0;0;0;0;0;0;0
58.01;49999942;7879;21106;14990;0;0;5;0;51;0;0;0;0;0;0;0
60.01;49999944;7624;20874;15121;0;0;5;0;47;0;0;0;0;0;0;0
62.01;49999940;7826;20656;15025;0;0;7;0;58;0;0;0;0;0;0;0
64.01;49999944;7948;21129;15025;0;0;8;0;58;0;0;0;0;0;0;0
66.01;49999943;8137;21465;15095;0;0;12;0;53;0;0;0;0;0;0;0
68.01;49999943;7723;21009;14628;0;0;3;0;64;0;0;0;0;0;0;0
70.01;49999944;7671;20985;14939;0;0;2;0;59;0;0;0;0;0;0;0
72.01;49999944;7812;21112;14648;0;1;6;0;44;0;0;0;0;0;0;0
74.01;49999936;7993;21066;14308;0;0;5;0;60;0;0;0;0;0;0;0
76.01;49999943;7929;21014;14385;0;0;10;0;48;0;0;0;0;0;0;0
78.01;49999944;7961;21117;14406;0;0;5;0;56;0;0;0;0;0;0;0
80.01;49999944;7765;20929;14397;0;0;5;0;55;0;0;0;0;0;0;0
82.01;49999944;7908;20983;14542;0;0;4;0;57;0;0;0;0;0;0;0
84.01;49999944;7877;20965;14930;0;0;8;0;50;0;0;0;0;0;0;0
