time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999946;5776;19036;8892;0;0;4;0;25;0;0;0;0;0;0;0
2.00;49999946;5722;18893;8599;0;0;2;0;28;0;0;0;0;0;0;0
4.00;49999946;5559;18612;8128;0;1;3;0;23;0;0;0;0;0;0;0
6.00;49999944;5669;19229;8336;0;0;4;0;31;0;0;0;0;0;0;0
8.00;49999945;5719;18729;8528;0;0;4;0;25;0;0;0;0;0;0;0
10.00;49999944;5937;18827;8568;0;0;2;0;20;0;0;0;0;0;0;0
12.00;49999946;5721;18691;8617;0;1;3;0;27;0;0;0;0;0;0;0
14.00;49999944;5575;19397;8128;0;0;8;0;26;0;0;0;0;0;0;0
16.00;49999939;5627;18435;8203;0;0;0;0;20;0;0;0;0;0;0;0
18.00;49999946;5712;18439;8144;0;0;1;0;26;0;0;0;0;0;0;0
20.00;49999946;5476;18165;8235;0;0;1;0;26;0;0;0;0;0;0;0
22.00;49999945;5615;18720;8294;0;1;1;0;24;0;0;0;0;0;0;0
24.00;49999946;5791;18816;8495;0;0;1;0;28;0;0;0;0;0;0;0
26.01;49999945;5711;18734;8661;0;1;2;0;35;0;0;0;0;0;0;0
28.01;49999944;5665;18732;8392;0;0;1;0;20;0;0;0;0;0;0;0
30.01;49999944;5544;18699;8409;0;0;6;0;34;0;0;0;0;0;0;0
32.01;49999945;5805;18623;8879;0;0;5;0;32;0;0;0;0;0;0;0
34.01;49999943;5487;17951;8260;0;0;1;0;31;0;0;0;0;0;0;0
36.01;49999945;5727;18165;8147;0;0;3;0;26;0;0;0;0;0;0;0
38.01;49999946;5862;18367;8604;0;0;3;0;22;0;0;0;0;0;0;0
40.01;49999945;5712;18782;8641;0;0;4;0;30;0;0;0;0;0;0;0
42.01;49999942;5746;18757;8612;0;0;1;0;20;0;0;0;0;0;0;0
44.01;49999946;5627;18972;8367;0;0;4;0;24;0;0;0;0;0;0;0
46.01;49999946;5953;19045;8657;0;0;5;0;28;0;0;0;0;0;0;0
48.01;49999942;5746;18735;8437;0;0;1;0;28;0;0;0;0;0;0;0
50.01;49999946;5438;18509;8193;0;0;4;0;30;0;0;0;0;0;0;0
52.01;49999941;5713;18738;8238;0;3;3;0;28;0;0;0;0;0;0;0
54.01;49999946;5843;18318;8507;0;0;5;0;24;0;0;0;0;0;0;0
56.01;49999938;5497;18591;8232;0;1;3;0;23;0;0;0;0;0;0;0
58.01;49999940;5485;18482;8201;0;0;5;0;23;0;0;0;0;0;0;0
60.01;49999946;5725;18598;8441;0;0;3;0;27;0;0;0;0;0;0;0
62.01;49999945;5646;18309;7999;0;0;3;0;22;0;0;0;0;0;0;0
64.01;49999943;5798;18665;7900;0;0;2;0;21;0;0;0;0;0;0;0
66.01;49999940;5471;18355;8004;0;0;1;0;21;0;0;0;0;0;0;0
68.01;49999945;5647;19233;8178;0;1;5;0;28;0;0;0;0;0;0;0
70.01;49999940;5644;18647;7950;0;0;1;0;28;0;0;0;0;0;0;0
72.01;49999941;5740;18742;8229;0;0;2;0;29;0;0;0;0;0;0;0
74.01;49999943;5954;19040;8445;0;0;4;0;21;0;0;0;0;0;0;0
76.01;49999941;5633;18855;8076;0;0;5;0;23;0;0;0;0;0;0;0
78.01;49999945;5616;18671;8456;0;1;4;0;29;0;0;1;0;0;0;0
80.01;49999944;5764;18670;8546;0;0;3;0;21;0;0;0;0;0;0;0
82.01;49999945;5477;18456;8417;0;0;4;0;23;0;0;0;0;0;0;0
84.01;49999946;5652;18803;8483;0;0;1;0;30;0;0;0;0;0;0;0
86.01;49999945;5591;18704;8575;0;0;4;0;29;0;0;0;0;0;0;0
88.02;49999944;5821;18546;8386;0;0;3;0;19;0;0;0;0;0;0;0
90.02;49999940;5657;18790;8041;0;0;1;0;26;0;0;0;0;0;0;0
92.02;49999946;5947;18951;8612;0;0;7;0;22;0;0;0;0;0;0;0
94.02;49999944;5720;18966;8515;0;0;3;0;24;0;0;0;0;0;0;0
96.02;49999944;5794;18820;8144;0;0;3;0;30;0;0;0;0;0;0;0
98.02;49999942;5730;19048;8310;0;0;4;0;24;0;0;0;0;0;0;0
100.02;49999942;5808;19024;8868;0;0;4;0;23;0;0;0;0;0;0;0
102.02;49999945;5655;18832;8249;0;0;7;0;24;0;0;0;0;0;0;0
104.02;49999945;5837;18629;8594;0;0;0;0;20;0;0;0;0;0;0;0
106.02;49999946;5603;19049;8133;0;0;2;0;23;0;0;0;0;0;0;0
108.02;49999945;5857;18755;8772;0;0;7;0;19;0;0;0;0;0;0;0
110.02;49999946;5783;19222;8606;0;1;1;0;27;0;0;0;0;0;0;0
112.02;49999946;5668;19038;8492;0;0;6;0;19;0;0;0;0;0;0;0
