BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;536433;150199;150199;0
150;500183;150874;150874;0
250;316765;151166;151166;0
350;143811;151309;151309;0
450;56004;154274;154274;0
550;20752;156828;156828;0
650;8512;155440;155440;0
750;4008;155338;155338;0
850;2359;157363;157363;0
950;1669;156560;156560;0
1050;1246;154735;154735;0
1150;1035;153923;153923;0
1250;932;155087;155087;0
1350;749;158376;158376;0
1450;693;158595;158595;0
1550;642;158558;158558;0
1650;634;160721;160721;0
1750;641;191233;191233;0
1850;595;315564;315564;0
1950;603;633405;633405;0
2050;541;1069130;1069130;0
2150;523;1190665;1190665;0
2250;577;884565;884565;0
2350;510;584783;584783;0
2450;489;642561;642561;0
2550;516;1451825;1451825;0
2650;497;3187808;3187808;0
2750;483;4960642;4960642;0
2850;471;5789191;5789191;0
2950;469;5542579;5542579;0
3050;467;4860821;4860821;0
3150;466;4791672;4791672;0
3250;503;5887024;5887024;0
3350;502;7356213;7356213;0
3450;480;7624692;7624692;0
3550;502;5972394;5972394;0
3650;474;3476105;3476105;0
3750;460;1620809;1620809;0
3850;446;716576;716576;0
3950;441;369361;369361;0
4050;464;242357;242357;0
4150;485;196921;196921;0
4250;499;177373;177373;0
4350;473;169226;169226;0
4450;438;162569;162569;0
4550;479;158801;158801;0
4650;473;155866;155866;0
4750;461;154670;154670;0
4850;489;153678;153678;0
4950;463;152244;152244;0
5050;472;152169;152169;0
5150;468;151231;151231;0
5250;460;149559;149559;0
5350;491;149566;149566;0
5450;490;147954;147954;0
5550;461;147480;147480;0
5650;434;147262;147262;0
5750;403;147278;147278;0
5850;459;145442;145442;0
5950;465;144893;144893;0
6050;412;143270;143270;0
6150;403;140494;140494;0
6250;417;138858;138858;0
6350;455;140538;140538;0
6450;421;141309;141309;0
6550;438;140605;140605;0
6650;492;138910;138910;0
6750;472;139812;139812;0
6850;475;140694;140694;0
6950;474;139536;139536;0
7050;458;137596;137596;0
7150;431;138153;138153;0
7250;458;139664;139664;0
7350;468;141130;141130;0
7450;483;141652;141652;0
7550;447;141531;141531;0
7650;510;142521;142521;0
