time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999945;41374;45155;0;0;945;0;0;0;0;0;0;0;0;0;0
2.00;49999945;41862;45039;0;0;971;0;0;0;0;0;0;0;0;0;0
4.00;49999945;41629;44905;0;0;1011;0;0;0;0;0;0;0;0;0;0
6.00;49999945;42064;44825;0;0;979;0;0;0;0;0;0;0;0;0;0
8.00;49999945;42038;45581;0;0;947;0;0;0;0;0;0;0;0;0;0
10.00;49999945;42178;45427;0;0;994;0;0;0;0;0;0;0;0;0;0
12.00;49999945;42300;45386;0;0;980;0;0;0;0;0;0;0;0;0;0
14.00;49999944;41673;45582;0;0;1022;0;0;0;0;0;0;0;0;0;0
16.00;49999945;42232;45538;0;0;1001;0;0;0;0;0;0;0;0;0;0
18.00;49999944;41969;45187;0;0;1015;0;0;0;0;0;0;0;0;0;0
20.00;49999945;42242;45682;0;0;1034;0;0;0;0;0;0;0;0;0;0
22.00;49999945;42002;45267;0;0;1016;0;0;0;0;0;0;0;0;0;0
24.00;49999945;41423;45141;0;0;972;0;0;0;0;0;0;0;0;0;0
26.00;49999945;42048;45354;0;0;1032;0;0;0;0;0;0;0;0;0;0
28.00;49999945;41480;45239;0;0;1006;0;0;0;0;0;0;0;0;0;0
30.00;49999945;42469;45686;0;0;1061;0;0;0;0;0;0;0;0;0;0
32.00;49999944;41949;45127;0;0;1010;0;0;0;0;0;0;0;0;0;0
34.00;49999945;41516;45127;0;0;977;0;0;0;0;0;0;0;0;0;0
36.01;49999945;42076;45400;0;0;1004;0;0;0;0;0;0;0;0;0;0
38.01;49999945;41945;45298;0;0;991;0;0;0;0;0;0;0;0;0;0
40.01;49999945;41731;44849;0;0;973;0;0;0;0;0;0;0;0;0;0
42.01;49999945;41463;44919;0;0;984;0;0;0;0;0;0;0;0;0;0
44.01;49999945;41510;45251;0;0;1037;0;0;0;0;0;0;0;0;0;0
46.01;49999945;41994;44633;0;0;995;0;0;0;0;0;0;0;0;0;0
48.01;49999945;41071;44509;0;0;981;0;0;0;0;0;0;0;0;0;0
50.01;49999945;41320;44731;0;0;984;0;0;0;0;0;0;0;0;0;0
52.01;49999944;41267;44575;0;0;998;0;0;0;0;0;0;0;0;0;0
54.01;49999945;41094;44701;0;0;949;0;0;0;0;0;0;0;0;0;0
56.01;49999945;41520;44926;0;0;1009;0;0;0;0;0;0;0;0;0;0
58.01;49999944;41381;44678;0;0;1004;0;0;0;0;0;0;0;0;0;0
