run_id,timestamp,attenuation_dB,csv_file,log_file,note
20260706_114748,20260706_114748,-30.0,att_-30p00dB_run_20260706_114748.csv,att_-30p00dB_run_20260706_114748.log,"dark-count/background check, 2 us delay condition"
20260706_114914,20260706_114914,-28.0,att_-28p00dB_run_20260706_114914.csv,att_-28p00dB_run_20260706_114914.log,"dark-count/background check, 2 us delay condition"
20260706_115052,20260706_115052,-26.0,att_-26p00dB_run_20260706_115052.csv,att_-26p00dB_run_20260706_115052.log,"dark-count/background check, 2 us delay condition"
20260706_115227,20260706_115227,-24.0,att_-24p00dB_run_20260706_115227.csv,att_-24p00dB_run_20260706_115227.log,"dark-count/background check, 2 us delay condition"
20260706_115343,20260706_115343,-22.0,att_-22p00dB_run_20260706_115343.csv,att_-22p00dB_run_20260706_115343.log,"dark-count/background check, 2 us delay condition"
20260706_115515,20260706_115515,-20.0,att_-20p00dB_run_20260706_115515.csv,att_-20p00dB_run_20260706_115515.log,"dark-count/background check, 2 us delay condition"
20260706_115640,20260706_115640,-18.0,att_-18p00dB_run_20260706_115640.csv,att_-18p00dB_run_20260706_115640.log,"dark-count/background check, 2 us delay condition"
20260706_115804,20260706_115804,-16.0,att_-16p00dB_run_20260706_115804.csv,att_-16p00dB_run_20260706_115804.log,"dark-count/background check, 2 us delay condition"
20260706_120003,20260706_120003,-14.0,att_-14p00dB_run_20260706_120003.csv,att_-14p00dB_run_20260706_120003.log,"dark-count/background check, 2 us delay condition"
20260706_120120,20260706_120120,-12.0,att_-12p00dB_run_20260706_120120.csv,att_-12p00dB_run_20260706_120120.log,"dark-count/background check, 2 us delay condition"
20260706_120244,20260706_120244,-10.0,att_-10p00dB_run_20260706_120244.csv,att_-10p00dB_run_20260706_120244.log,"dark-count/background check, 2 us delay condition"
20260706_120507,20260706_120507,-8.0,att_-8p00dB_run_20260706_120507.csv,att_-8p00dB_run_20260706_120507.log,"dark-count/background check, 2 us delay condition"
20260706_120632,20260706_120632,-6.0,att_-6p00dB_run_20260706_120632.csv,att_-6p00dB_run_20260706_120632.log,"dark-count/background check, 2 us delay condition"
20260706_120751,20260706_120751,-4.0,att_-4p00dB_run_20260706_120751.csv,att_-4p00dB_run_20260706_120751.log,"dark-count/background check, 2 us delay condition"
20260706_120915,20260706_120915,-2.0,att_-2p00dB_run_20260706_120915.csv,att_-2p00dB_run_20260706_120915.log,"dark-count/background check, 2 us delay condition"
20260706_121045,20260706_121045,0.0,att_0p00dB_run_20260706_121045.csv,att_0p00dB_run_20260706_121045.log,"dark-count/background check, 2 us delay condition"
