time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;79999912;95022;101461;0;0;2802;0;0;0;0;0;0;0;0;0;0
2.00;79999912;94657;101292;0;0;2771;0;0;0;0;0;0;0;0;0;0
4.00;79999912;94095;101030;0;0;2887;0;0;0;0;0;0;0;0;0;0
6.00;79999912;94142;101451;0;0;2726;0;0;0;0;0;0;0;0;0;0
8.00;79999912;95071;101550;0;0;2799;0;0;0;0;0;0;0;0;0;0
10.00;79999911;94352;100823;0;0;2734;0;0;0;0;0;0;0;0;0;0
12.00;79999912;94861;101640;0;0;2755;0;0;0;0;0;0;0;0;0;0
14.00;79999913;94019;101339;0;0;2776;0;0;0;0;0;0;0;0;0;0
16.00;79999912;94342;101175;0;0;2708;0;0;0;0;0;0;0;0;0;0
18.00;79999912;94143;100456;0;0;2746;0;0;0;0;0;0;0;0;0;0
20.00;79999912;94225;100905;0;0;2759;0;0;0;0;0;0;0;0;0;0
22.00;79999911;93947;100887;0;0;2821;0;0;0;0;0;0;0;0;0;0
24.00;79999912;94402;101062;0;0;2724;0;0;0;0;0;0;0;0;0;0
26.00;79999912;94207;100482;0;0;2701;0;0;0;0;0;0;0;0;0;0
28.00;79999911;94104;101219;0;0;2847;0;0;0;0;0;0;0;0;0;0
30.00;79999913;93726;100886;0;0;2774;0;0;0;0;0;0;0;0;0;0
32.01;79999912;94411;100740;0;0;2774;0;0;0;0;0;0;0;0;0;0
34.01;79999912;94174;100993;0;0;2751;0;0;0;0;0;0;0;0;0;0
36.01;79999912;93885;101027;0;0;2814;0;0;0;0;0;0;0;0;0;0
38.01;79999911;93724;100686;0;0;2773;0;0;0;0;0;0;0;0;0;0
40.01;79999913;93527;101102;0;0;2810;0;0;0;0;0;0;0;0;0;0
42.01;79999912;94127;100728;0;0;2824;0;0;0;0;0;0;0;0;0;0
44.01;79999912;94237;100674;0;0;2597;0;0;0;0;0;0;0;0;0;0
46.01;79999912;94119;100112;0;0;2798;0;0;0;0;0;0;0;0;0;0
48.01;79999912;94481;100653;0;0;2723;0;0;0;0;0;0;0;0;0;0
50.01;79999912;94140;101019;0;0;2811;0;0;0;0;0;0;0;0;0;0
52.01;79999912;93951;100548;0;0;2745;0;0;0;0;0;0;0;0;0;0
54.01;79999911;93871;100235;0;0;2724;0;0;0;0;0;0;0;0;0;0
56.01;79999912;93847;100385;0;0;2676;0;0;0;0;0;0;0;0;0;0
58.01;79999912;93920;101041;0;0;2705;0;0;0;0;0;0;0;0;0;0
