time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999946;21247;23656;0;0;546;0;0;0;0;0;0;0;0;0;0
2.00;49999946;21634;23795;0;0;591;0;0;0;0;0;0;0;0;0;0
4.00;49999945;21843;24047;0;0;575;0;0;0;0;0;0;0;0;0;0
6.00;49999946;21747;23769;0;0;641;0;0;0;0;0;0;0;0;0;0
8.00;49999946;21587;23750;0;0;577;0;0;0;0;0;0;0;0;0;0
10.00;49999946;21695;23861;0;0;583;0;0;0;0;0;0;0;0;0;0
12.00;49999946;21518;23818;0;0;572;0;0;0;0;0;0;0;0;0;0
14.01;49999946;22014;24063;0;0;608;0;0;0;0;0;0;0;0;0;0
16.01;49999946;21670;23928;0;0;559;0;0;0;0;0;0;0;0;0;0
18.01;49999946;21578;23920;0;0;627;0;0;0;0;0;0;0;0;0;0
20.01;49999946;21508;23803;0;0;574;0;0;0;0;0;0;0;0;0;0
22.01;49999946;21789;24056;0;0;567;0;0;0;0;0;0;0;0;0;0
24.01;49999946;21353;23733;0;0;579;0;0;0;0;0;0;0;0;0;0
26.01;49999946;21582;23875;0;0;601;0;0;0;0;0;0;0;0;0;0
28.01;49999946;21554;23807;0;0;557;0;0;0;0;0;0;0;0;0;0
30.01;49999946;21696;23924;0;0;610;0;0;0;0;0;0;0;0;0;0
32.01;49999946;21331;23964;0;0;581;0;0;0;0;0;0;0;0;0;0
34.01;49999946;21933;24242;0;0;596;0;0;0;0;0;0;0;0;0;0
36.01;49999946;21780;23948;0;0;610;0;0;0;0;0;0;0;0;0;0
38.01;49999946;21841;23929;0;0;582;0;0;0;0;0;0;0;0;0;0
40.01;49999946;21143;23665;0;0;578;0;0;0;0;0;0;0;0;0;0
42.01;49999946;21729;24100;0;0;581;0;0;0;0;0;0;0;0;0;0
44.01;49999945;21959;24143;0;0;605;0;0;0;0;0;0;0;0;0;0
46.01;49999945;21759;23702;0;0;588;0;0;0;0;0;0;0;0;0;0
48.01;49999946;21828;23735;0;0;623;0;0;0;0;0;0;0;0;0;0
50.01;49999946;21691;24106;0;0;591;0;0;0;0;0;0;0;0;0;0
52.01;49999946;21837;23672;0;0;593;0;0;0;0;0;0;0;0;0;0
54.01;49999946;21930;23799;0;0;564;0;0;0;0;0;0;0;0;0;0
56.01;49999946;21532;23984;0;0;603;0;0;0;0;0;0;0;0;0;0
58.01;49999946;21755;23572;0;0;537;0;0;0;0;0;0;0;0;0;0
60.01;49999947;21563;23821;0;0;574;0;0;0;0;0;0;0;0;0;0
62.01;49999946;21505;23801;0;0;581;0;0;0;0;0;0;0;0;0;0
64.01;49999946;21482;23863;0;0;608;0;0;0;0;0;0;0;0;0;0
66.01;49999946;21997;23838;0;0;568;0;0;0;0;0;0;0;0;0;0
68.01;49999946;21535;23986;0;0;578;0;0;0;0;0;0;0;0;0;0
70.01;49999946;22012;24226;0;0;599;0;0;0;0;0;0;0;0;0;0
72.02;49999946;21420;23312;0;0;526;0;0;0;0;0;0;0;0;0;0
74.02;49999945;21932;24034;0;0;579;0;0;0;0;0;0;0;0;0;0
76.02;49999946;21599;23633;0;0;548;0;0;0;0;0;0;0;0;0;0
78.02;49999946;21672;23811;0;0;582;0;0;0;0;0;0;0;0;0;0
80.02;49999946;21642;23732;0;0;569;0;0;0;0;0;0;0;0;0;0
82.02;49999946;21785;23873;0;0;561;0;0;0;0;0;0;0;0;0;0
84.02;49999945;21569;23946;0;0;555;0;0;0;0;0;0;0;0;0;0
86.02;49999946;21602;24081;0;0;551;0;0;0;0;0;0;0;0;0;0
88.02;49999946;21683;23799;0;0;561;0;0;0;0;0;0;0;0;0;0
90.02;49999946;21782;23855;0;0;586;0;0;0;0;0;0;0;0;0;0
92.02;49999945;21651;23773;0;0;584;0;0;0;0;0;0;0;0;0;0
94.02;49999946;21739;23914;0;0;577;0;0;0;0;0;0;0;0;0;0
96.02;49999946;21616;23964;0;0;568;0;0;0;0;0;0;0;0;0;0
98.02;49999946;21803;23639;0;0;589;0;0;0;0;0;0;0;0;0;0
100.02;49999946;21167;23902;0;0;598;0;0;0;0;0;0;0;0;0;0
102.02;49999945;21615;24046;0;0;596;0;0;0;0;0;0;0;0;0;0
104.02;49999946;21341;23546;0;0;524;0;0;0;0;0;0;0;0;0;0
106.02;49999946;21734;23580;0;0;512;0;0;0;0;0;0;0;0;0;0
108.02;49999946;21355;23572;0;0;535;0;0;0;0;0;0;0;0;0;0
110.02;49999946;21490;24064;0;0;570;0;0;0;0;0;0;0;0;0;0
112.02;49999946;21729;23622;0;0;544;0;0;0;0;0;0;0;0;0;0
114.02;49999946;21658;23368;0;0;541;0;0;0;0;0;0;0;0;0;0
116.02;49999946;21372;23465;0;0;606;0;0;0;0;0;0;0;0;0;0
118.02;49999946;21436;23753;0;0;567;0;0;0;0;0;0;0;0;0;0
