time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999946;188217;185934;0;0;2518;0;0;0;0;0;0;0;0;0;0
2.00;49999946;188654;186560;0;0;2668;0;0;0;0;0;0;0;0;0;0
4.00;49999946;188454;186246;0;0;2568;0;0;0;0;0;0;0;0;0;0
6.00;49999946;188701;186034;0;0;2548;0;0;0;0;0;0;0;0;0;0
8.00;49999946;189085;186509;0;0;2568;0;0;0;0;0;0;0;0;0;0
10.00;49999945;188588;186186;0;0;2660;0;0;0;0;0;0;0;0;0;0
12.00;49999946;188521;186254;0;0;2648;0;0;0;0;0;0;0;0;0;0
14.00;49999946;187989;185612;0;0;2623;0;0;0;0;0;0;0;0;0;0
16.00;49999945;189072;186514;0;0;2631;0;0;0;0;0;0;0;0;0;0
18.00;49999946;188230;185917;0;0;2607;0;0;0;0;0;0;0;0;0;0
20.00;49999945;188898;186478;0;0;2652;0;0;0;0;0;0;0;0;0;0
22.00;49999946;188255;185904;0;0;2605;0;0;0;0;0;0;0;0;0;0
24.01;49999946;189053;186959;0;0;2657;0;0;0;0;0;0;0;0;0;0
26.01;49999946;188493;186193;0;0;2688;0;0;0;0;0;0;0;0;0;0
28.01;49999945;189586;186835;0;0;2703;0;0;0;0;0;0;0;0;0;0
30.01;49999946;189699;186931;0;0;2650;0;0;0;0;0;0;0;0;0;0
32.03;49999946;188626;186300;0;0;2635;0;0;0;0;0;0;0;0;0;0
34.03;49999946;189488;187220;0;0;2696;0;0;0;0;0;0;0;0;0;0
36.03;49999946;190250;187399;0;0;2670;0;0;0;0;0;0;0;0;0;0
38.04;49999946;189466;187067;0;0;2599;0;0;0;0;0;0;0;0;0;0
40.04;49999946;189133;186781;0;0;2584;0;0;0;0;0;0;0;0;0;0
42.04;49999946;189696;187031;0;0;2669;0;0;0;0;0;0;0;0;0;0
44.04;49999946;188864;186568;0;0;2672;0;0;0;0;0;0;0;0;0;0
46.04;49999946;188418;185954;0;0;2525;0;0;0;0;0;0;0;0;0;0
48.04;49999946;188308;185932;0;0;2593;0;0;0;0;0;0;0;0;0;0
50.06;49999946;188068;185742;0;0;2628;0;0;0;0;0;0;0;0;0;0
52.06;49999946;188136;185502;0;0;2538;0;0;0;0;0;0;0;0;0;0
54.06;49999946;187578;185044;0;0;2604;0;0;0;0;0;0;0;0;0;0
56.06;49999946;187918;185483;0;0;2549;0;0;0;0;0;0;0;0;0;0
58.06;49999946;187969;185369;0;0;2670;0;0;0;0;0;0;0;0;0;0
60.06;49999945;187969;185577;0;0;2588;0;0;0;0;0;0;0;0;0;0
62.06;49999946;188076;185531;0;0;2572;0;0;0;0;0;0;0;0;0;0
64.06;49999946;188019;185448;0;0;2593;0;0;0;0;0;0;0;0;0;0
66.06;49999946;188497;186366;0;0;2478;0;0;0;0;0;0;0;0;0;0
68.06;49999946;187717;185436;0;0;2549;0;0;0;0;0;0;0;0;0;0
70.06;49999946;188291;186028;0;0;2573;0;0;0;0;0;0;0;0;0;0
72.06;49999945;188338;186315;0;0;2683;0;0;0;0;0;0;0;0;0;0
74.06;49999946;188052;185711;0;0;2644;0;0;0;0;0;0;0;0;0;0
76.06;49999946;188102;185640;0;0;2604;0;0;0;0;0;0;0;0;0;0
78.06;49999946;188303;185970;0;0;2617;0;0;0;0;0;0;0;0;0;0
80.06;49999946;188156;185746;0;0;2695;0;0;0;0;0;0;0;0;0;0
82.06;49999946;187543;185093;0;0;2637;0;0;0;0;0;0;0;0;0;0
84.06;49999946;187825;185447;0;0;2661;0;0;0;0;0;0;0;0;0;0
86.06;49999946;187326;184906;0;0;2569;0;0;0;0;0;0;0;0;0;0
88.06;49999946;187083;184576;0;0;2526;0;0;0;0;0;0;0;0;0;0
90.06;49999946;187071;184619;0;0;2542;0;0;0;0;0;0;0;0;0;0
92.06;49999946;186873;184263;0;0;2540;0;0;0;0;0;0;0;0;0;0
94.06;49999946;187073;184565;0;0;2695;0;0;0;0;0;0;0;0;0;0
96.06;49999946;185468;183143;0;0;2421;0;0;0;0;0;0;0;0;0;0
98.06;49999946;186493;183998;0;0;2536;0;0;0;0;0;0;0;0;0;0
100.07;49999946;186168;183840;0;0;2451;0;0;0;0;0;0;0;0;0;0
102.07;49999946;186857;184700;0;0;2561;0;0;0;0;0;0;0;0;0;0
104.07;49999946;186727;184640;0;0;2554;0;0;0;0;0;0;0;0;0;0
106.07;49999946;187211;184749;0;0;2721;0;0;0;0;0;0;0;0;0;0
108.07;49999946;186610;184202;0;0;2575;0;0;0;0;0;0;0;0;0;0
110.07;49999946;186794;184372;0;0;2642;0;0;0;0;0;0;0;0;0;0
112.07;49999946;187352;185091;0;0;2610;0;0;0;0;0;0;0;0;0;0
114.07;49999946;187331;185136;0;0;2487;0;0;0;0;0;0;0;0;0;0
116.07;49999946;186420;184353;0;0;2444;0;0;0;0;0;0;0;0;0;0
118.07;49999945;186757;184507;0;0;2630;0;0;0;0;0;0;0;0;0;0
