run_id,timestamp,attenuation_dB,csv_file,log_file,note
20260724_144902,20260724_144902,-20.0,att_-20p00dB_run_20260724_144902.csv,att_-20p00dB_run_20260724_144902.log,"dark-count/background check, 2 us delay condition"
20260724_145141,20260724_145141,-18.0,att_-18p00dB_run_20260724_145141.csv,att_-18p00dB_run_20260724_145141.log,"dark-count/background check, 2 us delay condition"
20260724_145402,20260724_145402,-16.0,att_-16p00dB_run_20260724_145402.csv,att_-16p00dB_run_20260724_145402.log,"dark-count/background check, 2 us delay condition"
20260724_145620,20260724_145620,-14.0,att_-14p00dB_run_20260724_145620.csv,att_-14p00dB_run_20260724_145620.log,"dark-count/background check, 2 us delay condition"
20260724_145827,20260724_145827,-12.0,att_-12p00dB_run_20260724_145827.csv,att_-12p00dB_run_20260724_145827.log,"dark-count/background check, 2 us delay condition"
20260724_145845,20260724_145845,-12.0,att_-12p00dB_run_20260724_145845.csv,att_-12p00dB_run_20260724_145845.log,"dark-count/background check, 2 us delay condition"
20260724_150121,20260724_150121,-10.0,att_-10p00dB_run_20260724_150121.csv,att_-10p00dB_run_20260724_150121.log,"dark-count/background check, 2 us delay condition"
20260724_150350,20260724_150350,-8.0,att_-8p00dB_run_20260724_150350.csv,att_-8p00dB_run_20260724_150350.log,"dark-count/background check, 2 us delay condition"
20260724_150607,20260724_150607,-6.0,att_-6p00dB_run_20260724_150607.csv,att_-6p00dB_run_20260724_150607.log,"dark-count/background check, 2 us delay condition"
20260724_150834,20260724_150834,-4.0,att_-4p00dB_run_20260724_150834.csv,att_-4p00dB_run_20260724_150834.log,"dark-count/background check, 2 us delay condition"
20260724_151102,20260724_151102,-2.0,att_-2p00dB_run_20260724_151102.csv,att_-2p00dB_run_20260724_151102.log,"dark-count/background check, 2 us delay condition"
20260724_151126,20260724_151126,-2.0,att_-2p00dB_run_20260724_151126.csv,att_-2p00dB_run_20260724_151126.log,"dark-count/background check, 2 us delay condition"
20260724_151505,20260724_151505,0,att_0p00dB_run_20260724_151505.csv,att_0p00dB_run_20260724_151505.log,"dark-count/background check, 2 us delay condition"
