time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999946;30716;30268;0;0;276;0;0;0;0;0;0;0;0;0;0
2.00;49999945;29944;29648;0;0;256;0;0;0;0;0;0;0;0;0;0
4.00;49999946;30161;29759;0;0;252;0;0;0;0;0;0;0;0;0;0
6.00;49999945;30089;29777;0;0;266;0;0;0;0;0;0;0;0;0;0
8.00;49999946;30198;29998;0;0;258;0;0;0;0;0;0;0;0;0;0
10.00;49999946;29987;29948;0;0;244;0;0;0;0;0;0;0;0;0;0
12.00;49999946;29952;29808;0;0;247;0;0;0;0;0;0;0;0;0;0
14.00;49999946;30250;30035;0;0;244;0;0;0;0;0;0;0;0;0;0
16.00;49999946;30248;30224;0;0;281;0;0;0;0;0;0;0;0;0;0
18.00;49999946;30039;29873;0;0;283;0;0;0;0;0;0;0;0;0;0
20.00;49999946;30750;30296;0;0;291;0;0;0;0;0;0;0;0;0;0
22.00;49999946;29860;29841;0;0;309;0;0;0;0;0;0;0;0;0;0
24.01;49999945;30301;30115;0;0;268;0;0;0;0;0;0;0;0;0;0
26.01;49999946;30063;30095;0;0;272;0;0;0;0;0;0;0;0;0;0
28.01;49999946;30164;30079;0;0;296;0;0;0;0;0;0;0;0;0;0
30.01;49999945;30224;30123;0;0;257;0;0;0;0;0;0;0;0;0;0
32.01;49999946;30665;30446;0;0;273;0;0;0;0;0;0;0;0;0;0
34.01;49999946;30316;30100;0;0;235;0;0;0;0;0;0;0;0;0;0
36.02;49999946;30543;30577;0;0;306;0;0;0;0;0;0;0;0;0;0
38.02;49999945;30008;29867;0;0;267;0;0;0;0;0;0;0;0;0;0
40.02;49999946;30353;30088;0;0;264;0;0;0;0;0;0;0;0;0;0
42.02;49999945;30273;30079;0;0;278;0;0;0;0;0;0;0;0;0;0
44.02;49999946;30357;29996;0;0;283;0;0;0;0;0;0;0;0;0;0
46.02;49999946;29616;29635;0;0;270;0;0;0;0;0;0;0;0;0;0
48.02;49999945;29878;29751;0;0;265;0;0;0;0;0;0;0;0;0;0
50.02;49999946;29972;29839;0;0;236;0;0;0;0;0;0;0;0;0;0
52.02;49999946;30277;30065;0;0;263;0;0;0;0;0;0;0;0;0;0
54.02;49999946;30106;29939;0;0;265;0;0;0;0;0;0;0;0;0;0
56.02;49999945;30036;30015;0;0;265;0;0;0;0;0;0;0;0;0;0
58.02;49999946;30051;29709;0;0;266;0;0;0;0;0;0;0;0;0;0
60.02;49999946;30178;30063;0;0;247;0;0;0;0;0;0;0;0;0;0
62.02;49999946;30064;29994;0;0;256;0;0;0;0;0;0;0;0;0;0
64.02;49999946;29906;29838;0;0;215;0;0;0;0;0;0;0;0;0;0
66.02;49999946;29904;29805;0;0;291;0;0;0;0;0;0;0;0;0;0
68.02;49999946;29993;29724;0;0;269;0;0;0;0;0;0;0;0;0;0
70.02;49999946;29857;29872;0;0;268;0;0;0;0;0;0;0;0;0;0
72.02;49999946;29919;29852;0;0;277;0;0;0;0;0;0;0;0;0;0
74.02;49999946;30052;29800;0;0;254;0;0;0;0;0;0;0;0;0;0
76.02;49999946;30188;30191;0;0;260;0;0;0;0;0;0;0;0;0;0
78.02;49999945;30369;29839;0;0;247;0;0;0;0;0;0;0;0;0;0
80.02;49999946;29884;29760;0;0;258;0;0;0;0;0;0;0;0;0;0
82.02;49999946;29698;29657;0;0;246;0;0;0;0;0;0;0;0;0;0
84.02;49999946;29940;29927;0;0;258;0;0;0;0;0;0;0;0;0;0
86.02;49999946;29793;29854;0;0;252;0;0;0;0;0;0;0;0;0;0
88.02;49999946;29975;29841;0;0;249;0;0;0;0;0;0;0;0;0;0
90.03;49999946;29689;29958;0;0;264;0;0;0;0;0;0;0;0;0;0
92.03;49999946;29745;29537;0;0;254;0;0;0;0;0;0;0;0;0;0
94.03;49999946;29610;29290;0;0;247;0;0;0;0;0;0;0;0;0;0
96.03;49999946;29905;29680;0;0;239;0;0;0;0;0;0;0;0;0;0
98.03;49999946;29561;29241;0;0;256;0;0;0;0;0;0;0;0;0;0
100.03;49999946;29708;29363;0;0;240;0;0;0;0;0;0;0;0;0;0
102.03;49999945;29432;29350;0;0;251;0;0;0;0;0;0;0;0;0;0
104.03;49999946;29498;29190;0;0;256;0;0;0;0;0;0;0;0;0;0
106.03;49999946;29552;29261;0;0;253;0;0;0;0;0;0;0;0;0;0
108.03;49999946;29867;29393;0;0;222;0;0;0;0;0;0;0;0;0;0
110.03;49999946;29609;29316;0;0;258;0;0;0;0;0;0;0;0;0;0
112.03;49999946;29126;28695;0;0;240;0;0;0;0;0;0;0;0;0;0
114.03;49999946;29108;29131;0;0;255;0;0;0;0;0;0;0;0;0;0
116.03;49999946;29159;29154;0;0;244;0;0;0;0;0;0;0;0;0;0
118.03;49999946;29512;29421;0;0;257;0;0;0;0;0;0;0;0;0;0
120.03;49999946;29373;29011;0;0;241;0;0;0;0;0;0;0;0;0;0
122.03;49999946;29424;29439;0;0;263;0;0;0;0;0;0;0;0;0;0
124.03;49999945;29330;29098;0;0;236;0;0;0;0;0;0;0;0;0;0
126.03;49999946;29346;29101;0;0;248;0;0;0;0;0;0;0;0;0;0
128.03;49999946;28894;29070;0;0;253;0;0;0;0;0;0;0;0;0;0
130.03;49999946;29383;29206;0;0;230;0;0;0;0;0;0;0;0;0;0
132.03;49999946;28964;28925;0;0;256;0;0;0;0;0;0;0;0;0;0
134.03;49999946;29213;28958;0;0;244;0;0;0;0;0;0;0;0;0;0
136.04;49999946;28974;28862;0;0;242;0;0;0;0;0;0;0;0;0;0
138.04;49999946;28904;29075;0;0;217;0;0;0;0;0;0;0;0;0;0
140.04;49999946;28956;28915;0;0;259;0;0;0;0;0;0;0;0;0;0
142.04;49999946;29602;29240;0;0;249;0;0;0;0;0;0;0;0;0;0
144.04;49999946;29565;29052;0;0;260;0;0;0;0;0;0;0;0;0;0
146.04;49999946;29171;29247;0;0;303;0;0;0;0;0;0;0;0;0;0
148.04;49999946;29383;29306;0;0;266;0;0;0;0;0;0;0;0;0;0
150.04;49999946;29725;29536;0;0;263;0;0;0;0;0;0;0;0;0;0
152.04;49999946;29552;29159;0;0;243;0;0;0;0;0;0;0;0;0;0
154.04;49999945;29212;29038;0;0;246;0;0;0;0;0;0;0;0;0;0
156.04;49999946;29377;28842;0;0;266;0;0;0;0;0;0;0;0;0;0
158.04;49999946;29404;29362;0;0;245;0;0;0;0;0;0;0;0;0;0
160.04;49999946;29738;29491;0;0;230;0;0;0;0;0;0;0;0;0;0
162.04;49999946;29770;29448;0;0;227;0;0;0;0;0;0;0;0;0;0
164.04;49999946;29316;29317;0;0;270;0;0;0;0;0;0;0;0;0;0
166.04;49999946;29633;29414;0;0;272;0;0;0;0;0;0;0;0;0;0
168.04;49999945;29654;29561;0;0;257;0;0;0;0;0;0;0;0;0;0
170.04;49999946;29463;29137;0;0;265;0;0;0;0;0;0;0;0;0;0
172.04;49999946;29548;29442;0;0;221;0;0;0;0;0;0;0;0;0;0
174.04;49999946;29503;29339;0;0;279;0;0;0;0;0;0;0;0;0;0
176.04;49999946;29574;29243;0;0;250;0;0;0;0;0;0;0;0;0;0
178.04;49999946;29728;29649;0;0;253;0;0;0;0;0;0;0;0;0;0
