time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999946;56655;54565;0;0;228;0;0;0;0;0;0;0;0;0;0
2.00;49999945;57023;54786;0;0;330;0;0;0;0;0;0;0;0;0;0
4.00;49999946;56562;54549;0;0;212;0;0;0;0;0;0;0;0;0;0
6.00;49999946;56852;54826;0;0;401;0;0;0;0;0;0;0;0;0;0
8.00;49999947;56634;54441;0;0;191;0;0;0;0;0;0;0;0;0;0
10.00;49999946;56745;54742;0;0;239;0;0;0;0;0;0;0;0;0;0
12.00;49999946;57976;55763;0;0;305;0;0;0;0;0;0;0;0;0;0
14.00;49999946;57104;54759;0;0;264;0;0;0;0;0;0;0;0;0;0
16.00;49999946;57258;54975;0;0;231;0;0;0;0;0;0;0;0;0;0
18.00;49999946;57487;55029;0;0;319;0;0;0;0;0;0;0;0;0;0
20.00;49999946;57005;54650;0;0;304;0;0;0;0;0;0;0;0;0;0
22.00;49999946;56798;54669;0;0;204;0;0;0;0;0;0;0;0;0;0
24.00;49999945;57501;55165;0;0;391;0;0;0;0;0;0;0;0;0;0
26.00;49999946;56850;54811;0;0;159;0;0;0;0;0;0;0;0;0;0
28.00;49999946;56917;54672;0;0;265;0;0;0;0;0;0;0;0;0;0
30.00;49999946;56345;54219;0;0;292;0;0;0;0;0;0;0;0;0;0
32.01;49999946;56799;54800;0;0;251;0;0;0;0;0;0;0;0;0;0
34.01;49999946;56856;54590;0;0;316;0;0;0;0;0;0;0;0;0;0
36.01;49999946;57218;54752;0;0;309;0;0;0;0;0;0;0;0;0;0
38.01;49999946;56849;54486;0;0;322;0;0;0;0;0;0;0;0;0;0
40.01;49999947;56729;54631;0;0;352;0;0;0;0;0;0;0;0;0;0
42.01;49999946;56736;54538;0;0;294;0;0;0;0;0;0;0;0;0;0
44.01;49999946;56656;54339;0;0;342;0;0;0;0;0;0;0;0;0;0
46.01;49999945;57184;54969;0;0;380;0;0;0;0;0;0;0;0;0;0
48.01;49999946;56905;54671;0;0;175;0;0;0;0;0;0;0;0;0;0
50.01;49999946;56968;54460;0;0;182;0;0;0;0;0;0;0;0;0;0
52.01;49999946;57184;54813;0;0;346;0;0;0;0;0;0;0;0;0;0
54.01;49999946;57593;55185;0;0;413;0;0;0;0;0;0;0;0;0;0
56.01;49999946;57428;55057;0;0;406;0;0;0;0;0;0;0;0;0;0
58.01;49999946;58402;56094;0;0;318;0;0;0;0;0;0;0;0;0;0
60.01;49999946;58332;56133;0;0;236;0;0;0;0;0;0;0;0;0;0
62.01;49999946;58518;56064;0;0;314;0;0;0;0;0;0;0;0;0;0
64.01;49999946;58484;56230;0;0;284;0;0;0;0;0;0;0;0;0;0
66.01;49999947;58458;56224;0;0;311;0;0;0;0;0;0;0;0;0;0
68.01;49999946;58177;56054;0;0;288;0;0;0;0;0;0;0;0;0;0
70.01;49999946;56442;54275;0;0;308;0;0;0;0;0;0;0;0;0;0
72.01;49999946;56107;54088;0;0;308;0;0;0;0;0;0;0;0;0;0
74.01;49999946;57500;55297;0;0;218;0;0;0;0;0;0;0;0;0;0
