run_id,timestamp,attenuation_dB,csv_file,log_file,note
20260724_133547,20260724_133547,-20.0,att_-20p00dB_run_20260724_133547.csv,att_-20p00dB_run_20260724_133547.log,"dark-count/background check, 2 us delay condition"
20260724_133921,20260724_133921,-18.0,att_-18p00dB_run_20260724_133921.csv,att_-18p00dB_run_20260724_133921.log,"dark-count/background check, 2 us delay condition"
20260724_134243,20260724_134243,-16.0,att_-16p00dB_run_20260724_134243.csv,att_-16p00dB_run_20260724_134243.log,"dark-count/background check, 2 us delay condition"
20260724_134709,20260724_134709,-14.0,att_-14p00dB_run_20260724_134709.csv,att_-14p00dB_run_20260724_134709.log,"dark-count/background check, 2 us delay condition"
20260724_135125,20260724_135125,-12.0,att_-12p00dB_run_20260724_135125.csv,att_-12p00dB_run_20260724_135125.log,"dark-count/background check, 2 us delay condition"
20260724_135523,20260724_135523,-10.0,att_-10p00dB_run_20260724_135523.csv,att_-10p00dB_run_20260724_135523.log,"dark-count/background check, 2 us delay condition"
20260724_135920,20260724_135920,-8.0,att_-8p00dB_run_20260724_135920.csv,att_-8p00dB_run_20260724_135920.log,"dark-count/background check, 2 us delay condition"
20260724_140532,20260724_140532,-6.0,att_-6p00dB_run_20260724_140532.csv,att_-6p00dB_run_20260724_140532.log,"dark-count/background check, 2 us delay condition"
20260724_140923,20260724_140923,-6.0,att_-6p00dB_run_20260724_140923.csv,att_-6p00dB_run_20260724_140923.log,"dark-count/background check, 2 us delay condition"
20260724_141242,20260724_141242,-4.0,att_-4p00dB_run_20260724_141242.csv,att_-4p00dB_run_20260724_141242.log,"dark-count/background check, 2 us delay condition"
20260724_141634,20260724_141634,-2.0,att_-2p00dB_run_20260724_141634.csv,att_-2p00dB_run_20260724_141634.log,"dark-count/background check, 2 us delay condition"
20260724_142032,20260724_142032,-2.0,att_-2p00dB_run_20260724_142032.csv,att_-2p00dB_run_20260724_142032.log,"dark-count/background check, 2 us delay condition"
20260724_143000,20260724_143000,0.0,att_0p00dB_run_20260724_143000.csv,att_0p00dB_run_20260724_143000.log,"dark-count/background check, 2 us delay condition"
