time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;79999913;22706;22316;0;0;124;0;0;0;0;0;0;0;0;0;0
2.00;79999913;22842;22548;0;0;132;0;0;0;0;0;0;0;0;0;0
4.00;79999913;22673;22422;0;0;142;0;0;0;0;0;0;0;0;0;0
6.00;79999913;22585;22234;0;0;156;0;0;0;0;0;0;0;0;0;0
8.00;79999913;22817;22169;0;0;136;0;0;0;0;0;0;0;0;0;0
10.00;79999912;22685;22351;0;0;159;0;0;0;0;0;0;0;0;0;0
12.00;79999912;22829;22391;0;0;150;0;0;0;0;0;0;0;0;0;0
14.00;79999913;22565;22489;0;0;163;0;0;0;0;0;0;0;0;0;0
16.00;79999913;22604;22342;0;0;136;0;0;0;0;0;0;0;0;0;0
18.00;79999913;22610;22228;0;0;137;0;0;0;0;0;0;0;0;0;0
20.00;79999913;22884;22412;0;0;142;0;0;0;0;0;0;0;0;0;0
22.00;79999913;22973;22430;0;0;133;0;0;0;0;0;0;0;0;0;0
24.00;79999914;22695;22744;0;0;145;0;0;0;0;0;0;0;0;0;0
26.00;79999912;22796;22291;0;0;136;0;0;0;0;0;0;0;0;0;0
28.01;79999913;22676;22360;0;0;149;0;0;0;0;0;0;0;0;0;0
30.01;79999913;23039;22286;0;0;142;0;0;0;0;0;0;0;0;0;0
32.01;79999913;22906;22124;0;0;160;0;0;0;0;0;0;0;0;0;0
34.01;79999913;22796;22286;0;0;135;0;0;0;0;0;0;0;0;0;0
36.01;79999913;22549;22029;0;0;142;0;0;0;0;0;0;0;0;0;0
38.01;79999912;22626;22018;0;0;136;0;0;0;0;0;0;0;0;0;0
40.01;79999913;22491;21977;0;0;137;0;0;0;0;0;0;0;0;0;0
42.01;79999913;22732;22531;0;0;168;0;0;0;0;0;0;0;0;0;0
44.01;79999913;22703;22290;0;0;147;0;0;0;0;0;0;0;0;0;0
46.01;79999913;22841;22051;0;0;146;0;0;0;0;0;0;0;0;0;0
48.01;79999913;22596;22483;0;0;158;0;0;0;0;0;0;0;0;0;0
50.01;79999913;22493;22453;0;0;134;0;0;0;0;0;0;0;0;0;0
52.01;79999913;22054;21974;0;0;143;0;0;0;0;0;0;0;0;0;0
54.01;79999914;23018;22303;0;0;142;0;0;0;0;0;0;0;0;0;0
56.01;79999913;22646;22282;0;0;149;0;0;0;0;0;0;0;0;0;0
58.01;79999912;22890;22397;0;0;153;0;0;0;0;0;0;0;0;0;0
60.01;79999913;22734;22533;0;0;136;0;0;0;0;0;0;0;0;0;0
62.01;79999913;23061;22227;0;0;145;0;0;0;0;0;0;0;0;0;0
64.01;79999913;22869;22293;0;0;170;0;0;0;0;0;0;0;0;0;0
66.01;79999913;22819;22603;0;0;129;0;0;0;0;0;0;0;0;0;0
68.01;79999913;22761;22343;0;0;138;0;0;0;0;0;0;0;0;0;0
70.01;79999913;22792;22603;0;0;157;0;0;0;0;0;0;0;0;0;0
72.01;79999913;23068;22451;0;0;165;0;0;0;0;0;0;0;0;0;0
74.01;79999912;22815;22867;0;0;142;0;0;0;0;0;0;0;0;0;0
76.01;79999913;22895;22360;0;0;128;0;0;0;0;0;0;0;0;0;0
78.01;79999913;23063;22840;0;0;132;0;0;0;0;0;0;0;0;0;0
80.01;79999913;22723;22521;0;0;143;0;0;0;0;0;0;0;0;0;0
82.01;79999913;23159;22746;0;0;143;0;0;0;0;0;0;0;0;0;0
84.01;79999913;23156;22543;0;0;143;0;0;0;0;0;0;0;0;0;0
86.02;79999913;22807;22606;0;0;138;0;0;0;0;0;0;0;0;0;0
88.02;79999913;22958;22260;0;0;140;0;0;0;0;0;0;0;0;0;0
90.02;79999913;23134;22318;0;0;129;0;0;0;0;0;0;0;0;0;0
92.02;79999913;23005;22366;0;0;157;0;0;0;0;0;0;0;0;0;0
94.02;79999913;22701;22580;0;0;142;0;0;0;0;0;0;0;0;0;0
96.02;79999912;22869;22274;0;0;146;0;0;0;0;0;0;0;0;0;0
98.02;79999913;23079;22823;0;0;152;0;0;0;0;0;0;0;0;0;0
100.02;79999913;22690;22475;0;0;148;0;0;0;0;0;0;0;0;0;0
102.02;79999913;22987;22664;0;0;138;0;0;0;0;0;0;0;0;0;0
104.02;79999913;22726;22469;0;0;152;0;0;0;0;0;0;0;0;0;0
106.02;79999912;22875;22849;0;0;142;0;0;0;0;0;0;0;0;0;0
108.02;79999913;22721;22209;0;0;117;0;0;0;0;0;0;0;0;0;0
110.02;79999913;22548;22421;0;0;153;0;0;0;0;0;0;0;0;0;0
112.02;79999913;22899;22588;0;0;151;0;0;0;0;0;0;0;0;0;0
114.02;79999912;23253;22641;0;0;156;0;0;0;0;0;0;0;0;0;0
116.02;79999913;22976;22606;0;0;132;0;0;0;0;0;0;0;0;0;0
118.02;79999913;22935;22766;0;0;145;0;0;0;0;0;0;0;0;0;0
