time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;79999912;192041;191823;0;0;726;0;0;0;0;0;0;0;0;0;0
2.00;79999912;192071;191855;0;0;690;0;0;0;0;0;0;0;0;0;0
4.00;79999912;192040;191852;0;0;662;0;0;0;0;0;0;0;0;0;0
6.00;79999912;192062;191844;0;0;718;0;0;0;0;0;0;0;0;0;0
8.00;79999911;192029;191841;0;0;731;0;0;0;0;0;0;0;0;0;0
10.00;79999912;192067;191857;0;0;644;0;0;0;0;0;0;0;0;0;0
12.00;79999912;192046;191839;0;0;664;0;0;0;0;0;0;0;0;0;0
14.00;79999911;192061;191881;0;0;741;0;0;0;0;0;0;0;0;0;0
16.00;79999911;192030;191843;0;0;677;0;0;0;0;0;0;0;0;0;0
18.00;79999911;192071;191872;0;0;699;0;0;0;0;0;0;0;0;0;0
20.00;79999911;192028;191840;0;0;676;0;0;0;0;0;0;0;0;0;0
22.00;79999911;192062;191868;0;0;694;0;0;0;0;0;0;0;0;0;0
24.00;79999911;192039;191831;0;0;736;0;0;0;0;0;0;0;0;0;0
26.00;79999911;192069;191883;0;0;700;0;0;0;0;0;0;0;0;0;0
28.00;79999911;192047;191839;0;0;775;0;0;0;0;0;0;0;0;0;0
30.01;79999911;192067;191870;0;0;744;0;0;0;0;0;0;0;0;0;0
32.01;79999911;192040;191845;0;0;755;0;0;0;0;0;0;0;0;0;0
34.01;79999912;192074;191878;0;0;710;0;0;0;0;0;0;0;0;0;0
36.01;79999912;192030;191846;0;0;734;0;0;0;0;0;0;0;0;0;0
38.01;79999912;192066;191886;0;0;693;0;0;0;0;0;0;0;0;0;0
40.01;79999911;192044;191844;0;0;720;0;0;0;0;0;0;0;0;0;0
42.01;79999911;192081;191891;0;0;688;0;0;0;0;0;0;0;0;0;0
44.01;79999912;192027;191834;0;0;801;0;0;0;0;0;0;0;0;0;0
46.01;79999912;192082;191882;0;0;721;0;0;0;0;0;0;0;0;0;0
48.01;79999912;192037;191834;0;0;754;0;0;0;0;0;0;0;0;0;0
50.01;79999911;192074;191875;0;0;612;0;0;0;0;0;0;0;0;0;0
52.01;79999911;192040;191850;0;0;770;0;0;0;0;0;0;0;0;0;0
54.01;79999911;192091;191880;0;0;783;0;0;0;0;0;0;0;0;0;0
56.01;79999911;192036;191834;0;0;816;0;0;0;0;0;0;0;0;0;0
58.01;79999911;192075;191878;0;0;765;0;0;0;0;0;0;0;0;0;0
