time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;99965449;5306;5038;9305;0;0;39;0;24;0;0;0;0;0;0;0
2.00;99968147;5033;5033;9451;0;0;38;0;25;0;0;0;0;0;0;0
4.00;99968058;4954;4953;9377;0;0;24;0;34;0;0;0;0;0;0;0
6.00;99972376;5123;4810;9310;0;0;33;0;31;0;0;0;0;0;0;0
8.00;99968882;5000;4867;9119;0;0;25;0;18;0;0;0;0;0;0;0
10.00;99971053;4982;4944;9346;0;0;31;0;21;0;0;0;0;0;0;0
12.00;99968785;5070;4918;9043;0;0;30;0;25;0;0;0;0;0;0;0
14.00;99965510;4977;4768;9149;0;0;26;0;27;0;0;0;0;0;0;0
16.00;99968755;4941;4999;9258;0;0;31;0;22;0;0;0;0;0;0;0
18.00;99967328;5005;4822;9188;0;0;44;0;24;0;0;0;0;0;0;0
20.00;99967893;5034;4872;9337;0;0;31;0;18;0;0;0;0;0;0;0
22.00;99959996;5108;4905;9138;0;0;26;0;23;0;0;0;0;0;0;0
24.00;99967692;4805;4946;9119;0;0;24;0;30;0;0;0;0;0;0;0
26.00;99965221;5079;4830;9274;0;0;31;0;25;0;0;0;0;0;0;0
28.00;99954628;5345;4982;9102;0;0;30;0;25;0;0;0;0;0;0;0
30.00;99961280;5020;4922;9220;0;0;32;0;30;0;0;0;0;0;0;0
32.01;99965847;5003;4917;9190;0;0;44;0;24;0;0;0;0;0;0;0
34.01;99969220;5008;4922;9254;0;0;35;0;19;0;0;0;0;0;0;0
36.01;99967808;5049;4918;9154;0;0;40;0;29;0;0;0;0;0;0;0
38.01;99970105;4938;4850;9098;0;1;39;0;22;0;0;0;0;0;0;0
40.01;99970333;5158;4890;9230;0;0;26;0;22;0;0;0;0;0;0;0
42.01;99968441;4838;4919;9248;0;0;31;0;22;0;0;0;0;0;0;0
44.01;99957837;4900;4942;8943;0;0;17;0;34;0;0;0;0;0;0;0
46.01;99965501;4909;4734;9161;0;0;27;0;30;0;0;0;0;0;0;0
48.01;99966926;4949;4823;9331;0;0;31;0;31;0;0;0;0;0;0;0
50.02;99966409;5084;4764;9383;0;0;31;0;28;0;0;0;0;0;0;0
52.02;99962746;4997;4826;9078;0;0;30;0;28;0;0;0;0;0;0;0
54.02;99961786;4927;4895;9053;0;0;26;0;44;0;0;0;0;0;0;0
56.02;99961720;4991;4900;9071;0;0;27;0;29;0;0;0;0;0;0;0
58.02;99959663;4962;4793;8970;0;1;35;0;27;0;0;0;0;0;0;0
60.02;99961091;5175;4925;9053;0;0;30;0;32;0;0;0;0;0;0;0
62.02;99963046;5091;4912;9138;0;0;21;0;23;0;0;0;0;0;0;0
64.02;99966431;4982;4995;9258;0;0;36;0;29;0;0;0;0;0;0;0
66.02;99964555;5039;4836;8936;0;0;25;0;28;0;0;0;0;0;0;0
68.02;99960565;4973;4779;9215;0;0;41;0;22;0;0;0;0;0;0;0
70.02;99960795;5061;4896;9158;0;0;31;0;30;0;0;0;0;0;0;0
72.02;99962671;5060;4771;9328;0;0;29;0;25;0;0;0;0;0;0;0
74.02;99957049;5092;4681;9085;0;0;34;0;23;0;0;0;0;0;0;0
76.02;99962297;5011;5002;9166;0;1;30;0;34;0;0;0;0;0;0;0
78.02;99968801;5085;4752;9049;0;0;25;0;28;0;0;0;0;0;0;0
80.02;99961563;5036;4830;8898;0;0;31;0;28;0;0;0;0;0;0;0
82.02;99971440;4994;4776;9337;0;0;24;0;26;0;0;0;0;0;0;0
84.02;99965312;4951;4987;9197;0;0;33;0;37;0;0;0;0;0;0;0
86.02;99969195;4906;4799;9308;0;0;40;0;30;0;0;0;0;0;0;0
88.02;99967612;5017;4781;9354;0;0;39;0;30;0;0;0;0;0;0;0
90.02;99968845;4954;4735;9319;0;0;33;0;28;0;0;0;0;0;0;0
92.02;99966264;5039;4767;9164;0;0;26;0;18;0;0;0;0;0;0;0
94.02;99967048;5181;4891;9152;0;0;29;0;30;0;0;0;0;0;0;0
96.02;99965996;5070;4871;9216;0;0;33;0;34;0;0;0;0;0;0;0
98.02;99973521;4861;4732;9501;0;0;32;0;19;0;0;0;0;0;0;0
100.02;99977018;5007;4921;9676;0;0;40;0;37;0;0;0;0;0;0;0
102.02;99959796;4911;4590;9031;0;0;20;0;23;0;0;0;0;0;0;0
104.02;99957368;4947;4754;8977;0;0;31;0;29;0;0;0;0;0;0;0
106.02;99958757;5050;4723;9093;0;0;30;0;25;0;0;0;0;0;0;0
108.02;99962190;5068;4764;9187;0;0;26;0;19;0;0;0;0;0;0;0
110.02;99958134;4971;4813;9092;0;0;28;0;27;0;0;0;0;0;0;0
112.03;99964510;4966;4788;9176;0;0;36;0;25;0;0;0;0;0;0;0
114.03;99965094;5067;4767;9314;0;0;42;0;24;0;0;0;0;0;0;0
116.03;99975101;5042;4826;9512;0;0;27;0;26;0;0;0;0;0;0;0
118.03;99973797;4969;4709;9399;0;0;34;0;25;0;0;0;0;0;0;0
120.03;99964761;4909;4698;9029;0;0;29;0;26;0;0;0;0;0;0;0
122.03;99970877;5024;4732;9089;0;0;27;0;26;0;0;0;0;0;0;0
124.03;99969760;4933;4796;9369;0;0;27;0;28;0;0;0;0;0;0;0
126.03;99978807;4921;4687;9626;0;0;32;0;26;0;0;0;0;0;0;0
128.03;99971583;4992;4979;9455;0;0;27;0;26;0;0;0;0;0;0;0
130.03;99971459;4942;4744;9428;0;0;30;0;28;0;0;0;0;0;0;0
132.03;99963496;4978;4836;9224;0;0;40;0;22;0;0;0;0;0;0;0
134.03;99967936;4959;4837;9280;0;0;36;0;33;0;0;0;0;0;0;0
136.03;99972514;5017;4786;9651;0;0;29;0;21;0;0;0;0;0;0;0
138.03;99968436;5026;4741;9094;0;0;35;0;28;0;0;0;0;0;0;0
140.03;99959015;4977;4840;8839;0;0;25;0;35;0;0;0;0;0;0;0
142.03;99961984;5129;4773;9042;0;0;34;0;32;0;0;0;0;0;0;0
144.03;99962121;5071;4874;9075;0;0;41;0;22;0;0;0;0;0;0;0
146.03;99959248;4851;4893;8992;0;0;19;0;28;0;0;0;0;0;0;0
148.03;99959506;5030;4900;8977;0;0;28;0;30;0;0;0;0;0;0;0
150.03;99964030;5005;4934;9262;0;0;24;0;25;0;0;0;0;0;0;0
152.03;99956483;5067;4894;8965;0;0;34;0;31;0;0;0;0;0;0;0
154.03;99959495;5043;5017;9047;0;1;39;0;26;0;0;0;0;0;0;0
156.03;99966201;4918;4935;9386;0;0;43;0;30;0;0;0;0;0;0;0
158.03;99967605;5050;4774;9256;0;0;27;0;24;0;0;0;0;0;0;0
160.04;99966838;5070;4809;9254;0;1;42;0;22;0;0;0;0;0;0;0
162.04;99969394;4948;4998;9415;0;0;36;0;25;0;0;0;0;0;0;0
164.04;99964773;5190;4948;9111;0;0;31;0;25;0;0;0;0;0;0;0
166.04;99972432;4871;4911;9411;0;1;28;0;26;0;0;0;0;0;0;0
168.04;99969760;5144;4764;9379;0;0;31;0;22;0;0;0;0;0;0;0
170.04;99972998;5040;4878;9561;0;1;31;0;28;0;0;0;0;0;0;0
172.04;99974952;5077;4820;9341;0;0;31;0;29;0;0;0;0;0;0;0
