time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999945;57597;54693;0;0;1493;0;0;0;0;0;0;0;0;0;0
2.00;49999945;57756;54274;0;0;1431;0;0;0;0;0;0;0;0;0;0
4.00;49999945;57437;54643;0;0;1447;0;0;0;0;0;0;0;0;0;0
6.00;49999944;57391;54395;0;0;1395;0;0;0;0;0;0;0;0;0;0
8.00;49999944;57714;54864;0;0;1540;0;0;0;0;0;0;0;0;0;0
10.00;49999944;57587;54814;0;0;1477;0;0;0;0;0;0;0;0;0;0
12.00;49999944;57673;54800;0;0;1454;0;0;0;0;0;0;0;0;0;0
14.00;49999944;57388;54848;0;0;1497;0;0;0;0;0;0;0;0;0;0
16.00;49999944;57648;54615;0;0;1428;0;0;0;0;0;0;0;0;0;0
18.00;49999944;57439;54779;0;0;1450;0;0;0;0;0;0;0;0;0;0
