time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999945;577405;560792;0;0;14036;0;0;0;0;0;0;0;0;0;0
2.00;49999945;577783;560343;0;0;14001;0;0;0;0;0;0;0;0;0;0
4.00;49999946;576965;560049;0;0;14188;0;0;0;0;0;0;0;0;0;0
6.00;49999946;577232;560862;0;0;13937;0;0;0;0;0;0;0;0;0;0
8.00;49999945;576784;560959;0;0;14007;0;0;0;0;0;0;0;0;0;0
10.00;49999945;577104;560859;0;0;13832;0;0;0;0;0;0;0;0;0;0
12.00;49999945;576583;559901;0;0;14040;0;0;0;0;0;0;0;0;0;0
14.00;49999945;577823;560857;0;0;14119;0;0;0;0;0;0;0;0;0;0
16.00;49999945;576415;559646;0;0;14030;0;0;0;0;0;0;0;0;0;0
18.00;49999945;577353;561146;0;0;14095;0;0;0;0;0;0;0;0;0;0
20.00;49999946;576502;559273;0;0;13967;0;0;0;0;0;0;0;0;0;0
22.00;49999946;578076;560777;0;0;13845;0;0;0;0;0;0;0;0;0;0
24.00;49999946;576535;559685;0;0;14016;0;0;0;0;0;0;0;0;0;0
26.00;49999946;577870;561303;0;0;13948;0;0;0;0;0;0;0;0;0;0
28.00;49999945;576475;559557;0;0;13925;0;0;0;0;0;0;0;0;0;0
30.01;49999945;579280;563328;0;0;13702;0;0;0;0;0;0;0;0;0;0
32.01;49999946;578399;561452;0;0;14133;0;0;0;0;0;0;0;0;0;0
34.01;49999946;579058;561965;0;0;14047;0;0;0;0;0;0;0;0;0;0
36.01;49999945;577764;561390;0;0;13904;0;0;0;0;0;0;0;0;0;0
38.01;49999946;579175;562460;0;0;13997;0;0;0;0;0;0;0;0;0;0
40.01;49999946;578222;561529;0;0;14192;0;0;0;0;0;0;0;0;0;0
42.01;49999945;579835;563032;0;0;13904;0;0;0;0;0;0;0;0;0;0
44.01;49999945;577746;560780;0;0;13919;0;0;0;0;0;0;0;0;0;0
46.01;49999946;578784;562790;0;0;13851;0;0;0;0;0;0;0;0;0;0
48.01;49999945;578150;561292;0;0;13906;0;0;0;0;0;0;0;0;0;0
50.01;49999945;579626;562871;0;0;14020;0;0;0;0;0;0;0;0;0;0
52.01;49999945;578468;561944;0;0;13958;0;0;0;0;0;0;0;0;0;0
54.01;49999945;579675;562915;0;0;14130;0;0;0;0;0;0;0;0;0;0
56.01;49999945;578442;561755;0;0;13849;0;0;0;0;0;0;0;0;0;0
58.01;49999945;579480;562473;0;0;13956;0;0;0;0;0;0;0;0;0;0
60.01;49999945;577923;561449;0;0;14076;0;0;0;0;0;0;0;0;0;0
62.01;49999946;579402;563403;0;0;14072;0;0;0;0;0;0;0;0;0;0
64.01;49999946;578219;561337;0;0;14063;0;0;0;0;0;0;0;0;0;0
66.01;49999946;579189;563302;0;0;14030;0;0;0;0;0;0;0;0;0;0
68.01;49999946;577966;561234;0;0;14053;0;0;0;0;0;0;0;0;0;0
70.01;49999945;579772;562948;0;0;13934;0;0;0;0;0;0;0;0;0;0
72.01;49999945;578182;561906;0;0;13913;0;0;0;0;0;0;0;0;0;0
74.01;49999945;579791;562885;0;0;14216;0;0;0;0;0;0;0;0;0;0
76.01;49999946;578066;561372;0;0;14083;0;0;0;0;0;0;0;0;0;0
78.01;49999946;579260;563515;0;0;14190;0;0;0;0;0;0;0;0;0;0
80.01;49999946;579545;561375;0;0;13761;0;0;0;0;0;0;0;0;0;0
82.01;49999945;581014;563336;0;0;14231;0;0;0;0;0;0;0;0;0;0
84.01;49999945;578394;561827;0;0;13860;0;0;0;0;0;0;0;0;0;0
86.02;49999945;580026;563162;0;0;13858;0;0;0;0;0;0;0;0;0;0
88.02;49999945;578306;561954;0;0;14061;0;0;0;0;0;0;0;0;0;0
90.02;49999946;578480;561622;0;0;13945;0;0;0;0;0;0;0;0;0;0
92.02;49999946;576188;559493;0;0;14089;0;0;0;0;0;0;0;0;0;0
94.02;49999946;578260;561318;0;0;13837;0;0;0;0;0;0;0;0;0;0
96.02;49999946;575819;558858;0;0;13895;0;0;0;0;0;0;0;0;0;0
98.02;49999945;577980;562443;0;0;13964;0;0;0;0;0;0;0;0;0;0
100.02;49999945;576098;559451;0;0;13982;0;0;0;0;0;0;0;0;0;0
102.02;49999945;577239;561734;0;0;14213;0;0;0;0;0;0;0;0;0;0
104.02;49999946;576146;559641;0;0;14102;0;0;0;0;0;0;0;0;0;0
106.02;49999946;578133;561396;0;0;14037;0;0;0;0;0;0;0;0;0;0
108.02;49999945;575985;559793;0;0;13841;0;0;0;0;0;0;0;0;0;0
110.02;49999945;578739;562296;0;0;14084;0;0;0;0;0;0;0;0;0;0
112.02;49999946;576039;559097;0;0;14010;0;0;0;0;0;0;0;0;0;0
114.02;49999946;578052;561881;0;0;14153;0;0;0;0;0;0;0;0;0;0
