time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;79999913;76726;84018;0;0;2301;0;0;0;0;0;0;0;0;0;0
2.00;79999913;76975;83777;0;0;2265;0;0;0;0;0;0;0;0;0;0
4.00;79999913;76954;83837;0;0;2333;0;0;0;0;0;0;0;0;0;0
6.00;79999912;76511;83064;0;0;2222;0;0;0;0;0;0;0;0;0;0
8.00;79999913;77026;84096;0;0;2203;0;0;0;0;0;0;0;0;0;0
10.00;79999913;76528;83687;0;0;2334;0;0;0;0;0;0;0;0;0;0
12.00;79999912;77222;84069;0;0;2337;0;0;0;0;0;0;0;0;0;0
14.00;79999913;76443;83675;0;0;2279;0;0;0;0;0;0;0;0;0;0
16.00;79999912;76646;83504;0;0;2268;0;0;0;0;0;0;0;0;0;0
18.00;79999913;76516;83679;0;0;2272;0;0;0;0;0;0;0;0;0;0
20.00;79999912;76797;84051;0;0;2270;0;0;0;0;0;0;0;0;0;0
22.00;79999912;75903;83446;0;0;2326;0;0;0;0;0;0;0;0;0;0
24.01;79999913;76801;84074;0;0;2264;0;0;0;0;0;0;0;0;0;0
26.01;79999913;76276;83214;0;0;2278;0;0;0;0;0;0;0;0;0;0
28.01;79999913;76407;83741;0;0;2325;0;0;0;0;0;0;0;0;0;0
30.01;79999913;76174;83053;0;0;2235;0;0;0;0;0;0;0;0;0;0
32.01;79999913;76838;83890;0;0;2236;0;0;0;0;0;0;0;0;0;0
34.01;79999913;76338;82823;0;0;2255;0;0;0;0;0;0;0;0;0;0
36.01;79999912;76778;83365;0;0;2404;0;0;0;0;0;0;0;0;0;0
38.01;79999913;76224;83052;0;0;2296;0;0;0;0;0;0;0;0;0;0
40.01;79999912;76762;83834;0;0;2291;0;0;0;0;0;0;0;0;0;0
42.01;79999913;75778;82919;0;0;2178;0;0;0;0;0;0;0;0;0;0
44.01;79999912;76647;83887;0;0;2275;0;0;0;0;0;0;0;0;0;0
46.01;79999913;75965;83125;0;0;2297;0;0;0;0;0;0;0;0;0;0
48.01;79999913;76254;84010;0;0;2213;0;0;0;0;0;0;0;0;0;0
50.01;79999912;76048;83403;0;0;2213;0;0;0;0;0;0;0;0;0;0
52.01;79999913;76623;84082;0;0;2259;0;0;0;0;0;0;0;0;0;0
54.01;79999912;75472;82954;0;0;2229;0;0;0;0;0;0;0;0;0;0
56.01;79999912;76597;84285;0;0;2297;0;0;0;0;0;0;0;0;0;0
58.01;79999913;75802;82875;0;0;2294;0;0;0;0;0;0;0;0;0;0
60.01;79999912;76707;84483;0;0;2341;0;0;0;0;0;0;0;0;0;0
62.02;79999913;76142;83711;0;0;2291;0;0;0;0;0;0;0;0;0;0
64.02;79999912;76773;84023;0;0;2335;0;0;0;0;0;0;0;0;0;0
66.02;79999913;76519;83409;0;0;2325;0;0;0;0;0;0;0;0;0;0
68.02;79999913;76783;84392;0;0;2208;0;0;0;0;0;0;0;0;0;0
70.02;79999912;76524;83805;0;0;2203;0;0;0;0;0;0;0;0;0;0
72.02;79999913;76860;84385;0;0;2317;0;0;0;0;0;0;0;0;0;0
74.02;79999912;76589;83728;0;0;2185;0;0;0;0;0;0;0;0;0;0
76.02;79999913;77028;83972;0;0;2284;0;0;0;0;0;0;0;0;0;0
78.02;79999912;76157;83664;0;0;2334;0;0;0;0;0;0;0;0;0;0
80.02;79999913;76944;84700;0;0;2314;0;0;0;0;0;0;0;0;0;0
82.02;79999913;76212;83922;0;0;2233;0;0;0;0;0;0;0;0;0;0
84.02;79999913;77237;84262;0;0;2333;0;0;0;0;0;0;0;0;0;0
86.02;79999913;76168;83804;0;0;2281;0;0;0;0;0;0;0;0;0;0
88.02;79999913;77284;84178;0;0;2287;0;0;0;0;0;0;0;0;0;0
90.02;79999912;76123;83504;0;0;2294;0;0;0;0;0;0;0;0;0;0
92.02;79999913;76897;84160;0;0;2325;0;0;0;0;0;0;0;0;0;0
94.02;79999912;76382;83705;0;0;2350;0;0;0;0;0;0;0;0;0;0
96.02;79999913;76937;83388;0;0;2255;0;0;0;0;0;0;0;0;0;0
98.02;79999913;76195;83683;0;0;2218;0;0;0;0;0;0;0;0;0;0
100.02;79999913;76653;83646;0;0;2228;0;0;0;0;0;0;0;0;0;0
102.02;79999913;76107;83425;0;0;2361;0;0;0;0;0;0;0;0;0;0
104.02;79999913;76763;83985;0;0;2282;0;0;0;0;0;0;0;0;0;0
106.02;79999912;76435;83121;0;0;2218;0;0;0;0;0;0;0;0;0;0
108.02;79999912;76541;83839;0;0;2179;0;0;0;0;0;0;0;0;0;0
110.02;79999912;76497;83766;0;0;2296;0;0;0;0;0;0;0;0;0;0
112.03;79999913;76456;83883;0;0;2266;0;0;0;0;0;0;0;0;0;0
114.03;79999912;75789;83123;0;0;2266;0;0;0;0;0;0;0;0;0;0
116.03;79999913;76278;83799;0;0;2252;0;0;0;0;0;0;0;0;0;0
118.03;79999913;76104;82746;0;0;2284;0;0;0;0;0;0;0;0;0;0
