time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999945;57441;54742;0;0;1477;0;0;0;0;0;0;0;0;0;0
2.00;49999944;57396;53967;0;0;1435;0;0;0;0;0;0;0;0;0;0
4.00;49999944;57751;54613;0;0;1498;0;0;0;0;0;0;0;0;0;0
6.00;49999944;57340;54231;0;0;1478;0;0;0;0;0;0;0;0;0;0
8.00;49999944;57395;54247;0;0;1491;0;0;0;0;0;0;0;0;0;0
10.00;49999944;56760;54160;0;0;1436;0;0;0;0;0;0;0;0;0;0
12.00;49999945;57319;54613;0;0;1466;0;0;0;0;0;0;0;0;0;0
14.00;49999945;57356;54470;0;0;1461;0;0;0;0;0;0;0;0;0;0
16.00;49999944;57509;54323;0;0;1478;0;0;0;0;0;0;0;0;0;0
18.00;49999945;56928;54261;0;0;1460;0;0;0;0;0;0;0;0;0;0
20.00;49999945;57678;54396;0;0;1490;0;0;0;0;0;0;0;0;0;0
22.00;49999945;56797;54271;0;0;1429;0;0;0;0;0;0;0;0;0;0
24.00;49999945;57312;54404;0;0;1472;0;0;0;0;0;0;0;0;0;0
26.00;49999944;56947;54184;0;0;1439;0;0;0;0;0;0;0;0;0;0
28.00;49999945;57392;54732;0;0;1483;0;0;0;0;0;0;0;0;0;0
30.01;49999945;57021;54441;0;0;1441;0;0;0;0;0;0;0;0;0;0
32.01;49999945;57790;54903;0;0;1458;0;0;0;0;0;0;0;0;0;0
34.01;49999945;56952;53959;0;0;1381;0;0;0;0;0;0;0;0;0;0
36.01;49999944;57477;54255;0;0;1470;0;0;0;0;0;0;0;0;0;0
38.01;49999944;57010;54264;0;0;1426;0;0;0;0;0;0;0;0;0;0
40.01;49999945;57636;54715;0;0;1439;0;0;0;0;0;0;0;0;0;0
42.01;49999945;57032;54049;0;0;1445;0;0;0;0;0;0;0;0;0;0
44.01;49999944;57302;54701;0;0;1431;0;0;0;0;0;0;0;0;0;0
46.01;49999945;57420;54092;0;0;1464;0;0;0;0;0;0;0;0;0;0
48.01;49999945;57251;54722;0;0;1463;0;0;0;0;0;0;0;0;0;0
50.01;49999945;57343;54218;0;0;1449;0;0;0;0;0;0;0;0;0;0
52.01;49999944;57489;54808;0;0;1499;0;0;0;0;0;0;0;0;0;0
54.01;49999945;57044;54517;0;0;1458;0;0;0;0;0;0;0;0;0;0
56.01;49999945;57438;54645;0;0;1420;0;0;0;0;0;0;0;0;0;0
58.01;49999944;57132;54190;0;0;1417;0;0;0;0;0;0;0;0;0;0
