time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999945;57369;54682;0;0;1529;0;0;0;0;0;0;0;0;0;0
2.00;49999945;57209;54318;0;0;1381;0;0;0;0;0;0;0;0;0;0
4.00;49999950;57309;54491;0;0;1459;0;0;0;0;0;0;0;0;0;0
6.00;49999944;57217;54301;0;0;1377;0;0;0;0;0;0;0;0;0;0
8.00;49999944;57457;54613;0;0;1402;0;0;0;0;0;0;0;0;0;0
10.00;49999945;57540;54478;0;0;1471;0;0;0;0;0;0;0;0;0;0
12.00;49999944;57685;54984;0;0;1491;0;0;0;0;0;0;0;0;0;0
14.00;49999945;57260;54440;0;0;1493;0;0;0;0;0;0;0;0;0;0
16.00;49999945;57520;54556;0;0;1506;0;0;0;0;0;0;0;0;0;0
18.00;49999945;57177;54013;0;0;1496;0;0;0;0;0;0;0;0;0;0
20.00;49999944;57212;54748;0;0;1470;0;0;0;0;0;0;0;0;0;0
22.00;49999944;57208;54289;0;0;1398;0;0;0;0;0;0;0;0;0;0
24.00;49999945;57437;54687;0;0;1473;0;0;0;0;0;0;0;0;0;0
26.00;49999945;57402;54120;0;0;1434;0;0;0;0;0;0;0;0;0;0
28.00;49999945;57508;54631;0;0;1487;0;0;0;0;0;0;0;0;0;0
30.01;49999945;57154;54151;0;0;1455;0;0;0;0;0;0;0;0;0;0
32.01;49999945;57614;54471;0;0;1529;0;0;0;0;0;0;0;0;0;0
34.01;49999944;57283;54174;0;0;1412;0;0;0;0;0;0;0;0;0;0
36.01;49999945;57319;54904;0;0;1510;0;0;0;0;0;0;0;0;0;0
38.01;49999945;56885;54152;0;0;1458;0;0;0;0;0;0;0;0;0;0
40.01;49999945;57540;54538;0;0;1414;0;0;0;0;0;0;0;0;0;0
42.01;49999944;57292;54054;0;0;1426;0;0;0;0;0;0;0;0;0;0
44.01;49999945;57446;54238;0;0;1403;0;0;0;0;0;0;0;0;0;0
46.01;49999945;57193;54388;0;0;1445;0;0;0;0;0;0;0;0;0;0
48.01;49999945;57433;54710;0;0;1495;0;0;0;0;0;0;0;0;0;0
50.01;49999944;57251;54075;0;0;1506;0;0;0;0;0;0;0;0;0;0
52.01;49999944;57305;54501;0;0;1454;0;0;0;0;0;0;0;0;0;0
54.01;49999945;57427;54268;0;0;1470;0;0;0;0;0;0;0;0;0;0
56.01;49999945;57193;54385;0;0;1523;0;0;0;0;0;0;0;0;0;0
58.01;49999945;57121;54000;0;0;1435;0;0;0;0;0;0;0;0;0;0
60.01;49999945;57365;54692;0;0;1443;0;0;0;0;0;0;0;0;0;0
62.01;49999945;57262;54242;0;0;1451;0;0;0;0;0;0;0;0;0;0
64.01;49999944;57236;54529;0;0;1526;0;0;0;0;0;0;0;0;0;0
66.01;49999944;57009;54474;0;0;1418;0;0;0;0;0;0;0;0;0;0
68.01;49999944;57885;54711;0;0;1436;0;0;0;0;0;0;0;0;0;0
70.01;49999945;57344;53920;0;0;1453;0;0;0;0;0;0;0;0;0;0
72.02;49999945;57452;54652;0;0;1400;0;0;0;0;0;0;0;0;0;0
74.02;49999944;57167;54121;0;0;1406;0;0;0;0;0;0;0;0;0;0
76.02;49999944;57708;54757;0;0;1449;0;0;0;0;0;0;0;0;0;0
78.02;49999944;56930;54283;0;0;1472;0;0;0;0;0;0;0;0;0;0
80.02;49999945;57390;54520;0;0;1483;0;0;0;0;0;0;0;0;0;0
82.02;49999945;57335;54262;0;0;1437;0;0;0;0;0;0;0;0;0;0
84.02;49999945;57663;54475;0;0;1445;0;0;0;0;0;0;0;0;0;0
86.02;49999944;56807;54477;0;0;1408;0;0;0;0;0;0;0;0;0;0
88.02;49999945;57186;54443;0;0;1455;0;0;0;0;0;0;0;0;0;0
90.02;49999945;57079;54273;0;0;1447;0;0;0;0;0;0;0;0;0;0
92.02;49999945;56978;54707;0;0;1461;0;0;0;0;0;0;0;0;0;0
94.02;49999944;56977;54178;0;0;1498;0;0;0;0;0;0;0;0;0;0
96.02;49999944;57639;54641;0;0;1436;0;0;0;0;0;0;0;0;0;0
98.02;49999944;57298;54189;0;0;1428;0;0;0;0;0;0;0;0;0;0
100.02;49999944;57294;54780;0;0;1425;0;0;0;0;0;0;0;0;0;0
102.02;49999945;57278;54436;0;0;1499;0;0;0;0;0;0;0;0;0;0
104.02;49999945;57320;54461;0;0;1462;0;0;0;0;0;0;0;0;0;0
106.02;49999944;57299;54517;0;0;1451;0;0;0;0;0;0;0;0;0;0
108.02;49999945;57289;54359;0;0;1438;0;0;0;0;0;0;0;0;0;0
110.02;49999945;57215;54337;0;0;1434;0;0;0;0;0;0;0;0;0;0
112.02;49999944;57133;54431;0;0;1458;0;0;0;0;0;0;0;0;0;0
114.02;49999944;57305;54190;0;0;1414;0;0;0;0;0;0;0;0;0;0
116.02;49999944;57572;54520;0;0;1492;0;0;0;0;0;0;0;0;0;0
118.02;49999945;57175;53856;0;0;1373;0;0;0;0;0;0;0;0;0;0
120.02;49999944;57339;54392;0;0;1434;0;0;0;0;0;0;0;0;0;0
122.02;49999944;57636;54208;0;0;1449;0;0;0;0;0;0;0;0;0;0
124.02;49999945;57223;54285;0;0;1439;0;0;0;0;0;0;0;0;0;0
126.03;49999945;56963;54480;0;0;1504;0;0;0;0;0;0;0;0;0;0
128.03;49999944;57426;54496;0;0;1461;0;0;0;0;0;0;0;0;0;0
130.03;49999945;57152;54332;0;0;1467;0;0;0;0;0;0;0;0;0;0
132.03;49999945;57374;54144;0;0;1480;0;0;0;0;0;0;0;0;0;0
134.03;49999945;57250;53986;0;0;1497;0;0;0;0;0;0;0;0;0;0
136.03;49999944;57350;54622;0;0;1400;0;0;0;0;0;0;0;0;0;0
