time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999946;572700;555105;0;0;13793;0;0;0;0;0;0;0;0;0;0
2.00;49999945;571612;554226;0;0;13962;0;0;0;0;0;0;0;0;0;0
4.00;49999945;573039;555768;0;0;13863;0;0;0;0;0;0;0;0;0;0
6.00;49999945;571830;554751;0;0;13899;0;0;0;0;0;0;0;0;0;0
8.00;49999945;573108;555472;0;0;13899;0;0;0;0;0;0;0;0;0;0
10.00;49999945;572030;555380;0;0;14022;0;0;0;0;0;0;0;0;0;0
12.00;49999946;573130;556393;0;0;13786;0;0;0;0;0;0;0;0;0;0
14.00;49999945;571727;555278;0;0;14029;0;0;0;0;0;0;0;0;0;0
16.00;49999945;572701;556314;0;0;13970;0;0;0;0;0;0;0;0;0;0
18.00;49999945;571525;554665;0;0;13997;0;0;0;0;0;0;0;0;0;0
20.00;49999945;572727;556037;0;0;14068;0;0;0;0;0;0;0;0;0;0
22.00;49999946;571743;554380;0;0;13852;0;0;0;0;0;0;0;0;0;0
24.00;49999945;573531;555647;0;0;13857;0;0;0;0;0;0;0;0;0;0
26.00;49999945;571066;554437;0;0;13983;0;0;0;0;0;0;0;0;0;0
28.01;49999945;573125;556397;0;0;14057;0;0;0;0;0;0;0;0;0;0
30.01;49999945;571911;554489;0;0;13821;0;0;0;0;0;0;0;0;0;0
32.01;49999946;573430;556241;0;0;13824;0;0;0;0;0;0;0;0;0;0
34.01;49999946;571423;553908;0;0;13989;0;0;0;0;0;0;0;0;0;0
36.01;49999946;573450;556136;0;0;13941;0;0;0;0;0;0;0;0;0;0
38.01;49999946;571633;554151;0;0;13912;0;0;0;0;0;0;0;0;0;0
40.01;49999945;573518;555632;0;0;13892;0;0;0;0;0;0;0;0;0;0
42.01;49999945;571117;554506;0;0;14022;0;0;0;0;0;0;0;0;0;0
44.01;49999945;572747;556081;0;0;13934;0;0;0;0;0;0;0;0;0;0
46.01;49999945;570883;554073;0;0;14122;0;0;0;0;0;0;0;0;0;0
48.01;49999946;573109;556192;0;0;13806;0;0;0;0;0;0;0;0;0;0
50.01;49999945;571457;554429;0;0;13776;0;0;0;0;0;0;0;0;0;0
52.01;49999946;573342;556187;0;0;14023;0;0;0;0;0;0;0;0;0;0
54.01;49999946;571762;553985;0;0;13821;0;0;0;0;0;0;0;0;0;0
56.01;49999946;573112;556533;0;0;13926;0;0;0;0;0;0;0;0;0;0
58.01;49999946;570949;554110;0;0;14009;0;0;0;0;0;0;0;0;0;0
60.01;49999945;572954;556078;0;0;13766;0;0;0;0;0;0;0;0;0;0
62.01;49999945;571230;553951;0;0;13871;0;0;0;0;0;0;0;0;0;0
64.01;49999945;573064;556007;0;0;13822;0;0;0;0;0;0;0;0;0;0
66.01;49999946;571252;554240;0;0;13784;0;0;0;0;0;0;0;0;0;0
68.01;49999946;573552;556642;0;0;13953;0;0;0;0;0;0;0;0;0;0
70.01;49999946;571541;554636;0;0;13973;0;0;0;0;0;0;0;0;0;0
72.01;49999946;573117;556245;0;0;13874;0;0;0;0;0;0;0;0;0;0
74.01;49999946;571407;553762;0;0;13975;0;0;0;0;0;0;0;0;0;0
76.01;49999945;573272;556102;0;0;13842;0;0;0;0;0;0;0;0;0;0
78.02;49999945;571039;554480;0;0;14049;0;0;0;0;0;0;0;0;0;0
80.02;49999945;573004;556687;0;0;13970;0;0;0;0;0;0;0;0;0;0
82.02;49999946;572124;554342;0;0;13853;0;0;0;0;0;0;0;0;0;0
84.02;49999946;573277;556776;0;0;13960;0;0;0;0;0;0;0;0;0;0
86.02;49999945;571389;553737;0;0;13981;0;0;0;0;0;0;0;0;0;0
88.02;49999946;573260;556415;0;0;14075;0;0;0;0;0;0;0;0;0;0
90.02;49999945;571816;554161;0;0;13895;0;0;0;0;0;0;0;0;0;0
92.02;49999945;573563;556242;0;0;14052;0;0;0;0;0;0;0;0;0;0
94.02;49999945;571708;554381;0;0;13928;0;0;0;0;0;0;0;0;0;0
96.02;49999945;573055;556144;0;0;14033;0;0;0;0;0;0;0;0;0;0
98.02;49999945;571527;554583;0;0;14120;0;0;0;0;0;0;0;0;0;0
100.02;49999946;573750;556237;0;0;14101;0;0;0;0;0;0;0;0;0;0
102.02;49999946;571467;554535;0;0;13956;0;0;0;0;0;0;0;0;0;0
104.02;49999945;573282;556169;0;0;14126;0;0;0;0;0;0;0;0;0;0
106.02;49999945;571421;554850;0;0;14100;0;0;0;0;0;0;0;0;0;0
108.02;49999946;573520;556909;0;0;14015;0;0;0;0;0;0;0;0;0;0
110.02;49999946;571532;554696;0;0;13730;0;0;0;0;0;0;0;0;0;0
112.02;49999946;573519;557000;0;0;13844;0;0;0;0;0;0;0;0;0;0
114.02;49999946;571249;554463;0;0;14114;0;0;0;0;0;0;0;0;0;0
116.02;49999946;572381;555511;0;0;13977;0;0;0;0;0;0;0;0;0;0
118.02;49999945;571966;554329;0;0;13840;0;0;0;0;0;0;0;0;0;0
120.02;49999945;572827;556124;0;0;13893;0;0;0;0;0;0;0;0;0;0
122.02;49999945;571370;554864;0;0;14217;0;0;0;0;0;0;0;0;0;0
124.02;49999945;572551;555677;0;0;13762;0;0;0;0;0;0;0;0;0;0
126.02;49999945;572082;554981;0;0;13806;0;0;0;0;0;0;0;0;0;0
128.02;49999945;573313;556182;0;0;13858;0;0;0;0;0;0;0;0;0;0
130.03;49999946;572618;554894;0;0;13791;0;0;0;0;0;0;0;0;0;0
132.03;49999945;572580;556047;0;0;13814;0;0;0;0;0;0;0;0;0;0
134.03;49999945;571947;555791;0;0;14072;0;0;0;0;0;0;0;0;0;0
136.03;49999945;572864;555059;0;0;13756;0;0;0;0;0;0;0;0;0;0
138.03;49999945;572715;554797;0;0;14016;0;0;0;0;0;0;0;0;0;0
140.03;49999946;572034;554726;0;0;14044;0;0;0;0;0;0;0;0;0;0
142.03;49999945;572387;555506;0;0;14088;0;0;0;0;0;0;0;0;0;0
144.03;49999945;571948;555415;0;0;13960;0;0;0;0;0;0;0;0;0;0
146.03;49999945;571786;554481;0;0;14177;0;0;0;0;0;0;0;0;0;0
148.03;49999946;571867;555155;0;0;13765;0;0;0;0;0;0;0;0;0;0
150.03;49999946;572364;555689;0;0;14082;0;0;0;0;0;0;0;0;0;0
152.03;49999945;571723;555149;0;0;13751;0;0;0;0;0;0;0;0;0;0
154.03;49999945;571859;555933;0;0;13861;0;0;0;0;0;0;0;0;0;0
156.03;49999945;572539;554815;0;0;14028;0;0;0;0;0;0;0;0;0;0
158.03;49999945;572217;555358;0;0;13876;0;0;0;0;0;0;0;0;0;0
160.03;49999945;571755;555005;0;0;14001;0;0;0;0;0;0;0;0;0;0
162.03;49999945;572760;555310;0;0;13971;0;0;0;0;0;0;0;0;0;0
164.03;49999946;572398;555163;0;0;13934;0;0;0;0;0;0;0;0;0;0
166.03;49999945;572747;555424;0;0;13736;0;0;0;0;0;0;0;0;0;0
168.03;49999945;572320;554705;0;0;13917;0;0;0;0;0;0;0;0;0;0
170.03;49999945;572770;555312;0;0;14054;0;0;0;0;0;0;0;0;0;0
172.03;49999945;572738;554663;0;0;13826;0;0;0;0;0;0;0;0;0;0
174.03;49999945;572894;555644;0;0;13883;0;0;0;0;0;0;0;0;0;0
176.03;49999946;572076;554557;0;0;13867;0;0;0;0;0;0;0;0;0;0
178.03;49999946;572730;555568;0;0;13869;0;0;0;0;0;0;0;0;0;0
180.03;49999946;572694;554833;0;0;14170;0;0;0;0;0;0;0;0;0;0
182.03;49999945;573009;555180;0;0;13834;0;0;0;0;0;0;0;0;0;0
184.03;49999945;571759;554055;0;0;13836;0;0;0;0;0;0;0;0;0;0
186.04;49999945;572968;555179;0;0;13976;0;0;0;0;0;0;0;0;0;0
188.04;49999946;572154;554826;0;0;14052;0;0;0;0;0;0;0;0;0;0
190.04;49999946;573018;554853;0;0;13925;0;0;0;0;0;0;0;0;0;0
192.04;49999946;572412;554843;0;0;14067;0;0;0;0;0;0;0;0;0;0
194.04;49999945;573402;555453;0;0;14189;0;0;0;0;0;0;0;0;0;0
196.04;49999945;571463;554951;0;0;13836;0;0;0;0;0;0;0;0;0;0
198.04;49999945;573937;556011;0;0;14011;0;0;0;0;0;0;0;0;0;0
200.04;49999945;572748;554615;0;0;13877;0;0;0;0;0;0;0;0;0;0
202.04;49999946;573919;555920;0;0;13831;0;0;0;0;0;0;0;0;0;0
204.04;49999946;571896;554045;0;0;14074;0;0;0;0;0;0;0;0;0;0
206.05;49999946;573203;555795;0;0;13908;0;0;0;0;0;0;0;0;0;0
208.05;49999946;571201;554160;0;0;13870;0;0;0;0;0;0;0;0;0;0
210.05;49999945;573525;555650;0;0;13938;0;0;0;0;0;0;0;0;0;0
212.05;49999945;571652;554233;0;0;14049;0;0;0;0;0;0;0;0;0;0
214.05;49999945;573767;556117;0;0;13956;0;0;0;0;0;0;0;0;0;0
216.05;49999946;572004;553930;0;0;14133;0;0;0;0;0;0;0;0;0;0
218.05;49999946;572807;556432;0;0;13939;0;0;0;0;0;0;0;0;0;0
220.05;49999945;571309;553892;0;0;14011;0;0;0;0;0;0;0;0;0;0
222.05;49999945;573969;556036;0;0;14265;0;0;0;0;0;0;0;0;0;0
224.05;49999945;572006;553990;0;0;13899;0;0;0;0;0;0;0;0;0;0
226.05;49999946;573163;556026;0;0;13990;0;0;0;0;0;0;0;0;0;0
228.05;49999946;571581;554155;0;0;14037;0;0;0;0;0;0;0;0;0;0
230.05;49999946;574089;555919;0;0;13768;0;0;0;0;0;0;0;0;0;0
232.05;49999946;571353;553866;0;0;13808;0;0;0;0;0;0;0;0;0;0
234.05;49999945;572993;556347;0;0;13941;0;0;0;0;0;0;0;0;0;0
236.05;49999946;571329;553738;0;0;13666;0;0;0;0;0;0;0;0;0;0
238.05;49999946;573610;555031;0;0;13860;0;0;0;0;0;0;0;0;0;0
240.05;49999946;571159;553955;0;0;13886;0;0;0;0;0;0;0;0;0;0
