time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
1.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
2.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
3.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
4.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
5.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
6.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
7.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
8.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
9.00;0;149924496;149924496;0;0;149924496;0;0;0;0;0;0;0;0;0;0
10.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
11.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
12.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
13.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
14.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
15.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
16.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
17.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
18.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
19.01;0;149924497;149924497;0;0;149924497;0;0;0;0;0;0;0;0;0;0
