time;start;input 1;input 2;input 3;input 4;1/2;1/3;1/4;2/3;2/4;3/4;1/2/3;1/2/4;1/3/4;2/3/4;1/2/3/4
0.00;49999945;155062;161173;0;0;4825;0;0;0;0;0;0;0;0;0;0
2.00;49999945;153239;160414;0;0;4944;0;0;0;0;0;0;0;0;0;0
4.00;49999945;154755;161490;0;0;4915;0;0;0;0;0;0;0;0;0;0
6.00;49999946;154599;160980;0;0;5023;0;0;0;0;0;0;0;0;0;0
8.00;49999945;154790;161623;0;0;4902;0;0;0;0;0;0;0;0;0;0
10.00;49999946;153873;161143;0;0;4943;0;0;0;0;0;0;0;0;0;0
12.00;49999945;154882;161135;0;0;4881;0;0;0;0;0;0;0;0;0;0
14.00;49999945;153972;160730;0;0;4925;0;0;0;0;0;0;0;0;0;0
16.00;49999945;154892;161685;0;0;5073;0;0;0;0;0;0;0;0;0;0
18.00;49999945;154546;160733;0;0;4988;0;0;0;0;0;0;0;0;0;0
