run,filename,length_m,sigma_L_fit_m,sigma_L_ng_m,sigma_L_timebase_m,sigma_L_total_m
01,fut_FBS_100m_50_av_10kHz_BW__start-20260310_153619__run-01.csv,-6.152093488588563e-05,0.0018293004885122134,4.1907993791475224e-08,3.0760467442942814e-11,0.001829300488992255
02,fut_FBS_100m_50_av_10kHz_BW__start-20260310_155418__run-02.csv,0.0009526886666544624,0.0018055303695663156,6.489704813722495e-07,4.763443333272311e-10,0.0018055304861976683
03,fut_FBS_100m_50_av_10kHz_BW__start-20260310_161222__run-03.csv,0.0011476768929043974,0.001808244005046873,7.817962485724777e-07,5.738384464521987e-10,0.0018082441740521825
04,fut_FBS_100m_50_av_10kHz_BW__start-20260310_163027__run-04.csv,0.0012286849256902446,0.0018077670921029373,8.369788322140631e-07,6.143424628451222e-10,0.0018077672858596188
05,fut_FBS_100m_50_av_10kHz_BW__start-20260310_164843__run-05.csv,0.0012821095636120473,0.0018063723144067958,8.733716373379069e-07,6.410547818060236e-10,0.0018063725255422236
06,fut_FBS_100m_50_av_10kHz_BW__start-20260310_170654__run-06.csv,0.001435820945772122,0.0018062191495611336,9.780796633325081e-07,7.17910472886061e-10,0.0018062194143795732
07,fut_FBS_100m_50_av_10kHz_BW__start-20260310_172506__run-07.csv,0.001551117619568114,0.001807468537435743,1.0566196318583882e-06,7.755588097840569e-10,0.001807468846278063
08,fut_FBS_100m_50_av_10kHz_BW__start-20260310_174308__run-08.csv,0.001608890158389155,0.0018071207104141441,1.0959742223359367e-06,8.044450791945775e-10,0.001807121042754985
09,fut_FBS_100m_50_av_10kHz_BW__start-20260310_180117__run-09.csv,0.0018724111349538966,0.0018047609448010964,1.2754844243555153e-06,9.362055674769483e-10,0.0018047613955148585
10,fut_FBS_100m_50_av_10kHz_BW__start-20260310_181919__run-10.csv,0.0024484491338165643,0.0018016864582084662,1.6678808813464335e-06,1.224224566908282e-09,0.0018016872302150284
11,fut_FBS_100m_50_av_10kHz_BW__start-20260310_183723__run-11.csv,0.0029700631289768043,0.0018060976848825526,2.0232037663329727e-06,1.485031564488402e-09,0.0018060988180865966
12,fut_FBS_100m_50_av_10kHz_BW__start-20260310_185529__run-12.csv,0.001635792136492937,0.001872138655080447,1.1142998204992758e-06,8.178960682464685e-10,0.001872138986697084
13,fut_FBS_100m_50_av_10kHz_BW__start-20260310_191345__run-13.csv,0.0016836498661105012,0.001751390151082955,1.1469004537537473e-06,8.418249330552506e-10,0.0017513905266078537
14,fut_FBS_100m_50_av_10kHz_BW__start-20260310_193148__run-14.csv,0.003143265145970449,0.0018013813073790971,2.141188791533003e-06,1.5716325729852245e-09,0.0018013825799276333
15,fut_FBS_100m_50_av_10kHz_BW__start-20260310_194948__run-15.csv,0.0023254971215936854,0.0018536555651755642,1.584126104627851e-06,1.1627485607968427e-09,0.0018536562420694964
16,fut_FBS_100m_50_av_10kHz_BW__start-20260310_200746__run-16.csv,0.0012299172089047404,0.0017458663766820133,8.378182621966896e-07,6.149586044523701e-10,0.0017458665777110804
17,fut_FBS_100m_50_av_10kHz_BW__start-20260310_202549__run-17.csv,0.0031808157120774786,0.001799876804099206,2.1667681962380645e-06,1.5904078560387392e-09,0.00179987810832326
18,fut_FBS_100m_50_av_10kHz_BW__start-20260310_204349__run-18.csv,0.003291437422925953,0.0018077418746804072,2.242123585099423e-06,1.6457187114629763e-09,0.0018077432651219898
19,fut_FBS_100m_50_av_10kHz_BW__start-20260310_210156__run-19.csv,-0.0008487719374700865,0.0018197976534784735,5.78182518712593e-07,4.243859687350432e-10,0.001819797745328025
