run,started_at_local,filename
calibration,2026-03-10T15:15:11+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_151511__calibration.csv
01,2026-03-10T15:36:19+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_153619__run-01.csv
02,2026-03-10T15:54:18+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_155418__run-02.csv
03,2026-03-10T16:12:22+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_161222__run-03.csv
04,2026-03-10T16:30:27+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_163027__run-04.csv
05,2026-03-10T16:48:43+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_164843__run-05.csv
06,2026-03-10T17:06:54+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_170654__run-06.csv
07,2026-03-10T17:25:06+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_172506__run-07.csv
08,2026-03-10T17:43:08+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_174308__run-08.csv
09,2026-03-10T18:01:17+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_180117__run-09.csv
10,2026-03-10T18:19:19+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_181919__run-10.csv
11,2026-03-10T18:37:23+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_183723__run-11.csv
12,2026-03-10T18:55:29+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_185529__run-12.csv
13,2026-03-10T19:13:45+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_191345__run-13.csv
14,2026-03-10T19:31:48+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_193148__run-14.csv
15,2026-03-10T19:49:48+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_194948__run-15.csv
16,2026-03-10T20:07:46+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_200746__run-16.csv
17,2026-03-10T20:25:49+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_202549__run-17.csv
18,2026-03-10T20:43:49+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_204349__run-18.csv
19,2026-03-10T21:01:56+10:00,fut_FBS_100m_50_av_10kHz_BW__start-20260310_210156__run-19.csv
