frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
10000000.0,118.41633081436157,16678.41633081436,118.41633081436157
10502793.296089385,123.81787061691284,16683.817870616913,-236.18212938308716
11005586.592178771,130.01239478588104,16690.01239478588,130.01239478588104
11508379.888268156,135.24041712284088,16695.24041712284,135.24041712284088
12011173.184357543,140.77369093894958,16700.77369093895,140.77369093894958
12513966.480446927,146.67480289936066,16706.67480289936,146.67480289936066
13016759.776536312,151.70634269714355,16711.706342697144,-208.29365730285645
13519553.072625699,157.65052556991577,16717.650525569916,157.65052556991577
14022346.368715083,163.52044343948364,16723.520443439484,163.52044343948364
14525139.66480447,169.31672930717468,16729.316729307175,-190.68327069282532
15027932.960893854,174.5730060338974,16734.573006033897,-185.4269939661026
15530726.25698324,-179.8718011379242,16740.128198862076,-179.8718011379242
16033519.553072626,-174.2921358346939,16745.707864165306,-174.2921358346939
16536312.849162012,-167.99637973308563,16752.003620266914,-167.99637973308563
17039106.145251397,-162.82866954803467,16757.171330451965,-162.82866954803467
17541899.44134078,-157.11529076099396,16762.884709239006,202.88470923900604
18044692.737430166,-151.39001369476318,16768.609986305237,-151.39001369476318
18547486.03351955,-145.32752394676208,16774.672476053238,-145.32752394676208
19050279.32960894,-140.21102786064148,16779.78897213936,-140.21102786064148
19553072.625698324,-134.0467643737793,16785.95323562622,-134.0467643737793
20055865.92178771,-128.92759144306183,16791.072408556938,231.07240855693817
20558659.217877097,-122.55354166030884,16797.44645833969,-122.55354166030884
21061452.51396648,-117.93017506599426,16802.069824934006,-117.93017506599426
21564245.810055867,-111.80780231952667,16808.192197680473,-111.80780231952667
22067039.10614525,-105.90903460979462,16814.090965390205,-105.90903460979462
22569832.402234636,-100.54006218910217,16819.459937810898,259.4599378108978
23072625.698324025,-95.24916350841522,16824.750836491585,-95.24916350841522
23575418.994413406,-89.65133965015411,16830.348660349846,-89.65133965015411
24078212.290502794,-83.61378371715546,16836.386216282845,-83.61378371715546
24581005.58659218,-78.24509024620056,16841.7549097538,-78.24509024620056
25083798.882681563,-72.74826765060425,16847.251732349396,287.25173234939575
25586592.178770952,-67.02077507972717,16852.979224920273,-67.02077507972717
26089385.474860333,-60.73125243186951,16859.26874756813,-60.73125243186951
26592178.77094972,-55.580429434776306,16864.419570565224,-55.580429434776306
27094972.067039106,-50.00230371952057,16869.99769628048,-50.00230371952057
27597765.36312849,-43.779385685920715,16876.22061431408,-43.779385685920715
28100558.659217875,-38.55131506919861,16881.4486849308,-38.55131506919861
28603351.955307264,-33.34405839443207,16886.655941605568,-33.34405839443207
29106145.25139665,-27.446406483650208,16892.55359351635,-27.446406483650208
29608938.547486033,-21.8281227350235,16898.171877264977,-21.8281227350235
30111731.843575418,-15.838648080825806,16904.161351919174,-15.838648080825806
30614525.139664803,-10.53215503692627,16909.467844963074,-10.53215503692627
31117318.43575419,-5.11014997959137,16914.88985002041,-5.11014997959137
31620111.731843576,1.0782212018966675,16921.078221201897,1.0782212018966675
32122905.02793296,6.733235120773315,16926.733235120773,6.733235120773315
32625698.324022345,11.997767686843872,16931.997767686844,11.997767686843872
33128491.62011173,17.39212989807129,16937.39212989807,17.39212989807129
33631284.916201115,23.19117307662964,16943.19117307663,23.19117307662964
34134078.2122905,28.47482442855835,16948.47482442856,28.47482442855835
34636871.50837989,34.28430676460266,16954.284306764603,34.28430676460266
35139664.80446927,39.638564586639404,16959.63856458664,39.638564586639404
35642458.10055865,45.586652755737305,16965.586652755737,45.586652755737305
36145251.39664805,51.479068994522095,16971.479068994522,51.479068994522095
36648044.69273743,56.41679584980011,16976.4167958498,-303.5832041501999
37150837.98882681,62.24270939826965,16982.24270939827,62.24270939826965
37653631.2849162,68.07298421859741,16988.072984218597,68.07298421859741
38156424.58100559,73.73959064483643,16993.739590644836,-286.2604093551636
38659217.87709497,79.51836705207825,16999.51836705208,79.51836705207825
39162011.17318436,84.77522850036621,17004.775228500366,84.77522850036621
39664804.469273746,90.63244879245758,17010.632448792458,90.63244879245758
40167597.76536313,96.51408791542053,17016.51408791542,-263.48591208457947
40670391.06145251,101.04495584964752,17021.044955849648,-258.9550441503525
41173184.357541904,107.16812789440155,17027.1681278944,107.16812789440155
41675977.653631285,113.01383078098297,17033.013830780983,-246.98616921901703
42178770.949720666,118.55923354625702,17038.559233546257,118.55923354625702
42681564.245810054,124.41765010356903,17044.41765010357,124.41765010356903
43184357.54189944,129.87180411815643,17049.871804118156,-230.12819588184357
43687150.83798882,135.42045772075653,17055.420457720757,135.42045772075653
44189944.13407821,140.73489010334015,17060.73489010334,140.73489010334015
44692737.4301676,146.73307120800018,17066.733071208,-213.26692879199982
45195530.72625698,152.52354204654694,17072.523542046547,152.52354204654694
45698324.02234637,157.68966436386108,17077.68966436386,-202.31033563613892
46201117.31843575,163.19813311100006,17083.198133111,163.19813311100006
46703910.61452514,168.92764806747437,17088.927648067474,168.92764806747437
47206703.91061453,174.41789388656616,17094.417893886566,-185.58210611343384
47709497.20670391,179.7681176662445,17099.930890202522,179.93089020252228
48212290.5027933,-173.6523163318634,17106.347683668137,-173.6523163318634
48715083.79888268,-168.46299290657043,17111.53700709343,191.53700709342957
49217877.09497207,-163.21448922157288,17116.785510778427,-163.21448922157288
49720670.391061455,-157.3093968629837,17122.690603137016,-157.3093968629837
50223463.687150836,-151.9417279958725,17128.058272004128,-151.9417279958725
50726256.983240224,-146.27073347568512,17133.729266524315,-146.27073347568512
51229050.279329605,-140.51093637943268,17139.489063620567,219.48906362056732
51731843.575418994,-135.42689502239227,17144.573104977608,-135.42689502239227
52234636.87150838,-129.2133378982544,17150.786662101746,-129.2133378982544
52737430.16759776,-123.76878619194031,17156.23121380806,236.2312138080597
53240223.46368715,-118.32288265228271,17161.677117347717,-118.32288265228271
53743016.75977653,-112.45233178138733,17167.547668218613,-112.45233178138733
54245810.05586592,-107.28815138339996,17172.7118486166,-107.28815138339996
54748603.35195531,-101.6094160079956,17178.390583992004,-101.6094160079956
55251396.64804469,-96.09748184680939,17183.90251815319,-96.09748184680939
55754189.94413408,-89.90052223205566,17190.099477767944,-89.90052223205566
56256983.24022346,-84.36680316925049,17195.63319683075,-84.36680316925049
56759776.53631285,-79.13897395133972,17200.86102604866,-79.13897395133972
57262569.83240224,-73.38859140872955,17206.61140859127,286.61140859127045
57765363.12849162,-67.64098227024078,17212.35901772976,-67.64098227024078
58268156.424581006,-62.48372197151184,17217.516278028488,-62.48372197151184
58770949.72067039,-56.53584837913513,17223.464151620865,-56.53584837913513
59273743.016759776,-51.161431074142456,17228.838568925858,-51.161431074142456
59776536.312849164,-45.58329999446869,17234.41670000553,-45.58329999446869
60279329.608938545,-39.750879406929016,17240.24912059307,-39.750879406929016
60782122.90502793,-34.43287432193756,17245.567125678062,-34.43287432193756
61284916.201117314,-28.713337182998657,17251.286662817,331.28666281700134
61787709.4972067,-22.65359938144684,17257.346400618553,-22.65359938144684
62290502.79329609,-17.831926345825195,17262.168073654175,-17.831926345825195
62793296.08938547,-11.750403642654419,17268.249596357346,-11.750403642654419
63296089.38547486,-6.217060089111328,17273.78293991089,-6.217060089111328
63798882.68156424,-0.239601731300354,17279.7603982687,-0.239601731300354
64301675.97765363,4.353005290031433,17284.35300529003,4.353005290031433
64804469.27374302,9.589626789093018,17289.589626789093,9.589626789093018
65307262.5698324,16.02009952068329,17296.020099520683,16.02009952068329
65810055.86592179,21.464592218399048,17301.4645922184,21.464592218399048
66312849.16201117,27.157752513885498,17307.157752513885,27.157752513885498
66815642.45810056,32.82969117164612,17312.829691171646,32.82969117164612
67318435.75418994,38.27759563922882,17318.27759563923,38.27759563922882
67821229.05027932,43.722217082977295,17323.722217082977,43.722217082977295
68324022.34636872,49.291797280311584,17329.29179728031,49.291797280311584
68826815.6424581,54.622398018836975,17334.622398018837,-305.377601981163
69329608.93854749,59.92997467517853,17339.92997467518,59.92997467517853
69832402.23463687,65.99337100982666,17345.993371009827,-294.00662899017334
70335195.53072625,71.31487369537354,17351.314873695374,71.31487369537354
70837988.82681563,77.18752205371857,17357.18752205372,-282.81247794628143
71340782.12290502,82.90483295917511,17362.904832959175,82.90483295917511
71843575.41899441,87.84382045269012,17367.84382045269,87.84382045269012
72346368.71508381,93.5939508676529,17373.593950867653,93.5939508676529
72849162.01117319,99.71077144145966,17379.71077144146,-260.28922855854034
73351955.30726257,105.27621030807495,17385.276210308075,105.27621030807495
73854748.60335195,111.0057520866394,17391.00575208664,111.0057520866394
74357541.89944133,116.08440220355988,17396.08440220356,-243.91559779644012
74860335.19553073,121.89632534980774,17401.896325349808,121.89632534980774
75363128.49162011,127.57452428340912,17407.57452428341,127.57452428340912
75865921.7877095,133.3023601770401,17413.30236017704,133.3023601770401
76368715.08379889,139.20037150382996,17419.20037150383,-220.79962849617004
76871508.37988827,144.9389362335205,17424.93893623352,144.9389362335205
77374301.67597765,149.92378413677216,17429.923784136772,-210.07621586322784
77877094.97206704,156.28022253513336,17436.280222535133,156.28022253513336
78379888.26815642,160.85735321044922,17440.85735321045,160.85735321044922
78882681.5642458,167.36382365226746,17447.363823652267,167.36382365226746
79385474.8603352,172.4243849515915,17452.42438495159,172.4243849515915
79888268.15642458,178.3444494009018,17458.3444494009,178.3444494009018
80391061.45251396,-176.24739110469818,17463.7526088953,-176.24739110469818
80893854.74860334,-170.38570761680603,17469.614292383194,-170.38570761680603
81396648.04469274,-164.69701051712036,17475.30298948288,195.30298948287964
81899441.34078212,-158.87682616710663,17481.123173832893,201.12317383289337
82402234.6368715,-153.17641854286194,17486.823581457138,-153.17641854286194
82905027.9329609,-147.66834139823914,17492.33165860176,-147.66834139823914
83407821.22905028,-142.2323352098465,17497.767664790154,-142.2323352098465
83910614.52513966,-136.5960967540741,17503.403903245926,-136.5960967540741
84413407.82122906,-130.63575088977814,17509.364249110222,-130.63575088977814
84916201.11731844,-125.46041250228882,17514.53958749771,-125.46041250228882
85418994.41340782,-119.459930062294,17520.540069937706,240.540069937706
85921787.7094972,-114.07933294773102,17525.92066705227,-114.07933294773102
86424581.0055866,-108.31282496452332,17531.687175035477,-108.31282496452332
86927374.30167598,-102.41108000278473,17537.588919997215,-102.41108000278473
87430167.59776536,-96.91309869289398,17543.086901307106,-96.91309869289398
87932960.89385475,-90.90889871120453,17549.091101288795,-90.90889871120453
88435754.18994413,-85.78049898147583,17554.219501018524,-85.78049898147583
88938547.48603351,-79.96391952037811,17560.036080479622,280.0360804796219
89441340.78212291,-74.12695527076721,17565.873044729233,285.8730447292328
89944134.07821229,-68.16433489322662,17571.835665106773,-68.16433489322662
90446927.37430167,-62.48730540275574,17577.512694597244,-62.48730540275574
90949720.67039105,-57.0059859752655,17582.994014024734,-57.0059859752655
