run,filename,length_m,sigma_L_fit_m,sigma_L_ng_m,sigma_L_timebase_m,sigma_L_total_m
01,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_163724__run-01.csv,-101.77841040877148,0.0023013351113665816,0.0069331342240307545,5.088920520438574e-05,0.0073052777616214905
02,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_164631__run-02.csv,-101.76464653405573,0.010741254761892638,0.006932196630385268,5.0882323267027864e-05,0.012784071847147417
03,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_165536__run-03.csv,-101.72084564502777,0.03138650368091777,0.006929212918598622,5.086042282251388e-05,0.03214232710564294
04,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_170438__run-04.csv,-101.71270306316266,0.06390264772262393,0.006928658246809446,5.085635153158133e-05,0.06427719095784556
05,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_171335__run-05.csv,-101.68609934785039,0.03613348400535026,0.006926846004621961,5.084304967392519e-05,0.036791472476001154
06,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_172241__run-06.csv,-101.73198528159584,0.025964229356553698,0.00692997174942751,5.0865992640797916e-05,0.026873189276243256
07,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_173144__run-07.csv,-101.73753579301663,0.016300137272914048,0.0069303498496605335,5.086876789650832e-05,0.01771233501789301
08,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_174050__run-08.csv,-101.68291327657845,0.03727062751749945,0.006926628969794173,5.0841456638289223e-05,0.037908843945537195
09,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_174950__run-09.csv,-101.65347204752948,0.03849884005498263,0.00692462343648021,5.082673602376473e-05,0.03911666753026491
10,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_175853__run-10.csv,-101.63996924171504,0.040276874810606794,0.006923703626819826,5.081998462085751e-05,0.04086767547943199
11,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_180759__run-11.csv,-101.64370652403126,0.04590973598727826,0.006923958210083874,5.082185326201563e-05,0.04642895258970796
12,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_181705__run-12.csv,-101.77674471716668,0.006165873662906273,0.0069330207573001824,5.088837235858334e-05,0.009278327676608415
13,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_182606__run-13.csv,-101.65258244502105,0.042841618070384786,0.0069245628368542955,5.082629122251053e-05,0.043397654230178655
14,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_183509__run-14.csv,-101.59127235492667,0.0682218661713201,0.006920386400199365,5.0795636177463334e-05,0.06857198664193877
15,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_184412__run-15.csv,-101.72035334944313,0.04153709759492655,0.006929179383477053,5.086017667472156e-05,0.042111121931105416
16,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_185316__run-16.csv,-101.69642407927716,0.07623893752442186,0.0069275493242014425,5.084821203963858e-05,0.07655304775142928
17,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_190218__run-17.csv,-101.57275828065983,0.062135224069644265,0.00691912522347819,5.078637914032991e-05,0.06251930056630015
18,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_191122__run-18.csv,-101.66200404914592,0.03912435015301165,0.006925204635500404,5.0831002024572955e-05,0.03973255362960938
19,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_192026__run-19.csv,-101.50156001826184,0.0835199651188309,0.006914275205603668,5.075078000913092e-05,0.083805694023206
20,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_192925__run-20.csv,-101.65161989454239,0.03705595851248698,0.0069244972680206,5.0825809947271194e-05,0.037697417775716925
21,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_193825__run-21.csv,-101.57290797247971,0.06722333120078507,0.006919135420468646,5.0786453986239855e-05,0.06757849711232956
22,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_194718__run-22.csv,-101.67767458288577,0.03705428296026256,0.006926272110550802,5.083883729144288e-05,0.037696096822296805
23,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_195619__run-23.csv,-101.76778185371126,0.06945866348557844,0.006932410208018478,5.0883890926855626e-05,0.06980377377810904
