run,started_at_local,filename
01,2026-03-16T16:37:24+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_163724__run-01.csv
02,2026-03-16T16:46:31+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_164631__run-02.csv
03,2026-03-16T16:55:36+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_165536__run-03.csv
04,2026-03-16T17:04:38+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_170438__run-04.csv
05,2026-03-16T17:13:35+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_171335__run-05.csv
06,2026-03-16T17:22:41+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_172241__run-06.csv
07,2026-03-16T17:31:44+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_173144__run-07.csv
08,2026-03-16T17:40:50+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_174050__run-08.csv
09,2026-03-16T17:49:50+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_174950__run-09.csv
10,2026-03-16T17:58:53+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_175853__run-10.csv
11,2026-03-16T18:07:59+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_180759__run-11.csv
12,2026-03-16T18:17:05+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_181705__run-12.csv
13,2026-03-16T18:26:06+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_182606__run-13.csv
14,2026-03-16T18:35:09+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_183509__run-14.csv
15,2026-03-16T18:44:12+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_184412__run-15.csv
16,2026-03-16T18:53:16+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_185316__run-16.csv
17,2026-03-16T19:02:18+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_190218__run-17.csv
18,2026-03-16T19:11:22+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_191122__run-18.csv
19,2026-03-16T19:20:26+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_192026__run-19.csv
20,2026-03-16T19:29:25+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_192925__run-20.csv
21,2026-03-16T19:38:25+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_193825__run-21.csv
22,2026-03-16T19:47:18+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_194718__run-22.csv
23,2026-03-16T19:56:19+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_195619__run-23.csv
24,2026-03-16T20:05:21+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_200521__run-24.csv
25,2026-03-16T20:14:28+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_201428__run-25.csv
26,2026-03-16T20:23:29+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_202329__run-26.csv
27,2026-03-16T20:32:36+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_203236__run-27.csv
28,2026-03-16T20:41:38+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_204138__run-28.csv
29,2026-03-16T20:50:36+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_205036__run-29.csv
30,2026-03-16T20:59:37+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_205937__run-30.csv
31,2026-03-16T21:08:42+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_210842__run-31.csv
32,2026-03-16T21:17:48+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_211748__run-32.csv
33,2026-03-16T21:26:49+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_212649__run-33.csv
34,2026-03-16T21:35:50+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_213550__run-34.csv
35,2026-03-16T21:44:52+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_214452__run-35.csv
36,2026-03-16T21:54:00+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_215400__run-36.csv
37,2026-03-16T22:03:12+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_220312__run-37.csv
38,2026-03-16T22:12:11+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_221211__run-38.csv
39,2026-03-16T22:21:16+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_222116__run-39.csv
40,2026-03-16T22:30:22+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_223022__run-40.csv
41,2026-03-16T22:39:26+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_223926__run-41.csv
42,2026-03-16T22:48:32+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_224832__run-42.csv
43,2026-03-16T22:57:43+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_225743__run-43.csv
44,2026-03-16T23:06:46+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_230646__run-44.csv
45,2026-03-16T23:16:03+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_231603__run-45.csv
46,2026-03-16T23:25:08+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_232508__run-46.csv
47,2026-03-16T23:34:10+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_233410__run-47.csv
48,2026-03-16T23:43:11+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_234311__run-48.csv
49,2026-03-16T23:52:14+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260316_235214__run-49.csv
50,2026-03-17T00:01:25+10:00,fut_FBS_100m_5_av_10kHz_BW_FBM_series_05__start-20260317_000125__run-50.csv
