run,filename,length_m,sigma_L_fit_m,sigma_L_ng_m,sigma_L_timebase_m,sigma_L_total_m
01,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_142802__run-01.csv,-101.78923074659312,0.0022267124478317236,0.006933871304263837,5.0894615373296554e-05,0.00728281606600745
02,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_143841__run-02.csv,-101.78892402326113,0.002228869164254899,0.0069338504103038925,5.089446201163056e-05,0.007283455876855522
03,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_144918__run-03.csv,-101.78875136105756,0.002226265403610604,0.006933838648573404,5.089437568052878e-05,0.00728264830190499
04,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_145956__run-04.csv,-101.78865736145629,0.0022341771892135757,0.00693383224533081,5.089432868072814e-05,0.007285064690988231
05,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_151030__run-05.csv,-101.78862049600382,0.0022369144538023937,0.006933829734060206,5.089431024800191e-05,0.007285902228645612
06,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_152059__run-06.csv,-101.78845601887497,0.0022351487645650685,0.006933818529896115,5.089422800943748e-05,0.007285349657203294
07,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_153142__run-07.csv,-101.79138308746595,0.002252107656673393,0.006934017921489506,5.089569154373297e-05,0.007290760166416276
08,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_154208__run-08.csv,-101.79154356289744,0.002218261602426897,0.00693402885305841,5.089577178144872e-05,0.0072803867377656045
09,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_155253__run-09.csv,-101.7889866307567,0.0022401627277776654,0.0069338546751196665,5.0894493315378345e-05,0.00728692390189804
10,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_160323__run-10.csv,-101.78859406053147,0.002240705114268455,0.0069338279332787104,5.089429703026573e-05,0.007287065214947312
11,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_161352__run-11.csv,-101.78861041745576,0.0022447412377537565,0.006933829047510611,5.089430520872788e-05,0.007288308357559856
