run,started_at_local,filename
calibration,2026-03-23T13:24:50+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_132450__calibration.csv
01,2026-03-23T13:37:25+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_133725__run-01.csv
02,2026-03-23T13:47:56+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_134756__run-02.csv
03,2026-03-23T13:58:39+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_135839__run-03.csv
01,2026-03-23T14:28:02+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_142802__run-01.csv
02,2026-03-23T14:38:41+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_143841__run-02.csv
03,2026-03-23T14:49:18+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_144918__run-03.csv
04,2026-03-23T14:59:56+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_145956__run-04.csv
05,2026-03-23T15:10:30+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_151030__run-05.csv
06,2026-03-23T15:20:59+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_152059__run-06.csv
07,2026-03-23T15:31:42+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_153142__run-07.csv
08,2026-03-23T15:42:08+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_154208__run-08.csv
09,2026-03-23T15:52:53+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_155253__run-09.csv
10,2026-03-23T16:03:23+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_160323__run-10.csv
11,2026-03-23T16:13:52+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_161352__run-11.csv
12,2026-03-23T16:24:29+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_162429__run-12.csv
13,2026-03-23T16:35:13+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_163513__run-13.csv
14,2026-03-23T16:45:49+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_164549__run-14.csv
15,2026-03-23T16:56:27+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_165627__run-15.csv
16,2026-03-23T17:07:02+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_170702__run-16.csv
17,2026-03-23T17:17:30+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_171730__run-17.csv
18,2026-03-23T17:27:58+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_172758__run-18.csv
19,2026-03-23T17:38:27+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_173827__run-19.csv
20,2026-03-23T17:49:01+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_174901__run-20.csv
21,2026-03-23T17:59:28+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_175928__run-21.csv
22,2026-03-23T18:10:07+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_181007__run-22.csv
23,2026-03-23T18:20:48+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_182048__run-23.csv
24,2026-03-23T18:31:17+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_183117__run-24.csv
25,2026-03-23T18:41:54+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_184154__run-25.csv
26,2026-03-23T18:52:36+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_185236__run-26.csv
27,2026-03-23T19:03:04+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_190304__run-27.csv
28,2026-03-23T19:13:33+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_191333__run-28.csv
29,2026-03-23T19:24:05+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_192405__run-29.csv
30,2026-03-23T19:34:39+10:00,fut_100m_7_av_10kHz_BW_FBM_series_02__start-20260323_193439__run-30.csv
