frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
5000000.0,-30.01755863428116,-30.01755863428116,-1110.0175586342812
5500000.0,-32.74068474769592,-32.74068474769592,-32.74068474769592
6000000.0,-35.443131029605865,-35.443131029605865,-35.443131029605865
6500000.0,-38.13748240470886,-38.13748240470886,-38.13748240470886
7000000.0,-40.83996891975403,-40.83996891975403,319.160031080246
7500000.0,-43.52407157421112,-43.52407157421112,-43.52407157421112
8000000.0,-46.202884912490845,-46.202884912490845,-46.202884912490845
8500000.0,-48.877540826797485,-48.877540826797485,-48.877540826797485
9000000.0,-51.55152350664139,-51.55152350664139,-51.55152350664139
9500000.0,-54.21885967254639,-54.21885967254639,305.7811403274536
10000000.0,-56.88253462314606,-56.88253462314606,-56.88253462314606
10500000.0,-59.54343616962433,-59.54343616962433,-59.54343616962433
11000000.0,-62.2012934088707,-62.2012934088707,-62.2012934088707
11500000.0,-64.85842108726501,-64.85842108726501,295.141578912735
12000000.0,-67.51076370477676,-67.51076370477676,-67.51076370477676
12500000.0,-70.16523063182831,-70.16523063182831,-70.16523063182831
13000000.0,-72.8178682923317,-72.8178682923317,287.1821317076683
13500000.0,-75.46733289957047,-75.46733289957047,-75.46733289957047
14000000.0,-78.11658293008804,-78.11658293008804,-78.11658293008804
14500000.0,-80.76546281576157,-80.76546281576157,-80.76546281576157
15000000.0,-83.41089606285095,-83.41089606285095,276.58910393714905
15500000.0,-86.0560154914856,-86.0560154914856,-86.0560154914856
16000000.0,-88.70127439498901,-88.70127439498901,-88.70127439498901
16500000.0,-91.34173214435577,-91.34173214435577,-91.34173214435577
17000000.0,-93.982273042202,-93.982273042202,266.017726957798
17500000.0,-96.62291318178177,-96.62291318178177,-96.62291318178177
18000000.0,-99.26245629787445,-99.26245629787445,-99.26245629787445
18500000.0,-101.90371870994568,-101.90371870994568,-101.90371870994568
19000000.0,-104.54273343086243,-104.54273343086243,-104.54273343086243
19500000.0,-107.18026489019394,-107.18026489019394,-107.18026489019394
20000000.0,-109.81623530387878,-109.81623530387878,250.18376469612122
20500000.0,-112.45260804891586,-112.45260804891586,-112.45260804891586
21000000.0,-115.09112924337387,-115.09112924337387,244.90887075662613
21500000.0,-117.7253857254982,-117.7253857254982,242.2746142745018
22000000.0,-120.36473840475082,-120.36473840475082,-120.36473840475082
22500000.0,-123.00590425729752,-123.00590425729752,-123.00590425729752
23000000.0,-125.63734710216522,-125.63734710216522,234.36265289783478
23500000.0,-128.26936662197113,-128.26936662197113,-128.26936662197113
24000000.0,-130.90834110975266,-130.90834110975266,229.09165889024734
24500000.0,-133.54374825954437,-133.54374825954437,226.45625174045563
25000000.0,-136.179678440094,-136.179678440094,-136.179678440094
25500000.0,-138.81147533655167,-138.81147533655167,-138.81147533655167
26000000.0,-141.44378185272217,-141.44378185272217,218.55621814727783
26500000.0,-144.079030752182,-144.079030752182,-144.079030752182
27000000.0,-146.71975940465927,-146.71975940465927,-146.71975940465927
27500000.0,-149.3597987294197,-149.3597987294197,210.6402012705803
