frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
5000000.0,-30.144663155078888,-30.144663155078888,-30.144663155078888
5500000.0,-32.85736620426178,-32.85736620426178,-32.85736620426178
6000000.0,-35.5606734752655,-35.5606734752655,-35.5606734752655
6500000.0,-38.25603872537613,-38.25603872537613,-38.25603872537613
7000000.0,-40.94530463218689,-40.94530463218689,319.0546953678131
7500000.0,-43.62877428531647,-43.62877428531647,316.37122571468353
8000000.0,-46.307265758514404,-46.307265758514404,-46.307265758514404
8500000.0,-48.980824649333954,-48.980824649333954,311.01917535066605
9000000.0,-51.652312874794006,-51.652312874794006,308.347687125206
9500000.0,-54.319260120391846,-54.319260120391846,-54.319260120391846
10000000.0,-56.98263466358185,-56.98263466358185,-56.98263466358185
10500000.0,-59.64511334896088,-59.64511334896088,-59.64511334896088
11000000.0,-62.30382353067398,-62.30382353067398,-62.30382353067398
11500000.0,-64.96160298585892,-64.96160298585892,-64.96160298585892
12000000.0,-67.61332869529724,-67.61332869529724,-67.61332869529724
12500000.0,-70.26643842458725,-70.26643842458725,289.73356157541275
13000000.0,-72.92037963867188,-72.92037963867188,-72.92037963867188
13500000.0,-75.56979596614838,-75.56979596614838,-75.56979596614838
14000000.0,-78.21893334388733,-78.21893334388733,-78.21893334388733
14500000.0,-80.86848109960556,-80.86848109960556,-80.86848109960556
15000000.0,-83.51737171411514,-83.51737171411514,276.48262828588486
15500000.0,-86.16275399923325,-86.16275399923325,273.83724600076675
16000000.0,-88.80739331245422,-88.80739331245422,-88.80739331245422
16500000.0,-91.45039916038513,-91.45039916038513,268.54960083961487
17000000.0,-94.092498421669,-94.092498421669,265.907501578331
17500000.0,-96.7333772778511,-96.7333772778511,-96.7333772778511
18000000.0,-99.37359899282455,-99.37359899282455,-99.37359899282455
18500000.0,-102.01527178287506,-102.01527178287506,-102.01527178287506
19000000.0,-104.6546620130539,-104.6546620130539,-104.6546620130539
19500000.0,-107.29387521743774,-107.29387521743774,-107.29387521743774
20000000.0,-109.93246614933014,-109.93246614933014,250.06753385066986
20500000.0,-112.57046431303024,-112.57046431303024,-112.57046431303024
21000000.0,-115.208221077919,-115.208221077919,-115.208221077919
21500000.0,-117.84469842910767,-117.84469842910767,-117.84469842910767
22000000.0,-120.48287093639374,-120.48287093639374,239.51712906360626
22500000.0,-123.12064915895462,-123.12064915895462,-123.12064915895462
23000000.0,-125.75507462024689,-125.75507462024689,-125.75507462024689
23500000.0,-128.39041739702225,-128.39041739702225,-128.39041739702225
24000000.0,-131.02540343999863,-131.02540343999863,228.97459656000137
24500000.0,-133.6593434214592,-133.6593434214592,-133.6593434214592
25000000.0,-136.29281401634216,-136.29281401634216,223.70718598365784
25500000.0,-138.92987877130508,-138.92987877130508,-138.92987877130508
26000000.0,-141.56333595514297,-141.56333595514297,218.43666404485703
26500000.0,-144.198437333107,-144.198437333107,215.801562666893
27000000.0,-146.8303146958351,-146.8303146958351,213.1696853041649
27500000.0,-149.46534365415573,-149.46534365415573,210.53465634584427
28000000.0,-152.09871500730515,-152.09871500730515,-152.09871500730515
28500000.0,-154.7347766160965,-154.7347766160965,205.2652233839035
29000000.0,-157.36615240573883,-157.36615240573883,202.63384759426117
29500000.0,-159.99963372945786,-159.99963372945786,200.00036627054214
30000000.0,-162.63814955949783,-162.63814955949783,-162.63814955949783
30500000.0,-165.2707940340042,-165.2707940340042,-165.2707940340042
31000000.0,-167.90574252605438,-167.90574252605438,-167.90574252605438
31500000.0,-170.54229229688644,-170.54229229688644,189.45770770311356
32000000.0,-173.1751862168312,-173.1751862168312,186.8248137831688
32500000.0,-175.81279546022415,-175.81279546022415,184.18720453977585
33000000.0,-178.44758301973343,-178.44758301973343,-178.44758301973343
33500000.0,178.918297290802,-181.081702709198,-181.081702709198
34000000.0,176.28338366746902,-183.71661633253098,-183.71661633253098
34500000.0,173.64879459142685,-186.35120540857315,173.64879459142685
35000000.0,171.01144552230835,-188.98855447769165,-188.98855447769165
35500000.0,168.37312817573547,-191.62687182426453,-191.62687182426453
36000000.0,165.73536604642868,-194.26463395357132,-194.26463395357132
36500000.0,163.09866338968277,-196.90133661031723,163.09866338968277
37000000.0,160.46477168798447,-199.53522831201553,-199.53522831201553
37500000.0,157.8265482187271,-202.1734517812729,-202.1734517812729
38000000.0,155.19271820783615,-204.80728179216385,155.19271820783615
38500000.0,152.5528585910797,-207.4471414089203,152.5528585910797
39000000.0,149.91283267736435,-210.08716732263565,149.91283267736435
39500000.0,147.26542532444,-212.73457467556,147.26542532444
40000000.0,144.62595999240875,-215.37404000759125,144.62595999240875
40500000.0,141.9867119193077,-218.0132880806923,-218.0132880806923
41000000.0,139.34297919273376,-220.65702080726624,139.34297919273376
41500000.0,136.70138955116272,-223.29861044883728,136.70138955116272
42000000.0,134.057155251503,-225.942844748497,-225.942844748497
42500000.0,131.41171127557755,-228.58828872442245,-228.58828872442245
43000000.0,128.7653151154518,-231.2346848845482,-231.2346848845482
43500000.0,126.12045049667358,-233.87954950332642,-233.87954950332642
44000000.0,123.47210705280304,-236.52789294719696,123.47210705280304
44500000.0,120.82227230072021,-239.17772769927979,120.82227230072021
45000000.0,118.1729793548584,-241.8270206451416,118.1729793548584
45500000.0,115.52354961633682,-244.47645038366318,115.52354961633682
46000000.0,112.87323474884033,-247.12676525115967,112.87323474884033
46500000.0,110.21868467330933,-249.78131532669067,-249.78131532669067
47000000.0,107.56093740463257,-252.43906259536743,-252.43906259536743
47500000.0,104.9127522110939,-255.0872477889061,104.9127522110939
48000000.0,102.25509613752365,-257.74490386247635,102.25509613752365
48500000.0,99.59406584501266,-260.40593415498734,-260.40593415498734
49000000.0,96.92780792713165,-263.07219207286835,96.92780792713165
49500000.0,94.27908897399902,-265.720911026001,94.27908897399902
50000000.0,91.63547158241272,-268.3645284175873,91.63547158241272
50500000.0,88.99008393287659,-271.0099160671234,88.99008393287659
51000000.0,86.34775936603546,-273.65224063396454,86.34775936603546
51500000.0,83.7050512433052,-276.2949487566948,83.7050512433052
