frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
5000000.0,-30.153004825115204,-30.153004825115204,329.8469951748848
5500000.0,-32.866332828998566,-32.866332828998566,-32.866332828998566
6000000.0,-35.571627616882324,-35.571627616882324,-35.571627616882324
6500000.0,-38.26679974794388,-38.26679974794388,-38.26679974794388
7000000.0,-40.9564009308815,-40.9564009308815,-40.9564009308815
7500000.0,-43.64016830921173,-43.64016830921173,316.35983169078827
8000000.0,-46.31802678108215,-46.31802678108215,313.68197321891785
8500000.0,-48.99233400821686,-48.99233400821686,-48.99233400821686
9000000.0,-51.66343331336975,-51.66343331336975,-51.66343331336975
9500000.0,-54.33084726333618,-54.33084726333618,-54.33084726333618
10000000.0,-56.99596256017685,-56.99596256017685,303.00403743982315
10500000.0,-59.656614661216736,-59.656614661216736,-59.656614661216736
11000000.0,-62.315947115421295,-62.315947115421295,-62.315947115421295
11500000.0,-64.97274488210678,-64.97274488210678,-64.97274488210678
12000000.0,-67.62596189975739,-67.62596189975739,-67.62596189975739
12500000.0,-70.28066217899323,-70.28066217899323,-70.28066217899323
13000000.0,-72.93371558189392,-72.93371558189392,-72.93371558189392
13500000.0,-75.58345913887024,-75.58345913887024,-75.58345913887024
14000000.0,-78.23253214359283,-78.23253214359283,-78.23253214359283
14500000.0,-80.88167488574982,-80.88167488574982,-80.88167488574982
15000000.0,-83.52918148040771,-83.52918148040771,-83.52918148040771
15500000.0,-86.17497950792313,-86.17497950792313,-86.17497950792313
16000000.0,-88.8189348578453,-88.8189348578453,-88.8189348578453
16500000.0,-91.46246373653412,-91.46246373653412,268.5375362634659
17000000.0,-94.10462468862534,-94.10462468862534,-94.10462468862534
17500000.0,-96.74669444561005,-96.74669444561005,263.25330555438995
18000000.0,-99.38741505146027,-99.38741505146027,260.61258494853973
18500000.0,-102.02843070030212,-102.02843070030212,-102.02843070030212
19000000.0,-104.66892600059509,-104.66892600059509,-104.66892600059509
19500000.0,-107.30625092983246,-107.30625092983246,252.69374907016754
20000000.0,-109.94400233030319,-109.94400233030319,-109.94400233030319
20500000.0,-112.58158206939697,-112.58158206939697,-112.58158206939697
21000000.0,-115.2200174331665,-115.2200174331665,-115.2200174331665
21500000.0,-117.85562038421631,-117.85562038421631,-117.85562038421631
22000000.0,-120.49366682767868,-120.49366682767868,239.50633317232132
22500000.0,-123.12985718250275,-123.12985718250275,-123.12985718250275
23000000.0,-125.76493442058563,-125.76493442058563,234.23506557941437
23500000.0,-128.40085923671722,-128.40085923671722,231.59914076328278
24000000.0,-131.03646755218506,-131.03646755218506,-131.03646755218506
24500000.0,-133.6707079410553,-133.6707079410553,226.3292920589447
25000000.0,-136.30639135837555,-136.30639135837555,-136.30639135837555
25500000.0,-138.94086509943008,-138.94086509943008,-138.94086509943008
26000000.0,-141.57462537288666,-141.57462537288666,-141.57462537288666
26500000.0,-144.2100003361702,-144.2100003361702,-144.2100003361702
27000000.0,-146.84320002794266,-146.84320002794266,213.15679997205734
27500000.0,-149.4754394888878,-149.4754394888878,-149.4754394888878
28000000.0,-152.10947334766388,-152.10947334766388,-152.10947334766388
28500000.0,-154.74384516477585,-154.74384516477585,-154.74384516477585
29000000.0,-157.37607389688492,-157.37607389688492,202.62392610311508
29500000.0,-160.01373410224915,-160.01373410224915,199.98626589775085
30000000.0,-162.64810055494308,-162.64810055494308,197.35189944505692
30500000.0,-165.28194934129715,-165.28194934129715,194.71805065870285
31000000.0,-167.91751742362976,-167.91751742362976,192.08248257637024
31500000.0,-170.5521923303604,-170.5521923303604,-170.5521923303604
32000000.0,-173.18692088127136,-173.18692088127136,186.81307911872864
32500000.0,-175.82252115011215,-175.82252115011215,-175.82252115011215
33000000.0,-178.45185041427612,-178.45185041427612,-178.45185041427612
33500000.0,178.911452293396,-181.088547706604,178.911452293396
34000000.0,176.2761926651001,-183.7238073348999,176.2761926651001
34500000.0,173.6383232474327,-186.3616767525673,173.6383232474327
35000000.0,171.0024842619896,-188.9975157380104,-188.9975157380104
35500000.0,168.36401671171188,-191.63598328828812,-191.63598328828812
36000000.0,165.7309752702713,-194.2690247297287,-194.2690247297287
36500000.0,163.09157699346542,-196.90842300653458,-196.90842300653458
37000000.0,160.45660972595215,-199.54339027404785,-199.54339027404785
37500000.0,157.82084047794342,-202.17915952205658,-202.17915952205658
38000000.0,155.18497735261917,-204.81502264738083,155.18497735261917
38500000.0,152.5492027401924,-207.4507972598076,152.5492027401924
39000000.0,149.90894883871078,-210.09105116128922,-210.09105116128922
39500000.0,147.26096212863922,-212.73903787136078,147.26096212863922
