frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
20000000.0,73.72605353593826,73.72605353593826,-286.27394646406174
20010000.0,71.9730743765831,71.9730743765831,71.9730743765831
20020000.0,70.21241873502731,70.21241873502731,70.21241873502731
20030000.0,68.45964074134827,68.45964074134827,68.45964074134827
20040000.0,66.70042008161545,66.70042008161545,66.70042008161545
20050000.0,64.9429777264595,64.9429777264595,-295.0570222735405
20060000.0,63.18828195333481,63.18828195333481,63.18828195333481
20070000.0,61.43061965703964,61.43061965703964,61.43061965703964
20080000.0,59.673131704330444,59.673131704330444,59.673131704330444
20090000.0,57.915198504924774,57.915198504924774,57.915198504924774
20100000.0,56.16204500198364,56.16204500198364,-303.83795499801636
20110000.0,54.40225571393967,54.40225571393967,54.40225571393967
20120000.0,52.64887422323227,52.64887422323227,52.64887422323227
20130000.0,50.888658463954926,50.888658463954926,50.888658463954926
20140000.0,49.136355221271515,49.136355221271515,49.136355221271515
20150000.0,47.37932324409485,47.37932324409485,47.37932324409485
20160000.0,45.62617242336273,45.62617242336273,-314.37382757663727
20170000.0,43.86504739522934,43.86504739522934,43.86504739522934
20180000.0,42.10991442203522,42.10991442203522,42.10991442203522
20190000.0,40.35459637641907,40.35459637641907,40.35459637641907
20200000.0,38.59588533639908,38.59588533639908,38.59588533639908
20210000.0,36.84051901102066,36.84051901102066,36.84051901102066
20220000.0,35.08265823125839,35.08265823125839,35.08265823125839
20230000.0,33.3293491601944,33.3293491601944,33.3293491601944
20240000.0,31.571668088436127,31.571668088436127,31.571668088436127
20250000.0,29.81460392475128,29.81460392475128,29.81460392475128
20260000.0,28.05894523859024,28.05894523859024,28.05894523859024
20270000.0,26.301524341106415,26.301524341106415,-333.6984756588936
20280000.0,24.543837904930115,24.543837904930115,24.543837904930115
20290000.0,22.78592884540558,22.78592884540558,22.78592884540558
20300000.0,21.030959486961365,21.030959486961365,21.030959486961365
20310000.0,19.273141622543335,19.273141622543335,19.273141622543335
20320000.0,17.51829296350479,17.51829296350479,17.51829296350479
20330000.0,15.758230090141296,15.758230090141296,15.758230090141296
20340000.0,14.004792273044586,14.004792273044586,14.004792273044586
20350000.0,12.247446477413177,12.247446477413177,12.247446477413177
20360000.0,10.491567850112915,10.491567850112915,10.491567850112915
20370000.0,8.735619485378265,8.735619485378265,8.735619485378265
20380000.0,6.977970600128174,6.977970600128174,6.977970600128174
20390000.0,5.220656991004944,5.220656991004944,5.220656991004944
20400000.0,3.461562395095825,3.461562395095825,3.461562395095825
20410000.0,1.7061156034469604,1.7061156034469604,1.7061156034469604
20420000.0,-0.050672292709350586,-0.050672292709350586,-0.050672292709350586
20430000.0,-1.8062075972557068,-1.8062075972557068,-1.8062075972557068
20440000.0,-3.5636258125305176,-3.5636258125305176,-3.5636258125305176
20450000.0,-5.323280990123749,-5.323280990123749,-5.323280990123749
20460000.0,-7.077692449092865,-7.077692449092865,-7.077692449092865
20470000.0,-8.83675754070282,-8.83675754070282,-8.83675754070282
20480000.0,-10.593746602535248,-10.593746602535248,-10.593746602535248
20490000.0,-12.348461151123047,-12.348461151123047,347.65153884887695
20500000.0,-14.10620927810669,-14.10620927810669,-14.10620927810669
20510000.0,-15.861087441444397,-15.861087441444397,-15.861087441444397
20520000.0,-17.620806992053986,-17.620806992053986,-17.620806992053986
20530000.0,-19.37504678964615,-19.37504678964615,-19.37504678964615
20540000.0,-21.132379174232483,-21.132379174232483,-21.132379174232483
20550000.0,-22.888893485069275,-22.888893485069275,-22.888893485069275
20560000.0,-24.64585304260254,-24.64585304260254,-24.64585304260254
20570000.0,-26.403614580631256,-26.403614580631256,-26.403614580631256
20580000.0,-28.158892393112183,-28.158892393112183,-28.158892393112183
20590000.0,-29.91954267024994,-29.91954267024994,-29.91954267024994
20600000.0,-31.673653721809387,-31.673653721809387,-31.673653721809387
20610000.0,-33.42816174030304,-33.42816174030304,-33.42816174030304
20620000.0,-35.18765062093735,-35.18765062093735,-35.18765062093735
20630000.0,-36.94512516260147,-36.94512516260147,-36.94512516260147
20640000.0,-38.700319826602936,-38.700319826602936,-38.700319826602936
20650000.0,-40.45586049556732,-40.45586049556732,-40.45586049556732
20660000.0,-42.21424162387848,-42.21424162387848,-42.21424162387848
20670000.0,-43.96698743104935,-43.96698743104935,-43.96698743104935
20680000.0,-45.73038965463638,-45.73038965463638,-45.73038965463638
20690000.0,-47.48252123594284,-47.48252123594284,-47.48252123594284
20700000.0,-49.2414253950119,-49.2414253950119,-49.2414253950119
20710000.0,-50.99809259176254,-50.99809259176254,-50.99809259176254
20720000.0,-52.7533033490181,-52.7533033490181,-52.7533033490181
20730000.0,-54.511290192604065,-54.511290192604065,305.48870980739594
20740000.0,-56.26742094755173,-56.26742094755173,-56.26742094755173
20750000.0,-58.020523488521576,-58.020523488521576,-58.020523488521576
20760000.0,-59.78000968694687,-59.78000968694687,-59.78000968694687
20770000.0,-61.537704169750214,-61.537704169750214,-61.537704169750214
20780000.0,-63.2924884557724,-63.2924884557724,-63.2924884557724
20790000.0,-65.0514703989029,-65.0514703989029,294.9485296010971
20800000.0,-66.80642902851105,-66.80642902851105,-66.80642902851105
20810000.0,-68.565134704113,-68.565134704113,-68.565134704113
20820000.0,-70.31979024410248,-70.31979024410248,289.6802097558975
20830000.0,-72.07797020673752,-72.07797020673752,-72.07797020673752
20840000.0,-73.83145093917847,-73.83145093917847,-73.83145093917847
20850000.0,-75.5937185883522,-75.5937185883522,-75.5937185883522
20860000.0,-77.3462176322937,-77.3462176322937,-77.3462176322937
20870000.0,-79.10236984491348,-79.10236984491348,280.8976301550865
20880000.0,-80.85983633995056,-80.85983633995056,279.14016366004944
20890000.0,-82.6140895485878,-82.6140895485878,-82.6140895485878
20900000.0,-84.37041074037552,-84.37041074037552,-84.37041074037552
20910000.0,-86.12855046987534,-86.12855046987534,273.87144953012466
20920000.0,-87.88409918546677,-87.88409918546677,-87.88409918546677
20930000.0,-89.64176952838898,-89.64176952838898,-89.64176952838898
20940000.0,-91.39724045991898,-91.39724045991898,-91.39724045991898
20950000.0,-93.15438508987427,-93.15438508987427,266.84561491012573
20960000.0,-94.9075385928154,-94.9075385928154,265.0924614071846
20970000.0,-96.66538059711456,-96.66538059711456,-96.66538059711456
20980000.0,-98.42205584049225,-98.42205584049225,-98.42205584049225
20990000.0,-100.181445479393,-100.181445479393,-100.181445479393
21000000.0,-101.93408399820328,-101.93408399820328,-101.93408399820328
21010000.0,-103.69030594825745,-103.69030594825745,-103.69030594825745
21020000.0,-105.44644206762314,-105.44644206762314,254.55355793237686
21030000.0,-107.20292419195175,-107.20292419195175,252.79707580804825
21040000.0,-108.96269470453262,-108.96269470453262,-108.96269470453262
21050000.0,-110.71605205535889,-110.71605205535889,-110.71605205535889
21060000.0,-112.47175365686417,-112.47175365686417,247.52824634313583
21070000.0,-114.23063635826111,-114.23063635826111,245.7693636417389
21080000.0,-115.98446309566498,-115.98446309566498,-115.98446309566498
21090000.0,-117.74054288864136,-117.74054288864136,-117.74054288864136
21100000.0,-119.49705451726913,-119.49705451726913,240.50294548273087
21110000.0,-121.25085443258286,-121.25085443258286,-121.25085443258286
21120000.0,-123.00751894712448,-123.00751894712448,-123.00751894712448
21130000.0,-124.76312398910522,-124.76312398910522,-124.76312398910522
21140000.0,-126.52135759592056,-126.52135759592056,-126.52135759592056
21150000.0,-128.27414363622665,-128.27414363622665,-128.27414363622665
21160000.0,-130.03317654132843,-130.03317654132843,-130.03317654132843
21170000.0,-131.78752899169922,-131.78752899169922,228.21247100830078
21180000.0,-133.54247152805328,-133.54247152805328,-133.54247152805328
21190000.0,-135.30159562826157,-135.30159562826157,-135.30159562826157
21200000.0,-137.05608487129211,-137.05608487129211,222.94391512870789
21210000.0,-138.81048023700714,-138.81048023700714,-138.81048023700714
21220000.0,-140.56604504585266,-140.56604504585266,219.43395495414734
21230000.0,-142.32547760009766,-142.32547760009766,217.67452239990234
21240000.0,-144.07756626605988,-144.07756626605988,-144.07756626605988
21250000.0,-145.83618879318237,-145.83618879318237,-145.83618879318237
21260000.0,-147.59142100811005,-147.59142100811005,-147.59142100811005
21270000.0,-149.34569031000137,-149.34569031000137,-149.34569031000137
21280000.0,-151.1047661304474,-151.1047661304474,-151.1047661304474
21290000.0,-152.85962015390396,-152.85962015390396,-152.85962015390396
21300000.0,-154.61429178714752,-154.61429178714752,205.38570821285248
21310000.0,-156.37428492307663,-156.37428492307663,-156.37428492307663
21320000.0,-158.1237906217575,-158.1237906217575,-158.1237906217575
21330000.0,-159.88195717334747,-159.88195717334747,-159.88195717334747
