frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
20000000.0,-149.5558950304985,-149.5558950304985,210.4441049695015
20010000.0,-149.62882429361343,-149.62882429361343,-149.62882429361343
20020000.0,-149.6994361281395,-149.6994361281395,-149.6994361281395
20030000.0,-149.77161705493927,-149.77161705493927,-149.77161705493927
20040000.0,-149.84145373106003,-149.84145373106003,-149.84145373106003
20050000.0,-149.91385191679,-149.91385191679,-149.91385191679
20060000.0,-149.98430281877518,-149.98430281877518,-149.98430281877518
20070000.0,-150.05657494068146,-150.05657494068146,-150.05657494068146
20080000.0,-150.13059586286545,-150.13059586286545,-150.13059586286545
20090000.0,-150.20217061042786,-150.20217061042786,-150.20217061042786
20100000.0,-150.27448028326035,-150.27448028326035,-150.27448028326035
20110000.0,-150.34706622362137,-150.34706622362137,-150.34706622362137
20120000.0,-150.41915863752365,-150.41915863752365,209.58084136247635
20130000.0,-150.4898589849472,-150.4898589849472,-150.4898589849472
20140000.0,-150.56218475103378,-150.56218475103378,-150.56218475103378
20150000.0,-150.63549488782883,-150.63549488782883,-150.63549488782883
20160000.0,-150.7056587934494,-150.7056587934494,-150.7056587934494
20170000.0,-150.77742129564285,-150.77742129564285,-150.77742129564285
20180000.0,-150.84782123565674,-150.84782123565674,209.15217876434326
20190000.0,-150.92184752225876,-150.92184752225876,-150.92184752225876
20200000.0,-150.99635392427444,-150.99635392427444,-150.99635392427444
20210000.0,-151.0670381784439,-151.0670381784439,-151.0670381784439
20220000.0,-151.13884091377258,-151.13884091377258,208.86115908622742
20230000.0,-151.21080726385117,-151.21080726385117,-151.21080726385117
20240000.0,-151.28460556268692,-151.28460556268692,-151.28460556268692
20250000.0,-151.35611593723297,-151.35611593723297,208.64388406276703
20260000.0,-151.42772555351257,-151.42772555351257,208.57227444648743
20270000.0,-151.49978041648865,-151.49978041648865,-151.49978041648865
20280000.0,-151.57082676887512,-151.57082676887512,-151.57082676887512
20290000.0,-151.64360851049423,-151.64360851049423,-151.64360851049423
20300000.0,-151.71660214662552,-151.71660214662552,-151.71660214662552
20310000.0,-151.7879194021225,-151.7879194021225,208.2120805978775
20320000.0,-151.8622487783432,-151.8622487783432,-151.8622487783432
20330000.0,-151.9338208436966,-151.9338208436966,-151.9338208436966
20340000.0,-152.00551360845566,-152.00551360845566,-152.00551360845566
20350000.0,-152.0773109793663,-152.0773109793663,-152.0773109793663
20360000.0,-152.1498540043831,-152.1498540043831,-152.1498540043831
20370000.0,-152.22139924764633,-152.22139924764633,-152.22139924764633
20380000.0,-152.29438215494156,-152.29438215494156,207.70561784505844
20390000.0,-152.36653357744217,-152.36653357744217,207.63346642255783
20400000.0,-152.43858575820923,-152.43858575820923,207.56141424179077
20410000.0,-152.51218557357788,-152.51218557357788,207.48781442642212
20420000.0,-152.5849860906601,-152.5849860906601,207.4150139093399
20430000.0,-152.65822112560272,-152.65822112560272,-152.65822112560272
20440000.0,-152.73077219724655,-152.73077219724655,207.26922780275345
20450000.0,-152.79971301555634,-152.79971301555634,-152.79971301555634
20460000.0,-152.8735515475273,-152.8735515475273,207.1264484524727
20470000.0,-152.94548839330673,-152.94548839330673,207.05451160669327
20480000.0,-153.01908820867538,-153.01908820867538,-153.01908820867538
20490000.0,-153.08955520391464,-153.08955520391464,206.91044479608536
20500000.0,-153.16159933805466,-153.16159933805466,-153.16159933805466
20510000.0,-153.23224067687988,-153.23224067687988,-153.23224067687988
20520000.0,-153.30675780773163,-153.30675780773163,-153.30675780773163
20530000.0,-153.3796790242195,-153.3796790242195,-153.3796790242195
20540000.0,-153.45212548971176,-153.45212548971176,-153.45212548971176
20550000.0,-153.52295458316803,-153.52295458316803,206.47704541683197
20560000.0,-153.59591335058212,-153.59591335058212,206.40408664941788
20570000.0,-153.66977870464325,-153.66977870464325,-153.66977870464325
20580000.0,-153.74224931001663,-153.74224931001663,206.25775068998337
20590000.0,-153.81282091140747,-153.81282091140747,206.18717908859253
20600000.0,-153.8844010233879,-153.8844010233879,206.1155989766121
20610000.0,-153.95696818828583,-153.95696818828583,206.04303181171417
20620000.0,-154.03001815080643,-154.03001815080643,205.96998184919357
20630000.0,-154.10165458917618,-154.10165458917618,-154.10165458917618
20640000.0,-154.17572647333145,-154.17572647333145,-154.17572647333145
20650000.0,-154.24490332603455,-154.24490332603455,-154.24490332603455
20660000.0,-154.3177279829979,-154.3177279829979,-154.3177279829979
20670000.0,-154.38925981521606,-154.38925981521606,-154.38925981521606
20680000.0,-154.4631090760231,-154.4631090760231,-154.4631090760231
20690000.0,-154.5365184545517,-154.5365184545517,205.4634815454483
20700000.0,-154.60904002189636,-154.60904002189636,-154.60904002189636
20710000.0,-154.68234479427338,-154.68234479427338,205.31765520572662
20720000.0,-154.75309073925018,-154.75309073925018,205.24690926074982
20730000.0,-154.82801020145416,-154.82801020145416,205.17198979854584
20740000.0,-154.89887952804565,-154.89887952804565,-154.89887952804565
20750000.0,-154.97216284275055,-154.97216284275055,-154.97216284275055
20760000.0,-155.0423777103424,-155.0423777103424,-155.0423777103424
20770000.0,-155.11584341526031,-155.11584341526031,204.88415658473969
20780000.0,-155.18860906362534,-155.18860906362534,-155.18860906362534
20790000.0,-155.26116281747818,-155.26116281747818,-155.26116281747818
20800000.0,-155.33384799957275,-155.33384799957275,-155.33384799957275
20810000.0,-155.4037007689476,-155.4037007689476,-155.4037007689476
20820000.0,-155.47616600990295,-155.47616600990295,-155.47616600990295
20830000.0,-155.5483040213585,-155.5483040213585,204.4516959786415
20840000.0,-155.62260389328003,-155.62260389328003,-155.62260389328003
20850000.0,-155.6951093673706,-155.6951093673706,-155.6951093673706
