run_number,status,start_time_iso,elapsed_start_s,raw_csv,end_time_iso,elapsed_end_s,elapsed_midpoint_s,run_duration_s,measurement_slope_deg_per_hz,measurement_slope_std_deg_per_hz,calibration_slope_deg_per_hz,calibration_slope_std_deg_per_hz,slope_difference_deg_per_hz,slope_difference_std_deg_per_hz,group_delay_s,fibre_length_m,fibre_length_fit_std_m,fibre_length_ng_std_m,fibre_length_total_std_m,fit_r_squared,fit_residual_rms_deg,fit_points_used,fit_points_total,error_message,elapsed_midpoint_min,change_from_first_m,deviation_from_mean_m,change_from_first_mm,deviation_from_mean_mm,linear_drift_fit_m
1,ok,2026-08-04T13:44:35.166,0.000572900000406662,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_001_2026-08-04_13-44-35-166.csv,2026-08-04T14:07:08.558,1354.9079117,677.4542422999984,1354.9073387999997,-5.274232811578657e-06,1.324925515616317e-10,3.694144955139754e-06,9.873735165705615e-11,-8.968377766718412e-06,1.6523722592551839e-10,2.49121604631067e-08,5.087518950493989,9.373462404123615e-05,0.003465612364096723,0.0034668797553310425,0.9999996863678409,0.004255101999813276,499,501,,11.290904038333307,0.0,-0.00020056530131729033,0.0,-0.20056530131729033,5.087849522882063
2,ok,2026-08-04T14:07:10.561,1356.911213700001,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_002_2026-08-04_14-07-10-561.csv,2026-08-04T14:29:48.136,2714.486025600003,2035.6986196500038,1357.5748119000018,-5.2732988574433925e-06,8.976033744245551e-11,3.694144955139754e-06,9.873735165705615e-11,-8.967443812583147e-06,1.334390602111415e-10,2.4909566146064297e-08,5.086989143489239,7.569638180046191e-05,0.0034652514601425334,0.003466078133025515,0.9999998554211833,0.002899886412787278,501,501,,33.928310327500064,-0.0005298070047494718,-0.0007303723060667622,-0.5298070047494718,-0.7303723060667622,5.0878405177449295
3,ok,2026-08-04T14:29:50.138,2716.488618500003,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_003_2026-08-04_14-29-50-138.csv,2026-08-04T14:52:23.648,4069.9987817,3393.2437001000035,1353.510163199997,-5.2747849448791926e-06,1.0525156801704505e-10,3.694144955139754e-06,9.873735165705615e-11,-8.968929900018947e-06,1.4431547797203123e-10,2.4913694166719297e-08,5.087832160831771,8.186628040546491e-05,0.0034658257226374465,0.0034667924696414705,0.9999998013227718,0.003400361459342948,501,501,,56.55406166833339,0.0003132103377820883,0.00011264503646479795,0.3132103377820883,0.11264503646479795,5.087831517244123
4,ok,2026-08-04T14:52:25.651,4072.001528300003,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_004_2026-08-04_14-52-25-651.csv,2026-08-04T15:14:57.676,5424.0259879000005,4748.013758100002,1352.0244595999975,-5.274993164693991e-06,1.0235311707403809e-10,3.694144955139754e-06,9.873735165705615e-11,-8.969138119833745e-06,1.4221541824647886e-10,2.4914272555093736e-08,5.087950278319817,8.067497313353382e-05,0.003465906184141565,0.003466844981905139,0.9999998121294061,0.0033067212308491843,501,501,,79.13356263500003,0.00043132782582855356,0.00023076252451126322,0.43132782582855356,0.23076252451126322,5.087822535141667
5,ok,2026-08-04T15:14:59.678,5426.028423700001,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_005_2026-08-04_15-14-59-678.csv,2026-08-04T15:37:27.117,6773.467095300002,6099.747759500002,1347.4386716000008,-5.274874965437048e-06,9.815304676619934e-11,3.694144955139754e-06,9.873735165705615e-11,-8.969019920576802e-06,1.392231489434745e-10,2.491394422382445e-08,5.087883227067598,7.897753941921042e-05,0.0034658605089016342,0.0034667602338345534,0.9999998272238861,0.00317102959727135,501,501,,101.66246265833337,0.000364276573609601,0.00016371127229231064,0.364276573609601,0.16371127229231064,5.087813573168216
6,ok,2026-08-04T15:37:29.119,6775.469740700002,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_006_2026-08-04_15-37-29-119.csv,2026-08-04T16:00:06.690,8133.039897900002,7454.2548193,1357.5701571999998,-5.2750849026510306e-06,1.0346495389071566e-10,3.694144955139754e-06,9.873735165705615e-11,-8.969229857790786e-06,1.4301769574376832e-10,2.4914527382752182e-08,5.088002318789907,8.113008353110891e-05,0.00346594163405307,0.003466891042579249,0.9999998084170357,0.0033326250364438337,500,501,,124.23758032166667,0.0004833682959182184,0.00028280299460092806,0.4833682959182184,0.28280299460092806,5.087804592809434
7,ok,2026-08-04T16:00:08.694,8135.043859600002,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_007_2026-08-04_16-00-08-694.csv,2026-08-04T16:22:30.435,9476.785649600002,8805.914754600002,1341.74179,-5.275363548445781e-06,7.438571291378069e-11,3.694144955139754e-06,9.873735165705615e-11,-8.969508503585536e-06,1.236215955969691e-10,2.491530139884871e-08,5.088160387037938,7.012719876986327e-05,0.0034660493099713473,0.0034667586652607015,0.9999999007855855,0.002403178556704459,501,501,,146.76524591000003,0.0006414365439493253,0.0004408712426320349,0.6414365439493253,0.4408712426320349,5.087795631327039
8,ok,2026-08-04T16:22:32.438,9478.788444200003,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_008_2026-08-04_16-22-32-438.csv,2026-08-04T16:45:03.530,10829.880021200002,10154.334232700003,1351.0915769999992,-5.274373519470963e-06,1.086363453929437e-10,3.694144955139754e-06,9.873735165705615e-11,-8.968518474610717e-06,1.468023165777166e-10,2.4912551318363102e-08,5.087598770288294,8.327699690986945e-05,0.0034656667372536067,0.0034666671302448966,0.9999997883057883,0.003509713431524158,501,501,,169.2389038783334,7.981979430571329e-05,-0.00012074550701157705,0.07981979430571329,-0.12074550701157705,5.087786691328821
9,ok,2026-08-04T16:45:05.533,10831.882853300001,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_009_2026-08-04_16-45-05-533.csv,2026-08-04T17:07:31.511,12177.860902100001,11504.8718777,1345.9780487999997,-5.273625320513678e-06,8.498796162436279e-11,3.694144955139754e-06,9.873735165705615e-11,-8.967770275653432e-06,1.3027669873508972e-10,2.4910472987926202e-08,5.087174337188692,7.390245938146768e-05,0.0034653776138887553,0.0034661655442785695,0.9999998704024553,0.0027457053102394806,501,501,,191.74786462833333,-0.0003446133052964484,-0.0005451786066137387,-0.3446133052964484,-0.5451786066137387,5.087777737287192
10,ok,2026-08-04T17:07:33.514,12179.8638259,C:\Users\Experiment\Documents\Python\VQ_Instruments\Phase_OTDR\Data\FUT_repeated_length_2026-08-04_13-44-13\FUT_run_010_2026-08-04_17-07-33-514.csv,2026-08-04T17:30:00.506,13526.856064000003,12853.35994495,1346.9922381000033,-5.274986036571721e-06,1.0678499993448318e-10,3.694144955139754e-06,9.873735165705615e-11,-8.969130991711474e-06,1.4543761832227843e-10,2.4914252754754096e-08,5.087946234728203,8.250284037712248e-05,0.003465903429651364,0.003466885245049132,0.999999795507054,0.0034499020304815903,501,501,,214.22266574916665,0.0004272842342141203,0.00022671893289682998,0.4272842342141203,0.22671893289682998,5.0877687968342284
