frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
5000000.0,-13.014668226242065,-13.014668226242065,-13.014668226242065
5502793.296089386,-14.955976009368896,-14.955976009368896,-14.955976009368896
6005586.592178771,-16.93170726299286,-16.93170726299286,-16.93170726299286
6508379.888268156,-18.941878080368042,-18.941878080368042,-18.941878080368042
7011173.184357542,-20.989460349082947,-20.989460349082947,-20.989460349082947
7513966.480446927,-23.074647188186646,-23.074647188186646,-23.074647188186646
8016759.776536313,-25.191999077796936,-25.191999077796936,334.80800092220306
8519553.072625699,-27.30953872203827,-27.30953872203827,332.69046127796173
9022346.368715083,-29.309704899787903,-29.309704899787903,-29.309704899787903
9525139.66480447,-31.399757266044617,-31.399757266044617,-31.399757266044617
10027932.960893854,-33.52453351020813,-33.52453351020813,-33.52453351020813
10530726.25698324,-35.667012333869934,-35.667012333869934,-35.667012333869934
11033519.553072626,-37.82892107963562,-37.82892107963562,-37.82892107963562
11536312.849162012,-40.00823736190796,-40.00823736190796,-40.00823736190796
12039106.145251397,-42.201329469680786,-42.201329469680786,317.7986705303192
12541899.441340782,-44.40940976142883,-44.40940976142883,-44.40940976142883
13044692.737430166,-46.624630093574524,-46.624630093574524,-46.624630093574524
13547486.033519553,-48.854854702949524,-48.854854702949524,-48.854854702949524
14050279.329608938,-51.099777817726135,-51.099777817726135,-51.099777817726135
14553072.625698324,-53.35478603839874,-53.35478603839874,-53.35478603839874
15055865.921787709,-55.60854434967041,-55.60854434967041,-55.60854434967041
15558659.217877096,-57.83299684524536,-57.83299684524536,-57.83299684524536
16061452.51396648,-60.07207274436951,-60.07207274436951,-60.07207274436951
16564245.810055865,-62.324849367141724,-62.324849367141724,-62.324849367141724
17067039.10614525,-64.57877397537231,-64.57877397537231,295.4212260246277
17569832.402234636,-66.8289703130722,-66.8289703130722,293.1710296869278
18072625.698324025,-69.08633351325989,-69.08633351325989,-69.08633351325989
18575418.994413406,-71.35757446289062,-71.35757446289062,-71.35757446289062
19078212.290502794,-73.64797174930573,-73.64797174930573,-73.64797174930573
19581005.58659218,-75.95912396907806,-75.95912396907806,284.04087603092194
20083798.882681563,-78.28426122665405,-78.28426122665405,-78.28426122665405
20586592.178770952,-80.6220692396164,-80.6220692396164,-80.6220692396164
21089385.474860333,-82.94975996017456,-82.94975996017456,-82.94975996017456
21592178.77094972,-85.28313159942627,-85.28313159942627,-85.28313159942627
22094972.067039106,-87.64182329177856,-87.64182329177856,-87.64182329177856
22597765.36312849,-90.00487089157104,-90.00487089157104,269.99512910842896
23100558.659217875,-92.38003134727478,-92.38003134727478,-92.38003134727478
23603351.955307264,-94.75183367729187,-94.75183367729187,-94.75183367729187
24106145.25139665,-97.1159702539444,-97.1159702539444,262.8840297460556
24608938.547486033,-99.47258055210114,-99.47258055210114,-99.47258055210114
25111731.843575418,-101.8391901254654,-101.8391901254654,-101.8391901254654
25614525.139664803,-104.20886278152466,-104.20886278152466,-104.20886278152466
26117318.43575419,-106.57490372657776,-106.57490372657776,-106.57490372657776
26620111.731843576,-108.9338743686676,-108.9338743686676,251.0661256313324
27122905.02793296,-111.27904236316681,-111.27904236316681,-111.27904236316681
27625698.324022345,-113.55506300926208,-113.55506300926208,-113.55506300926208
28128491.62011173,-115.81650853157043,-115.81650853157043,244.18349146842957
28631284.91620112,-118.17729234695435,-118.17729234695435,-118.17729234695435
29134078.212290503,-120.58917224407196,-120.58917224407196,-120.58917224407196
29636871.508379888,-122.98959374427795,-122.98959374427795,-122.98959374427795
30139664.804469272,-125.37833154201508,-125.37833154201508,-125.37833154201508
30642458.100558657,-127.75820195674896,-127.75820195674896,232.24179804325104
31145251.396648046,-130.1248812675476,-130.1248812675476,-130.1248812675476
31648044.69273743,-132.47674942016602,-132.47674942016602,-132.47674942016602
32150837.988826815,-134.81403172016144,-134.81403172016144,225.18596827983856
32653631.2849162,-137.14725852012634,-137.14725852012634,-137.14725852012634
33156424.581005584,-139.4693112373352,-139.4693112373352,-139.4693112373352
33659217.87709497,-141.78512513637543,-141.78512513637543,218.21487486362457
34162011.17318436,-144.0886813402176,-144.0886813402176,-144.0886813402176
34664804.469273746,-146.38074696063995,-146.38074696063995,213.61925303936005
35167597.76536313,-148.66689026355743,-148.66689026355743,211.33310973644257
35670391.06145251,-150.9446543455124,-150.9446543455124,-150.9446543455124
36173184.357541904,-153.1936651468277,-153.1936651468277,-153.1936651468277
36675977.653631285,-155.4211002588272,-155.4211002588272,204.5788997411728
37178770.949720666,-157.64928102493286,-157.64928102493286,-157.64928102493286
37681564.245810054,-159.8652684688568,-159.8652684688568,200.1347315311432
38184357.54189944,-162.0662409067154,-162.0662409067154,-162.0662409067154
38687150.83798882,-164.25218760967255,-164.25218760967255,195.74781239032745
39189944.13407821,-166.42145097255707,-166.42145097255707,-166.42145097255707
39692737.4301676,-168.58223855495453,-168.58223855495453,191.41776144504547
40195530.72625698,-170.72735130786896,-170.72735130786896,189.27264869213104
40698324.02234637,-172.85866141319275,-172.85866141319275,187.14133858680725
41201117.31843575,-174.9835342168808,-174.9835342168808,185.0164657831192
41703910.61452514,-177.0892345905304,-177.0892345905304,-177.0892345905304
42206703.91061453,-179.1853380203247,-179.1853380203247,180.8146619796753
42709497.20670391,178.71837615966797,-181.28162384033203,-181.28162384033203
43212290.5027933,176.6294503211975,-183.3705496788025,-183.3705496788025
43715083.79888268,174.55112993717194,-185.44887006282806,174.55112993717194
44217877.09497207,172.4807220697403,-187.5192779302597,172.4807220697403
44720670.391061455,170.41354358196259,-189.58645641803741,-189.58645641803741
45223463.687150836,168.33427906036377,-191.66572093963623,-191.66572093963623
45726256.983240224,166.27257227897644,-193.72742772102356,-193.72742772102356
46229050.279329605,164.22396004199982,-195.77603995800018,-195.77603995800018
46731843.575418994,162.16831505298615,-197.83168494701385,162.16831505298615
47234636.87150838,160.12943387031555,-199.87056612968445,160.12943387031555
47737430.16759776,158.07409465312958,-201.92590534687042,-201.92590534687042
48240223.46368715,156.02539658546448,-203.97460341453552,156.02539658546448
48743016.75977653,153.97397875785828,-206.02602124214172,153.97397875785828
49245810.05586592,151.91470742225647,-208.08529257774353,151.91470742225647
49748603.35195531,149.84149396419525,-210.15850603580475,149.84149396419525
