frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
5000000.0,6.1596232652664185,6.1596232652664185,-146513.84037673473
5502793.296089386,5.995128750801086,5.995128750801086,5.995128750801086
6005586.592178771,5.821825861930847,5.821825861930847,5.821825861930847
6508379.888268156,5.626367926597595,5.626367926597595,5.626367926597595
7011173.184357542,5.4206907749176025,5.4206907749176025,5.4206907749176025
7513966.480446927,5.198485851287842,5.198485851287842,5.198485851287842
8016759.776536313,4.959645867347717,4.959645867347717,4.959645867347717
8519553.072625699,4.727688431739807,4.727688431739807,4.727688431739807
9022346.368715083,4.485495686531067,4.485495686531067,4.485495686531067
9525139.66480447,4.216024875640869,4.216024875640869,4.216024875640869
10027932.960893854,3.9474445581436157,3.9474445581436157,3.9474445581436157
10530726.25698324,3.7455278635025024,3.7455278635025024,3.7455278635025024
11033519.553072626,3.4840500354766846,3.4840500354766846,3.4840500354766846
11536312.849162012,3.2149064540863037,3.2149064540863037,3.2149064540863037
12039106.145251397,2.9271215200424194,2.9271215200424194,2.9271215200424194
12541899.441340782,2.664629817008972,2.664629817008972,2.664629817008972
13044692.737430166,2.3846715688705444,2.3846715688705444,2.3846715688705444
13547486.033519553,2.1123307943344116,2.1123307943344116,2.1123307943344116
14050279.329608938,1.8151742219924927,1.8151742219924927,1.8151742219924927
14553072.625698324,1.5509873628616333,1.5509873628616333,1.5509873628616333
15055865.921787709,1.2688887119293213,1.2688887119293213,1.2688887119293213
15558659.217877096,0.9821605682373047,0.9821605682373047,0.9821605682373047
16061452.51396648,0.6977337598800659,0.6977337598800659,0.6977337598800659
16564245.810055865,0.4142296314239502,0.4142296314239502,0.4142296314239502
17067039.10614525,0.13271033763885498,0.13271033763885498,0.13271033763885498
17569832.402234636,-0.15906572341918945,-0.15906572341918945,-0.15906572341918945
18072625.698324025,-0.47528743743896484,-0.47528743743896484,-0.47528743743896484
18575418.994413406,-0.7161176204681396,-0.7161176204681396,-0.7161176204681396
19078212.290502794,-1.0150927305221558,-1.0150927305221558,-1.0150927305221558
19581005.58659218,-1.3505834341049194,-1.3505834341049194,-1.3505834341049194
20083798.882681563,-1.6454064846038818,-1.6454064846038818,-1.6454064846038818
20586592.178770952,-1.9172215461730957,-1.9172215461730957,-1.9172215461730957
21089385.474860333,-2.1881353855133057,-2.1881353855133057,-2.1881353855133057
21592178.77094972,-2.5070393085479736,-2.5070393085479736,-2.5070393085479736
22094972.067039106,-2.8059768676757812,-2.8059768676757812,-2.8059768676757812
22597765.36312849,-3.1054991483688354,-3.1054991483688354,-3.1054991483688354
23100558.659217875,-3.406582474708557,-3.406582474708557,-3.406582474708557
23603351.955307264,-3.6743420362472534,-3.6743420362472534,-3.6743420362472534
24106145.25139665,-3.9399611949920654,-3.9399611949920654,-3.9399611949920654
24608938.547486033,-4.252502918243408,-4.252502918243408,-4.252502918243408
25111731.843575418,-4.547460079193115,-4.547460079193115,-4.547460079193115
25614525.139664803,-4.84123170375824,-4.84123170375824,-4.84123170375824
26117318.43575419,-5.139187574386597,-5.139187574386597,-5.139187574386597
26620111.731843576,-5.436049103736877,-5.436049103736877,-5.436049103736877
27122905.02793296,-5.732132792472839,-5.732132792472839,-5.732132792472839
27625698.324022345,-6.095448732376099,-6.095448732376099,-6.095448732376099
28128491.62011173,-6.431556344032288,-6.431556344032288,-366.4315563440323
28631284.91620112,-6.711069345474243,-6.711069345474243,-6.711069345474243
29134078.212290503,-6.985003352165222,-6.985003352165222,-6.985003352165222
29636871.508379888,-7.275980114936829,-7.275980114936829,-7.275980114936829
30139664.804469272,-7.542736530303955,-7.542736530303955,-7.542736530303955
30642458.100558657,-7.839013338088989,-7.839013338088989,-7.839013338088989
31145251.396648046,-8.099235892295837,-8.099235892295837,-8.099235892295837
31648044.69273743,-8.392755389213562,-8.392755389213562,-8.392755389213562
32150837.988826815,-8.68618369102478,-8.68618369102478,-8.68618369102478
32653631.2849162,-8.929910659790039,-8.929910659790039,-8.929910659790039
33156424.581005584,-9.215474724769592,-9.215474724769592,-9.215474724769592
33659217.87709497,-9.47170078754425,-9.47170078754425,350.52829921245575
34162011.17318436,-9.77357804775238,-9.77357804775238,-9.77357804775238
34664804.469273746,-10.056057572364807,-10.056057572364807,-10.056057572364807
35167597.76536313,-10.333945155143738,-10.333945155143738,-10.333945155143738
35670391.06145251,-10.654372572898865,-10.654372572898865,-10.654372572898865
36173184.357541904,-10.912631750106812,-10.912631750106812,-10.912631750106812
36675977.653631285,-11.21628999710083,-11.21628999710083,-11.21628999710083
37178770.949720666,-11.533793807029724,-11.533793807029724,-11.533793807029724
37681564.245810054,-11.78406536579132,-11.78406536579132,-11.78406536579132
38184357.54189944,-12.028720378875732,-12.028720378875732,-12.028720378875732
38687150.83798882,-12.266761064529419,-12.266761064529419,-12.266761064529419
39189944.13407821,-12.492570877075195,-12.492570877075195,-12.492570877075195
39692737.4301676,-12.731781005859375,-12.731781005859375,-12.731781005859375
40195530.72625698,-13.021411299705505,-13.021411299705505,-13.021411299705505
40698324.02234637,-13.246051669120789,-13.246051669120789,-13.246051669120789
41201117.31843575,-13.501312136650085,-13.501312136650085,-13.501312136650085
41703910.61452514,-13.749035596847534,-13.749035596847534,-13.749035596847534
42206703.91061453,-13.979566097259521,-13.979566097259521,-13.979566097259521
42709497.20670391,-14.227836728096008,-14.227836728096008,-14.227836728096008
43212290.5027933,-14.501164555549622,-14.501164555549622,-14.501164555549622
43715083.79888268,-14.69522774219513,-14.69522774219513,345.30477225780487
44217877.09497207,-14.89970326423645,-14.89970326423645,-14.89970326423645
44720670.391061455,-15.168439149856567,-15.168439149856567,-15.168439149856567
45223463.687150836,-15.385322570800781,-15.385322570800781,-15.385322570800781
45726256.983240224,-15.592415928840637,-15.592415928840637,-15.592415928840637
46229050.279329605,-15.802540183067322,-15.802540183067322,-15.802540183067322
46731843.575418994,-15.951510071754456,-15.951510071754456,-15.951510071754456
47234636.87150838,-16.241376399993896,-16.241376399993896,-16.241376399993896
47737430.16759776,-16.46900475025177,-16.46900475025177,-16.46900475025177
48240223.46368715,-16.701530814170837,-16.701530814170837,-16.701530814170837
48743016.75977653,-16.85680389404297,-16.85680389404297,-16.85680389404297
49245810.05586592,-17.11793303489685,-17.11793303489685,-17.11793303489685
49748603.35195531,-17.31617510318756,-17.31617510318756,-17.31617510318756
50251396.64804469,-17.553352117538452,-17.553352117538452,-17.553352117538452
50754189.94413408,-17.766287326812744,-17.766287326812744,-17.766287326812744
51256983.24022346,-18.059141635894775,-18.059141635894775,-18.059141635894775
51759776.53631285,-18.222450613975525,-18.222450613975525,-18.222450613975525
52262569.83240224,-18.47075343132019,-18.47075343132019,-18.47075343132019
52765363.12849162,-18.623371124267578,-18.623371124267578,-18.623371124267578
53268156.424581006,-18.8657408952713,-18.8657408952713,-18.8657408952713
53770949.72067039,-19.092054963111877,-19.092054963111877,-19.092054963111877
54273743.016759776,-19.304271340370178,-19.304271340370178,-19.304271340370178
54776536.312849164,-19.54920530319214,-19.54920530319214,-19.54920530319214
55279329.608938545,-19.796193838119507,-19.796193838119507,-19.796193838119507
55782122.90502793,-19.94746506214142,-19.94746506214142,-19.94746506214142
56284916.201117314,-20.164772272109985,-20.164772272109985,-20.164772272109985
56787709.4972067,-20.387755036354065,-20.387755036354065,-20.387755036354065
57290502.79329609,-20.60115694999695,-20.60115694999695,-20.60115694999695
57793296.08938547,-20.81538498401642,-20.81538498401642,339.1846150159836
58296089.38547486,-21.07355833053589,-21.07355833053589,-21.07355833053589
58798882.68156424,-21.351563930511475,-21.351563930511475,-21.351563930511475
59301675.97765363,-21.56264305114746,-21.56264305114746,-21.56264305114746
59804469.27374302,-21.829774975776672,-21.829774975776672,-21.829774975776672
60307262.5698324,-22.0420503616333,-22.0420503616333,337.9579496383667
60810055.86592179,-22.164493203163147,-22.164493203163147,-22.164493203163147
61312849.16201117,-22.46454656124115,-22.46454656124115,-22.46454656124115
61815642.45810056,-22.598222494125366,-22.598222494125366,-22.598222494125366
62318435.754189946,-22.85951793193817,-22.85951793193817,-22.85951793193817
62821229.05027933,-23.150746822357178,-23.150746822357178,-23.150746822357178
63324022.346368715,-23.397719264030457,-23.397719264030457,-23.397719264030457
63826815.642458096,-23.62211287021637,-23.62211287021637,-23.62211287021637
64329608.938547485,-23.861424922943115,-23.861424922943115,-23.861424922943115
64832402.23463687,-24.132778644561768,-24.132778644561768,-24.132778644561768
65335195.530726254,-24.345547556877136,-24.345547556877136,-24.345547556877136
65837988.82681564,-24.65457022190094,-24.65457022190094,-24.65457022190094
66340782.12290502,-24.915307760238647,-24.915307760238647,-24.915307760238647
66843575.41899441,-25.15498995780945,-25.15498995780945,-25.15498995780945
67346368.71508381,-25.387596487998962,-25.387596487998962,-25.387596487998962
67849162.01117319,-25.594834685325623,-25.594834685325623,-25.594834685325623
68351955.30726257,-25.87076425552368,-25.87076425552368,-25.87076425552368
68854748.60335195,-26.1491721868515,-26.1491721868515,-26.1491721868515
69357541.89944133,-26.336562037467957,-26.336562037467957,-26.336562037467957
69860335.19553073,-26.646888256072998,-26.646888256072998,-26.646888256072998
70363128.49162011,-26.802440285682678,-26.802440285682678,-26.802440285682678
70865921.7877095,-27.015960216522217,-27.015960216522217,332.9840397834778
71368715.08379889,-27.342787384986877,-27.342787384986877,332.6572126150131
71871508.37988827,-27.53721535205841,-27.53721535205841,-27.53721535205841
72374301.67597765,-27.85929501056671,-27.85929501056671,-27.85929501056671
72877094.97206704,-28.095865845680237,-28.095865845680237,-28.095865845680237
73379888.26815642,-28.418996930122375,-28.418996930122375,-28.418996930122375
73882681.5642458,-28.736672401428223,-28.736672401428223,-28.736672401428223
74385474.8603352,-28.952284455299377,-28.952284455299377,-28.952284455299377
74888268.15642458,-29.343334436416626,-29.343334436416626,-29.343334436416626
75391061.45251396,-29.621956944465637,-29.621956944465637,-29.621956944465637
75893854.74860334,-29.901131987571716,-29.901131987571716,-29.901131987571716
76396648.04469274,-30.160898566246033,-30.160898566246033,-30.160898566246033
76899441.34078212,-30.492864847183228,-30.492864847183228,-30.492864847183228
77402234.6368715,-30.722885727882385,-30.722885727882385,329.2771142721176
77905027.9329609,-31.04962170124054,-31.04962170124054,-31.04962170124054
78407821.22905028,-31.344557404518127,-31.344557404518127,-31.344557404518127
78910614.52513966,-31.610117554664612,-31.610117554664612,-31.610117554664612
79413407.82122906,-31.951573491096497,-31.951573491096497,-31.951573491096497
79916201.11731844,-32.21669912338257,-32.21669912338257,-32.21669912338257
80418994.41340782,-32.52372086048126,-32.52372086048126,-32.52372086048126
80921787.7094972,-32.81098544597626,-32.81098544597626,-32.81098544597626
81424581.0055866,-32.981804609298706,-32.981804609298706,-32.981804609298706
81927374.30167598,-33.3010196685791,-33.3010196685791,-33.3010196685791
82430167.59776536,-33.560711145401,-33.560711145401,-33.560711145401
82932960.89385475,-33.78963768482208,-33.78963768482208,326.2103623151779
83435754.18994413,-34.114206433296204,-34.114206433296204,-34.114206433296204
83938547.48603351,-34.26738202571869,-34.26738202571869,-34.26738202571869
84441340.78212291,-34.60469663143158,-34.60469663143158,-34.60469663143158
84944134.07821229,-34.884708523750305,-34.884708523750305,-34.884708523750305
85446927.37430167,-35.19713759422302,-35.19713759422302,-35.19713759422302
85949720.67039105,-35.35872995853424,-35.35872995853424,-35.35872995853424
86452513.96648045,-35.630539655685425,-35.630539655685425,-35.630539655685425
86955307.26256983,-35.817269682884216,-35.817269682884216,-35.817269682884216
87458100.55865921,-36.110966205596924,-36.110966205596924,-36.110966205596924
87960893.8547486,-36.0738068819046,-36.0738068819046,-36.0738068819046
88463687.15083799,-36.517401337623596,-36.517401337623596,323.4825986623764
88966480.44692737,-36.66007876396179,-36.66007876396179,-36.66007876396179
89469273.74301676,-36.8683522939682,-36.8683522939682,323.1316477060318
89972067.03910615,-37.0416122674942,-37.0416122674942,-37.0416122674942
90474860.33519553,-37.40117311477661,-37.40117311477661,-37.40117311477661
90977653.63128491,-37.52682387828827,-37.52682387828827,-37.52682387828827
91480446.9273743,-37.740123867988586,-37.740123867988586,322.2598761320114
91983240.22346368,-37.87719547748566,-37.87719547748566,-37.87719547748566
92486033.51955307,-38.08204650878906,-38.08204650878906,-38.08204650878906
92988826.81564246,-38.231279253959656,-38.231279253959656,-38.231279253959656
93491620.11173184,-38.56598675251007,-38.56598675251007,-38.56598675251007
93994413.40782122,-38.63389492034912,-38.63389492034912,-38.63389492034912
94497206.70391062,-38.843064308166504,-38.843064308166504,-38.843064308166504
95000000.0,-38.9875602722168,-38.9875602722168,321.0124397277832
