frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
5000000.0,41.496514678001404,41.496514678001404,-93198.503485322
5502793.296089386,44.87065315246582,44.87065315246582,44.87065315246582
6005586.592178771,48.226842284202576,48.226842284202576,48.226842284202576
6508379.888268156,51.55187487602234,51.55187487602234,51.55187487602234
7011173.184357542,54.84666287899017,54.84666287899017,-305.1533371210098
7513966.480446927,58.116077184677124,58.116077184677124,58.116077184677124
8016759.776536313,61.17279231548309,61.17279231548309,61.17279231548309
8519553.072625699,64.37736690044403,64.37736690044403,64.37736690044403
9022346.368715083,67.63805329799652,67.63805329799652,67.63805329799652
9525139.66480447,70.94660639762878,70.94660639762878,70.94660639762878
10027932.960893854,74.17526185512543,74.17526185512543,74.17526185512543
10530726.25698324,77.35726296901703,77.35726296901703,-282.64273703098297
11033519.553072626,80.53730607032776,80.53730607032776,80.53730607032776
11536312.849162012,83.71151268482208,83.71151268482208,83.71151268482208
12039106.145251397,86.87798380851746,86.87798380851746,-273.12201619148254
12541899.441340782,90.04145085811615,90.04145085811615,90.04145085811615
13044692.737430166,93.19338977336884,93.19338977336884,93.19338977336884
13547486.033519553,96.34169161319733,96.34169161319733,-263.6583083868027
14050279.329608938,99.4853800535202,99.4853800535202,-260.5146199464798
14553072.625698324,102.6204264163971,102.6204264163971,102.6204264163971
15055865.921787709,105.74812352657318,105.74812352657318,105.74812352657318
15558659.217877096,108.87122333049774,108.87122333049774,108.87122333049774
16061452.51396648,111.99205935001373,111.99205935001373,111.99205935001373
16564245.810055865,115.11904835700989,115.11904835700989,115.11904835700989
17067039.10614525,118.23699295520782,118.23699295520782,-241.76300704479218
17569832.402234636,121.55832409858704,121.55832409858704,121.55832409858704
18072625.698324025,124.65583026409149,124.65583026409149,-235.3441697359085
18575418.994413406,127.75851309299469,127.75851309299469,127.75851309299469
19078212.290502794,130.88903725147247,130.88903725147247,130.88903725147247
19581005.58659218,133.99267494678497,133.99267494678497,133.99267494678497
20083798.882681563,137.0654833316803,137.0654833316803,137.0654833316803
