frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
5000000.0,27.783007621765137,27.783007621765137,-121649.69227731228
5502793.296089386,29.620835781097412,29.620835781097412,29.620835781097412
6005586.592178771,31.556655764579773,31.556655764579773,31.556655764579773
6508379.888268156,33.50349962711334,33.50349962711334,33.50349962711334
7011173.184357542,35.408286452293396,35.408286452293396,35.408286452293396
7513966.480446927,37.49259352684021,37.49259352684021,37.49259352684021
8016759.776536313,39.56254005432129,39.56254005432129,39.56254005432129
8519553.072625699,41.464274525642395,41.464274525642395,41.464274525642395
9022346.368715083,43.251805901527405,43.251805901527405,43.251805901527405
9525139.66480447,45.18977701663971,45.18977701663971,-314.8102229833603
10027932.960893854,47.46247172355652,47.46247172355652,47.46247172355652
10530726.25698324,49.413907527923584,49.413907527923584,49.413907527923584
11033519.553072626,51.41359627246857,51.41359627246857,51.41359627246857
11536312.849162012,53.430917859077454,53.430917859077454,53.430917859077454
12039106.145251397,55.42055904865265,55.42055904865265,-304.57944095134735
12541899.441340782,57.40888595581055,57.40888595581055,57.40888595581055
13044692.737430166,59.48480308055878,59.48480308055878,59.48480308055878
13547486.033519553,61.54100060462952,61.54100060462952,61.54100060462952
14050279.329608938,63.52989614009857,63.52989614009857,63.52989614009857
14553072.625698324,65.52182793617249,65.52182793617249,65.52182793617249
15055865.921787709,67.48884201049805,67.48884201049805,67.48884201049805
15558659.217877096,69.45371568202972,69.45371568202972,69.45371568202972
16061452.51396648,71.60130679607391,71.60130679607391,71.60130679607391
16564245.810055865,73.55584859848022,73.55584859848022,-286.4441514015198
17067039.10614525,75.6303870677948,75.6303870677948,75.6303870677948
17569832.402234636,77.64789640903473,77.64789640903473,77.64789640903473
18072625.698324025,79.63116466999054,79.63116466999054,79.63116466999054
18575418.994413406,81.65787398815155,81.65787398815155,81.65787398815155
19078212.290502794,83.7591701745987,83.7591701745987,83.7591701745987
19581005.58659218,85.76627790927887,85.76627790927887,-274.23372209072113
20083798.882681563,87.92851388454437,87.92851388454437,-272.0714861154556
20586592.178770952,90.05592405796051,90.05592405796051,-269.9440759420395
21089385.474860333,92.17072784900665,92.17072784900665,92.17072784900665
21592178.77094972,94.15092766284943,94.15092766284943,-265.8490723371506
22094972.067039106,96.276615858078,96.276615858078,96.276615858078
22597765.36312849,98.20410490036011,98.20410490036011,98.20410490036011
23100558.659217875,100.25639712810516,100.25639712810516,100.25639712810516
23603351.955307264,102.28827238082886,102.28827238082886,102.28827238082886
24106145.25139665,104.35939908027649,104.35939908027649,-255.6406009197235
24608938.547486033,106.37511670589447,106.37511670589447,-253.62488329410553
25111731.843575418,108.4223985671997,108.4223985671997,-251.5776014328003
25614525.139664803,110.49636840820312,110.49636840820312,110.49636840820312
26117318.43575419,112.53248691558838,112.53248691558838,112.53248691558838
26620111.731843576,114.6625417470932,114.6625417470932,114.6625417470932
27122905.02793296,116.70651376247406,116.70651376247406,116.70651376247406
27625698.324022345,118.73879134654999,118.73879134654999,118.73879134654999
28128491.62011173,120.85265100002289,120.85265100002289,-239.1473489999771
28631284.91620112,122.93942034244537,122.93942034244537,-237.06057965755463
29134078.212290503,125.12507200241089,125.12507200241089,125.12507200241089
29636871.508379888,127.15139508247375,127.15139508247375,127.15139508247375
30139664.804469272,129.23135697841644,129.23135697841644,-230.76864302158356
30642458.100558657,131.25612437725067,131.25612437725067,131.25612437725067
31145251.396648046,133.27361226081848,133.27361226081848,133.27361226081848
31648044.69273743,135.47629058361053,135.47629058361053,-224.52370941638947
32150837.988826815,137.44793951511383,137.44793951511383,137.44793951511383
32653631.2849162,139.53237533569336,139.53237533569336,-220.46762466430664
33156424.581005584,141.67188227176666,141.67188227176666,141.67188227176666
33659217.87709497,143.757004737854,143.757004737854,-216.242995262146
34162011.17318436,145.84862887859344,145.84862887859344,145.84862887859344
34664804.469273746,147.83395171165466,147.83395171165466,-212.16604828834534
35167597.76536313,149.9010819196701,149.9010819196701,-210.0989180803299
35670391.06145251,151.9691777229309,151.9691777229309,151.9691777229309
36173184.357541904,154.0094268321991,154.0094268321991,-205.9905731678009
36675977.653631285,156.12897276878357,156.12897276878357,-203.87102723121643
37178770.949720666,158.16278457641602,158.16278457641602,158.16278457641602
37681564.245810054,160.27349531650543,160.27349531650543,-199.72650468349457
38184357.54189944,162.31074035167694,162.31074035167694,162.31074035167694
38687150.83798882,164.4027078151703,164.4027078151703,-195.5972921848297
39189944.13407821,166.90435588359833,166.90435588359833,-193.09564411640167
39692737.4301676,168.6062228679657,168.6062228679657,168.6062228679657
40195530.72625698,170.47754645347595,170.47754645347595,170.47754645347595
40698324.02234637,172.67027914524078,172.67027914524078,172.67027914524078
41201117.31843575,174.6446692943573,174.6446692943573,174.6446692943573
41703910.61452514,176.77820026874542,176.77820026874542,176.77820026874542
42206703.91061453,178.8909012079239,178.8909012079239,178.8909012079239
42709497.20670391,-178.94231379032135,181.05768620967865,-178.94231379032135
43212290.5027933,-176.90657079219818,183.09342920780182,-176.90657079219818
43715083.79888268,-174.80182528495789,185.19817471504211,-174.80182528495789
44217877.09497207,-172.75768160820007,187.24231839179993,-172.75768160820007
44720670.391061455,-170.61443567276,189.38556432724,189.38556432724
45223463.687150836,-168.75932335853577,191.24067664146423,-168.75932335853577
45726256.983240224,-166.45354628562927,193.54645371437073,193.54645371437073
46229050.279329605,-164.52902376651764,195.47097623348236,-164.52902376651764
46731843.575418994,-162.43451356887817,197.56548643112183,197.56548643112183
47234636.87150838,-160.3334641456604,199.6665358543396,199.6665358543396
47737430.16759776,-158.1834053993225,201.8165946006775,-158.1834053993225
48240223.46368715,-156.2251353263855,203.7748646736145,-156.2251353263855
48743016.75977653,-153.82263779640198,206.17736220359802,-153.82263779640198
49245810.05586592,-152.02508568763733,207.97491431236267,-152.02508568763733
49748603.35195531,-149.84542608261108,210.15457391738892,-149.84542608261108
50251396.64804469,-147.82696723937988,212.17303276062012,212.17303276062012
50754189.94413408,-145.7699865102768,214.2300134897232,214.2300134897232
51256983.24022346,-143.53993356227875,216.46006643772125,-143.53993356227875
51759776.53631285,-141.53712272644043,218.46287727355957,-141.53712272644043
52262569.83240224,-139.47206854820251,220.52793145179749,220.52793145179749
52765363.12849162,-137.42760837078094,222.57239162921906,222.57239162921906
53268156.424581006,-135.34652531147003,224.65347468852997,224.65347468852997
53770949.72067039,-133.0930083990097,226.9069916009903,-133.0930083990097
54273743.016759776,-131.0472983121872,228.9527016878128,-131.0472983121872
54776536.312849164,-129.0809440612793,230.9190559387207,230.9190559387207
55279329.608938545,-126.9222217798233,233.0777782201767,233.0777782201767
55782122.90502793,-124.79458093643188,235.20541906356812,-124.79458093643188
56284916.201117314,-122.67389237880707,237.32610762119293,-122.67389237880707
56787709.4972067,-120.7312273979187,239.2687726020813,-120.7312273979187
57290502.79329609,-118.64275217056274,241.35724782943726,-118.64275217056274
57793296.08938547,-116.36936008930206,243.63063991069794,-116.36936008930206
58296089.38547486,-114.25697565078735,245.74302434921265,-114.25697565078735
58798882.68156424,-112.27093935012817,247.72906064987183,-112.27093935012817
59301675.97765363,-110.04028022289276,249.95971977710724,-110.04028022289276
59804469.27374302,-108.17000269889832,251.82999730110168,-108.17000269889832
60307262.5698324,-106.03654682636261,253.9634531736374,253.9634531736374
60810055.86592179,-103.90558540821075,256.09441459178925,-103.90558540821075
61312849.16201117,-101.92914068698883,258.07085931301117,258.07085931301117
61815642.45810056,-99.85807299613953,260.1419270038605,-99.85807299613953
62318435.754189946,-97.65006244182587,262.34993755817413,262.34993755817413
62821229.05027933,-95.85671603679657,264.14328396320343,-95.85671603679657
63324022.346368715,-93.47546696662903,266.524533033371,-93.47546696662903
63826815.642458096,-91.65014326572418,268.3498567342758,-91.65014326572418
64329608.938547485,-89.29752945899963,270.70247054100037,-89.29752945899963
64832402.23463687,-87.34163045883179,272.6583695411682,-87.34163045883179
65335195.530726254,-85.24818241596222,274.7518175840378,274.7518175840378
65837988.82681564,-83.16309750080109,276.8369024991989,-83.16309750080109
66340782.12290502,-81.10562860965729,278.8943713903427,278.8943713903427
66843575.41899441,-78.79593014717102,281.204069852829,281.204069852829
67346368.71508381,-76.84578716754913,283.15421283245087,-76.84578716754913
67849162.01117319,-74.54113125801086,285.45886874198914,-74.54113125801086
68351955.30726257,-72.53783226013184,287.46216773986816,287.46216773986816
68854748.60335195,-70.47784209251404,289.52215790748596,-70.47784209251404
69357541.89944133,-68.21957230567932,291.7804276943207,-68.21957230567932
69860335.19553073,-65.97891926765442,294.0210807323456,-65.97891926765442
70363128.49162011,-63.964542746543884,296.0354572534561,296.0354572534561
70865921.7877095,-62.03560531139374,297.96439468860626,-62.03560531139374
71368715.08379889,-59.749295711517334,300.25070428848267,-59.749295711517334
71871508.37988827,-57.63630509376526,302.36369490623474,-57.63630509376526
72374301.67597765,-55.569754242897034,304.43024575710297,-55.569754242897034
72877094.97206704,-53.44157695770264,306.55842304229736,306.55842304229736
73379888.26815642,-51.47964298725128,308.5203570127487,-51.47964298725128
73882681.5642458,-49.24876928329468,310.7512307167053,310.7512307167053
74385474.8603352,-47.25519061088562,312.7448093891144,-47.25519061088562
74888268.15642458,-45.05237281322479,314.9476271867752,-45.05237281322479
75391061.45251396,-43.08806240558624,316.91193759441376,-43.08806240558624
75893854.74860334,-40.97330689430237,319.02669310569763,-40.97330689430237
76396648.04469274,-38.89728784561157,321.1027121543884,-38.89728784561157
76899441.34078212,-36.78498387336731,323.2150161266327,-36.78498387336731
77402234.6368715,-34.72919404506683,325.27080595493317,-34.72919404506683
77905027.9329609,-32.6498544216156,327.3501455783844,327.3501455783844
78407821.22905028,-30.461440086364746,329.53855991363525,-30.461440086364746
78910614.52513966,-28.493894934654236,331.50610506534576,-28.493894934654236
79413407.82122906,-26.376789808273315,333.6232101917267,-26.376789808273315
79916201.11731844,-24.368378520011902,335.6316214799881,-24.368378520011902
80418994.41340782,-22.11944282054901,337.880557179451,-22.11944282054901
80921787.7094972,-20.16542673110962,339.8345732688904,339.8345732688904
81424581.0055866,-18.215219378471375,341.7847806215286,-18.215219378471375
81927374.30167598,-16.22003674507141,343.7799632549286,-16.22003674507141
82430167.59776536,-14.01532530784607,345.98467469215393,-14.01532530784607
82932960.89385475,-11.775037050247192,348.2249629497528,-11.775037050247192
83435754.18994413,-9.798935651779175,350.2010643482208,350.2010643482208
83938547.48603351,-7.638389468193054,352.36161053180695,-7.638389468193054
84441340.78212291,-5.6784456968307495,354.32155430316925,-5.6784456968307495
84944134.07821229,-3.51712703704834,356.48287296295166,-3.51712703704834
85446927.37430167,-1.3207197189331055,358.6792802810669,-1.3207197189331055
85949720.67039105,0.6155133247375488,360.61551332473755,0.6155133247375488
86452513.96648045,2.696118950843811,362.6961189508438,2.696118950843811
86955307.26256983,4.7015368938446045,364.7015368938446,4.7015368938446045
87458100.55865921,6.949292421340942,366.94929242134094,6.949292421340942
87960893.8547486,9.064047932624817,369.0640479326248,9.064047932624817
88463687.15083799,11.11592710018158,371.1159271001816,11.11592710018158
88966480.44692737,13.385387063026428,373.3853870630264,13.385387063026428
89469273.74301676,15.390257835388184,375.3902578353882,15.390257835388184
89972067.03910615,17.596777081489563,377.59677708148956,17.596777081489563
90474860.33519553,19.401426315307617,379.4014263153076,19.401426315307617
90977653.63128491,21.748123168945312,381.7481231689453,21.748123168945312
91480446.9273743,24.080979824066162,384.08097982406616,24.080979824066162
91983240.22346368,25.98366379737854,385.98366379737854,-334.01633620262146
92486033.51955307,28.035982847213745,388.03598284721375,28.035982847213745
92988826.81564246,30.16248106956482,390.1624810695648,30.16248106956482
93491620.11173184,32.3914235830307,392.3914235830307,32.3914235830307
93994413.40782122,34.584832191467285,394.5848321914673,34.584832191467285
94497206.70391062,36.50002062320709,396.5000206232071,36.50002062320709
95000000.0,38.584853410720825,398.5848534107208,38.584853410720825
