frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
10000000.0,39.230557680130005,39.230557680130005,39.230557680130005
11000000.0,42.863304018974304,42.863304018974304,42.863304018974304
12000000.0,46.52325600385666,46.52325600385666,46.52325600385666
13000000.0,50.11515498161316,50.11515498161316,-309.88484501838684
14000000.0,53.770968317985535,53.770968317985535,53.770968317985535
15000000.0,57.390958070755005,57.390958070755005,57.390958070755005
16000000.0,61.003936529159546,61.003936529159546,61.003936529159546
17000000.0,64.66079592704773,64.66079592704773,64.66079592704773
18000000.0,68.23136061429977,68.23136061429977,68.23136061429977
19000000.0,71.87255054712296,71.87255054712296,71.87255054712296
20000000.0,75.55926829576492,75.55926829576492,75.55926829576492
21000000.0,79.16306555271149,79.16306555271149,79.16306555271149
22000000.0,82.76123821735382,82.76123821735382,-277.2387617826462
23000000.0,86.3445058465004,86.3445058465004,86.3445058465004
24000000.0,90.02383410930634,90.02383410930634,90.02383410930634
25000000.0,93.56006383895874,93.56006383895874,93.56006383895874
26000000.0,97.21186995506287,97.21186995506287,97.21186995506287
27000000.0,100.83297550678253,100.83297550678253,100.83297550678253
28000000.0,104.45965200662613,104.45965200662613,104.45965200662613
29000000.0,108.0376598238945,108.0376598238945,-251.9623401761055
30000000.0,111.65241658687592,111.65241658687592,111.65241658687592
31000000.0,115.28630822896957,115.28630822896957,115.28630822896957
32000000.0,118.89286547899246,118.89286547899246,118.89286547899246
33000000.0,122.4647256731987,122.4647256731987,-237.5352743268013
34000000.0,126.10309660434723,126.10309660434723,126.10309660434723
35000000.0,129.64527815580368,129.64527815580368,129.64527815580368
36000000.0,133.3051684498787,133.3051684498787,133.3051684498787
37000000.0,136.89167886972427,136.89167886972427,-223.10832113027573
38000000.0,140.47788083553314,140.47788083553314,-219.52211916446686
39000000.0,144.08442199230194,144.08442199230194,144.08442199230194
40000000.0,147.7156287431717,147.7156287431717,147.7156287431717
41000000.0,151.4041730761528,151.4041730761528,151.4041730761528
42000000.0,154.89031791687012,154.89031791687012,154.89031791687012
43000000.0,158.53530049324036,158.53530049324036,158.53530049324036
44000000.0,162.01686948537827,162.01686948537827,-197.98313051462173
45000000.0,165.81120550632477,165.81120550632477,-194.18879449367523
46000000.0,169.3618467450142,169.3618467450142,-190.6381532549858
47000000.0,172.99608439207077,172.99608439207077,172.99608439207077
48000000.0,176.59252166748047,176.59252166748047,-183.40747833251953
49000000.0,-179.52614217996597,180.12804329395294,180.12804329395294
50000000.0,-176.19047462940216,183.80952537059784,-176.19047462940216
51000000.0,-172.64287501573563,187.35712498426437,187.35712498426437
52000000.0,-169.23814862966537,190.76185137033463,-169.23814862966537
53000000.0,-165.58223068714142,194.41776931285858,194.41776931285858
54000000.0,-162.00433015823364,197.99566984176636,-162.00433015823364
55000000.0,-158.46282452344894,201.53717547655106,201.53717547655106
56000000.0,-154.87003773450851,205.12996226549149,-154.87003773450851
57000000.0,-151.25475257635117,208.74524742364883,-151.25475257635117
58000000.0,-147.66083121299744,212.33916878700256,212.33916878700256
59000000.0,-144.1246336698532,215.8753663301468,-144.1246336698532
60000000.0,-140.68581640720367,219.31418359279633,219.31418359279633
61000000.0,-137.01213151216507,222.98786848783493,-137.01213151216507
62000000.0,-133.46684128046036,226.53315871953964,-133.46684128046036
63000000.0,-129.81889486312866,230.18110513687134,230.18110513687134
64000000.0,-126.32440030574799,233.675599694252,-126.32440030574799
65000000.0,-122.83551156520844,237.16448843479156,237.16448843479156
66000000.0,-119.05320525169373,240.94679474830627,-119.05320525169373
67000000.0,-115.5918762087822,244.4081237912178,-115.5918762087822
68000000.0,-111.95967704057693,248.04032295942307,-111.95967704057693
69000000.0,-108.47150713205338,251.52849286794662,251.52849286794662
70000000.0,-104.77157682180405,255.22842317819595,-104.77157682180405
71000000.0,-101.28377437591553,258.7162256240845,-101.28377437591553
72000000.0,-97.49433070421219,262.5056692957878,-97.49433070421219
73000000.0,-93.95137935876846,266.04862064123154,-93.95137935876846
74000000.0,-90.63797414302826,269.36202585697174,-90.63797414302826
75000000.0,-87.06424444913864,272.93575555086136,-87.06424444913864
76000000.0,-83.35925281047821,276.6407471895218,276.6407471895218
77000000.0,-79.7910538315773,280.2089461684227,-79.7910538315773
78000000.0,-75.87917804718018,284.1208219528198,-75.87917804718018
79000000.0,-72.53944158554077,287.46055841445923,-72.53944158554077
80000000.0,-68.89187067747116,291.10812932252884,-68.89187067747116
81000000.0,-65.33370316028595,294.66629683971405,-65.33370316028595
82000000.0,-61.67679816484451,298.3232018351555,-61.67679816484451
83000000.0,-58.02116721868515,301.97883278131485,-58.02116721868515
84000000.0,-54.321303963661194,305.6786960363388,-54.321303963661194
85000000.0,-51.00937396287918,308.9906260371208,-51.00937396287918
86000000.0,-47.32124537229538,312.6787546277046,-47.32124537229538
87000000.0,-43.50293576717377,316.49706423282623,-43.50293576717377
88000000.0,-39.736191630363464,320.26380836963654,-39.736191630363464
89000000.0,-36.17738038301468,323.8226196169853,-36.17738038301468
90000000.0,-32.73050308227539,327.2694969177246,-32.73050308227539
91000000.0,-28.954537510871887,331.0454624891281,-28.954537510871887
92000000.0,-25.276687145233154,334.72331285476685,-25.276687145233154
93000000.0,-21.91186398267746,338.08813601732254,-21.91186398267746
94000000.0,-17.99774318933487,342.00225681066513,-17.99774318933487
95000000.0,-14.615761935710907,345.3842380642891,-14.615761935710907
96000000.0,-10.719488561153412,349.2805114388466,-10.719488561153412
97000000.0,-7.1057698130607605,352.89423018693924,-7.1057698130607605
98000000.0,-3.6152583360671997,356.3847416639328,-3.6152583360671997
99000000.0,0.023244023323059082,360.02324402332306,0.023244023323059082
100000000.0,3.45170259475708,363.4517025947571,3.45170259475708
