frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
10000000.0,129.73782777786255,129.73782777786255,-4910.262172222137
11000000.0,142.32176274061203,142.32176274061203,142.32176274061203
12000000.0,154.89302963018417,154.89302963018417,154.89302963018417
13000000.0,167.4159014225006,167.4159014225006,-192.5840985774994
14000000.0,-179.8764118552208,180.00328302383423,-179.99671697616577
15000000.0,-167.48881995677948,192.51118004322052,192.51118004322052
16000000.0,-154.92285311222076,205.07714688777924,205.07714688777924
17000000.0,-142.34151989221573,217.65848010778427,-142.34151989221573
18000000.0,-129.83429342508316,230.16570657491684,-129.83429342508316
19000000.0,-117.27392435073853,242.72607564926147,-117.27392435073853
20000000.0,-104.67319339513779,255.3268066048622,255.3268066048622
21000000.0,-92.15819388628006,267.84180611371994,-92.15819388628006
22000000.0,-79.60963994264603,280.390360057354,-79.60963994264603
23000000.0,-67.03020572662354,292.96979427337646,-67.03020572662354
24000000.0,-54.515807032585144,305.48419296741486,-54.515807032585144
25000000.0,-42.02680617570877,317.97319382429123,-42.02680617570877
26000000.0,-29.460785686969757,330.53921431303024,-29.460785686969757
27000000.0,-16.989640295505524,343.0103597044945,-16.989640295505524
28000000.0,-4.356518983840942,355.64348101615906,-364.35651898384094
29000000.0,8.127353489398956,368.12735348939896,8.127353489398956
30000000.0,20.67711979150772,380.6771197915077,20.67711979150772
31000000.0,33.19657176733017,393.19657176733017,33.19657176733017
32000000.0,45.637193620204926,405.6371936202049,45.637193620204926
33000000.0,58.2591837644577,418.2591837644577,-301.7408162355423
34000000.0,70.76489746570587,430.7648974657059,70.76489746570587
35000000.0,83.30254286527634,443.30254286527634,83.30254286527634
36000000.0,95.9202790260315,455.9202790260315,95.9202790260315
37000000.0,108.40050369501114,468.40050369501114,108.40050369501114
38000000.0,120.92122703790665,480.92122703790665,-239.07877296209335
39000000.0,133.45894753932953,493.45894753932953,133.45894753932953
40000000.0,146.04997158050537,506.04997158050537,-213.95002841949463
41000000.0,158.607280254364,518.607280254364,-201.392719745636
42000000.0,171.0694134235382,531.0694134235382,-188.9305865764618
43000000.0,-176.4737319946289,543.5262680053711,-176.4737319946289
44000000.0,-163.93889218568802,556.061107814312,-163.93889218568802
45000000.0,-151.4435988664627,568.5564011335373,208.5564011335373
46000000.0,-138.84715676307678,581.1528432369232,-138.84715676307678
47000000.0,-126.2874448299408,593.7125551700592,233.7125551700592
48000000.0,-113.71447205543518,606.2855279445648,246.28552794456482
49000000.0,-101.20556652545929,618.7944334745407,258.7944334745407
50000000.0,-88.65526646375656,631.3447335362434,271.34473353624344
51000000.0,-76.14084899425507,643.8591510057449,283.85915100574493
52000000.0,-63.55036944150925,656.4496305584908,296.44963055849075
53000000.0,-51.01832181215286,668.9816781878471,-51.01832181215286
54000000.0,-38.64915668964386,681.3508433103561,-38.64915668964386
55000000.0,-26.128857135772705,693.8711428642273,-26.128857135772705
56000000.0,-13.540515303611755,706.4594846963882,-13.540515303611755
57000000.0,-1.0972675681114197,718.9027324318886,-1.0972675681114197
58000000.0,11.247095167636871,731.2470951676369,11.247095167636871
59000000.0,23.773869574069977,743.77386957407,23.773869574069977
60000000.0,36.19314104318619,756.1931410431862,36.19314104318619
61000000.0,48.51296156644821,768.5129615664482,48.51296156644821
62000000.0,61.049804985523224,781.0498049855232,61.049804985523224
63000000.0,73.77850413322449,793.7785041332245,73.77850413322449
64000000.0,86.2638384103775,806.2638384103775,86.2638384103775
