frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
10000000.0,7.5643497705459595,7.5643497705459595,7.5643497705459595
10306122.448979592,7.566152215003967,7.566152215003967,7.566152215003967
10612244.897959184,7.526039779186249,7.526039779186249,7.526039779186249
10918367.346938776,7.5257983803749084,7.5257983803749084,7.5257983803749084
11224489.795918368,7.530642449855804,7.530642449855804,7.530642449855804
11530612.24489796,7.528131902217865,7.528131902217865,7.528131902217865
11836734.693877552,7.531087696552277,7.531087696552277,7.531087696552277
12142857.142857142,7.530663907527924,7.530663907527924,7.530663907527924
12448979.591836736,7.527241408824921,7.527241408824921,7.527241408824921
12755102.040816326,7.52301961183548,7.52301961183548,7.52301961183548
13061224.48979592,7.517040967941284,7.517040967941284,-352.4829590320587
13367346.93877551,7.51152902841568,7.51152902841568,7.51152902841568
13673469.387755102,7.502465844154358,7.502465844154358,7.502465844154358
13979591.836734693,7.494714260101318,7.494714260101318,7.494714260101318
14285714.285714285,7.487024366855621,7.487024366855621,7.487024366855621
14591836.734693877,7.47508317232132,7.47508317232132,7.47508317232132
14897959.18367347,7.46395468711853,7.46395468711853,7.46395468711853
15204081.632653061,7.453260719776154,7.453260719776154,7.453260719776154
15510204.081632653,7.439956963062286,7.439956963062286,7.439956963062286
15816326.530612245,7.427709996700287,7.427709996700287,7.427709996700287
16122448.979591837,7.412480413913727,7.412480413913727,7.412480413913727
16428571.42857143,7.399511933326721,7.399511933326721,7.399511933326721
16734693.87755102,7.384960949420929,7.384960949420929,7.384960949420929
17040816.326530613,7.368186414241791,7.368186414241791,7.368186414241791
17346938.775510203,7.353243827819824,7.353243827819824,7.353243827819824
17653061.224489797,7.337885499000549,7.337885499000549,7.337885499000549
17959183.673469387,7.322972416877747,7.322972416877747,7.322972416877747
18265306.12244898,7.308831810951233,7.308831810951233,7.308831810951233
18571428.57142857,7.292507886886597,7.292507886886597,7.292507886886597
18877551.02040816,7.275639474391937,7.275639474391937,7.275639474391937
19183673.469387755,7.26022481918335,7.26022481918335,7.26022481918335
19489795.91836735,7.242691218852997,7.242691218852997,7.242691218852997
19795918.36734694,7.224028408527374,7.224028408527374,7.224028408527374
20102040.81632653,7.205301225185394,7.205301225185394,7.205301225185394
20408163.265306123,7.187933921813965,7.187933921813965,7.187933921813965
20714285.714285716,7.167820036411285,7.167820036411285,7.167820036411285
21020408.163265307,7.148948013782501,7.148948013782501,7.148948013782501
21326530.612244897,7.130829691886902,7.130829691886902,7.130829691886902
21632653.06122449,7.110431492328644,7.110431492328644,7.110431492328644
21938775.510204084,7.091419994831085,7.091419994831085,7.091419994831085
22244897.959183674,7.0699381828308105,7.0699381828308105,7.0699381828308105
22551020.408163264,7.049526572227478,7.049526572227478,7.049526572227478
22857142.85714286,7.026990652084351,7.026990652084351,7.026990652084351
23163265.30612245,7.005927264690399,7.005927264690399,7.005927264690399
23469387.75510204,6.986213028430939,6.986213028430939,6.986213028430939
23775510.204081632,6.9692158699035645,6.9692158699035645,6.9692158699035645
24081632.653061226,6.950123906135559,6.950123906135559,6.950123906135559
24387755.102040816,6.932469606399536,6.932469606399536,6.932469606399536
24693877.551020406,6.91402941942215,6.91402941942215,6.91402941942215
25000000.0,6.893073320388794,6.893073320388794,6.893073320388794
