frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
10000000.0,92.26146697998047,92.26146697998047,92.26146697998047
10448275.862068966,96.15323692560196,96.15323692560196,96.15323692560196
10896551.72413793,100.03114253282547,100.03114253282547,100.03114253282547
11344827.586206896,104.00671541690826,104.00671541690826,104.00671541690826
11793103.448275862,107.97618895769119,107.97618895769119,107.97618895769119
12241379.310344826,111.95087671279907,111.95087671279907,111.95087671279907
12689655.172413792,115.91955095529556,115.91955095529556,115.91955095529556
13137931.034482758,119.88530695438385,119.88530695438385,119.88530695438385
13586206.896551725,123.85943681001663,123.85943681001663,-236.14056318998337
14034482.75862069,127.83662438392639,127.83662438392639,127.83662438392639
14482758.620689655,131.80656731128693,131.80656731128693,131.80656731128693
14931034.48275862,135.78119069337845,135.78119069337845,-224.21880930662155
15379310.344827585,139.7563049197197,139.7563049197197,-220.2436950802803
15827586.206896551,143.7367406487465,143.7367406487465,143.7367406487465
16275862.068965517,147.70422667264938,147.70422667264938,-212.29577332735062
16724137.931034483,151.66486769914627,151.66486769914627,-208.33513230085373
17172413.79310345,155.62749087810516,155.62749087810516,-204.37250912189484
17620689.655172415,159.59209352731705,159.59209352731705,159.59209352731705
18068965.51724138,163.56147855520248,163.56147855520248,-196.43852144479752
18517241.379310347,167.5362628698349,167.5362628698349,-192.4637371301651
18965517.24137931,171.50858223438263,171.50858223438263,-188.49141776561737
19413793.103448275,175.47755420207977,175.47755420207977,175.47755420207977
19862068.96551724,179.4525557756424,179.4525557756424,-180.5474442243576
20310344.827586208,-176.5880048274994,183.4119951725006,-176.5880048274994
20758620.68965517,-172.61806726455688,187.38193273544312,187.38193273544312
21206896.551724136,-168.6453402042389,191.3546597957611,-168.6453402042389
21655172.413793102,-164.6703627705574,195.3296372294426,195.3296372294426
22103448.275862068,-160.69303035736084,199.30696964263916,199.30696964263916
22551724.137931034,-156.71933770179749,203.28066229820251,-156.71933770179749
23000000.0,-152.72428929805756,207.27571070194244,207.27571070194244
